AREA_NM,SIDO_NM,PTL_SIDO_CD,SRCH_CNT,SPPY_SRCH_CNT,GROW_RATE_SPPY_SRCH_CNT,_YEAR
충청북도,충청북도,KR-43,11690068,0,0.0,2021
충청남도,충청남도,KR-44,18900594,0,0.0,2021
경상북도,경상북도,KR-47,17170318,0,0.0,2021
경상남도,경상남도,KR-48,18327070,0,0.0,2021
제주특별자치도,제주특별자치도,KR-50,19703136,0,0.0,2021
강원특별자치도,강원특별자치도,KR-51,29440143,0,0.0,2021
전북특별자치도,전북특별자치도,KR-52,10305898,0,0.0,2021
서울특별시,서울특별시,KR-11,67731592,0,0.0,2022
전남광주통합특별시,전남광주통합특별시,KR-12,21036092,0,0.0,2022
부산광역시,부산광역시,KR-26,22751332,0,0.0,2022
대구광역시,대구광역시,KR-27,12247829,0,0.0,2022
인천광역시,인천광역시,KR-28,27953567,0,0.0,2022
대전광역시,대전광역시,KR-30,9309937,0,0.0,2022
울산광역시,울산광역시,KR-31,6130501,0,0.0,2022
세종특별자치시,세종특별자치시,KR-36,2893991,0,0.0,2022
경기도,경기도,KR-41,132302961,0,0.0,2022
충청북도,충청북도,KR-43,14151463,0,0.0,2022
충청남도,충청남도,KR-44,22348831,0,0.0,2022
경상북도,경상북도,KR-47,20318218,0,0.0,2022
경상남도,경상남도,KR-48,21358632,0,0.0,2022
제주특별자치도,제주특별자치도,KR-50,19988089,0,0.0,2022
강원특별자치도,강원특별자치도,KR-51,34960754,0,0.0,2022
전북특별자치도,전북특별자치도,KR-52,12021795,0,0.0,2022
서울특별시,서울특별시,KR-11,72026120,0,0.0,2023
전남광주통합특별시,전남광주통합특별시,KR-12,23086940,0,0.0,2023
부산광역시,부산광역시,KR-26,24749972,0,0.0,2023
대구광역시,대구광역시,KR-27,14019897,0,0.0,2023
인천광역시,인천광역시,KR-28,31969775,0,0.0,2023
대전광역시,대전광역시,KR-30,10641339,0,0.0,2023
울산광역시,울산광역시,KR-31,6534730,0,0.0,2023
세종특별자치시,세종특별자치시,KR-36,2986324,0,0.0,2023
경기도,경기도,KR-41,142289587,0,0.0,2023
충청북도,충청북도,KR-43,15126705,0,0.0,2023
충청남도,충청남도,KR-44,23475367,0,0.0,2023
경상북도,경상북도,KR-47,20980625,0,0.0,2023
경상남도,경상남도,KR-48,22131964,0,0.0,2023
제주특별자치도,제주특별자치도,KR-50,15021713,0,0.0,2023
강원특별자치도,강원특별자치도,KR-51,33780194,0,0.0,2023
전북특별자치도,전북특별자치도,KR-52,12928517,0,0.0,2023
서울특별시,서울특별시,KR-11,73243865,0,0.0,2024
전남광주통합특별시,전남광주통합특별시,KR-12,25581784,0,0.0,2024
부산광역시,부산광역시,KR-26,26915195,0,0.0,2024
대구광역시,대구광역시,KR-27,15392949,0,0.0,2024
인천광역시,인천광역시,KR-28,36924663,0,0.0,2024
대전광역시,대전광역시,KR-30,12033403,0,0.0,2024
울산광역시,울산광역시,KR-31,7899103,0,0.0,2024
세종특별자치시,세종특별자치시,KR-36,3485973,0,0.0,2024
경기도,경기도,KR-41,157174855,0,0.0,2024
충청북도,충청북도,KR-43,17963251,0,0.0,2024
충청남도,충청남도,KR-44,27284028,0,0.0,2024
경상북도,경상북도,KR-47,23557272,0,0.0,2024
경상남도,경상남도,KR-48,25779078,0,0.0,2024
제주특별자치도,제주특별자치도,KR-50,14069939,0,0.0,2024
강원특별자치도,강원특별자치도,KR-51,34850405,0,0.0,2024
전북특별자치도,전북특별자치도,KR-52,13325980,0,0.0,2024
서울특별시,서울특별시,KR-11,71746760,0,0.0,2025
전남광주통합특별시,전남광주통합특별시,KR-12,24098011,0,0.0,2025
부산광역시,부산광역시,KR-26,26624086,0,0.0,2025
대구광역시,대구광역시,KR-27,14742815,0,0.0,2025
인천광역시,인천광역시,KR-28,35885184,0,0.0,2025
대전광역시,대전광역시,KR-30,11691653,0,0.0,2025
울산광역시,울산광역시,KR-31,7272029,0,0.0,2025
세종특별자치시,세종특별자치시,KR-36,3210747,0,0.0,2025
경기도,경기도,KR-41,149636932,0,0.0,2025
충청북도,충청북도,KR-43,16634428,0,0.0,2025
충청남도,충청남도,KR-44,25244070,0,0.0,2025
경상북도,경상북도,KR-47,22898763,0,0.0,2025
경상남도,경상남도,KR-48,24774686,0,0.0,2025
제주특별자치도,제주특별자치도,KR-50,13227183,0,0.0,2025
강원특별자치도,강원특별자치도,KR-51,35310587,0,0.0,2025
전북특별자치도,전북특별자치도,KR-52,14106606,0,0.0,2025
서울특별시,서울특별시,KR-11,42901121,0,0.0,2026
전남광주통합특별시,전남광주통합특별시,KR-12,15373565,0,0.0,2026
부산광역시,부산광역시,KR-26,16699058,0,0.0,2026
대구광역시,대구광역시,KR-27,9055159,0,0.0,2026
인천광역시,인천광역시,KR-28,22377045,0,0.0,2026
대전광역시,대전광역시,KR-30,7261277,0,0.0,2026
울산광역시,울산광역시,KR-31,4457706,0,0.0,2026
세종특별자치시,세종특별자치시,KR-36,1967196,0,0.0,2026
경기도,경기도,KR-41,94219128,0,0.0,2026
충청북도,충청북도,KR-43,10762301,0,0.0,2026
충청남도,충청남도,KR-44,17028092,0,0.0,2026
경상북도,경상북도,KR-47,14864652,0,0.0,2026
경상남도,경상남도,KR-48,15935983,0,0.0,2026
제주특별자치도,제주특별자치도,KR-50,8312374,0,0.0,2026
강원특별자치도,강원특별자치도,KR-51,24853433,0,0.0,2026
전북특별자치도,전북특별자치도,KR-52,9212245,0,0.0,2026
