BASE_DATE,SIDO_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,_YEAR
202007,전국,전체,29921632,0,2020
202008,전국,전체,33141340,0,2020
202009,전국,전체,26068882,0,2020
202010,전국,전체,34830044,0,2020
202011,전국,전체,25757908,0,2020
202012,전국,전체,20512546,0,2020
202001,전국,기타관광,3177755,0,2020
202001,전국,문화관광,2823627,0,2020
202001,전국,쇼핑,3816332,0,2020
202001,전국,숙박,2400012,0,2020
202001,전국,음식,8474450,0,2020
202001,전국,역사관광,739535,0,2020
202001,전국,자연관광,1177433,0,2020
202001,전국,체험관광,198066,0,2020
202001,전국,레저스포츠,848473,0,2020
202002,전국,기타관광,2054749,0,2020
202002,전국,문화관광,1762580,0,2020
202002,전국,쇼핑,2638553,0,2020
202002,전국,숙박,1676955,0,2020
202002,전국,음식,6674257,0,2020
202002,전국,역사관광,493632,0,2020
202002,전국,자연관광,906560,0,2020
202002,전국,체험관광,97357,0,2020
202002,전국,레저스포츠,810257,0,2020
202003,전국,기타관광,1833798,0,2020
202003,전국,문화관광,2115169,0,2020
202003,전국,쇼핑,2667808,0,2020
202003,전국,숙박,1322854,0,2020
202003,전국,음식,6850298,0,2020
202003,전국,역사관광,647719,0,2020
202003,전국,자연관광,1458042,0,2020
202003,전국,체험관광,101319,0,2020
202003,전국,레저스포츠,1150047,0,2020
202004,전국,기타관광,2177244,0,2020
202004,전국,문화관광,2455897,0,2020
202004,전국,쇼핑,3313329,0,2020
202004,전국,숙박,1772648,0,2020
202004,전국,음식,8534892,0,2020
202004,전국,역사관광,865706,0,2020
202004,전국,자연관광,1721199,0,2020
202004,전국,체험관광,113655,0,2020
202004,전국,레저스포츠,1538167,0,2020
202005,전국,기타관광,2862662,0,2020
202005,전국,문화관광,3178836,0,2020
202005,전국,쇼핑,4090003,0,2020
202005,전국,숙박,2559582,0,2020
202005,전국,음식,11415582,0,2020
202005,전국,역사관광,1046263,0,2020
202005,전국,자연관광,2215675,0,2020
202005,전국,체험관광,155027,0,2020
202005,전국,레저스포츠,1820112,0,2020
202006,전국,기타관광,2628409,0,2020
202006,전국,문화관광,2729891,0,2020
202006,전국,쇼핑,3685440,0,2020
202006,전국,숙박,2698507,0,2020
202006,전국,음식,10664791,0,2020
202006,전국,역사관광,782558,0,2020
202006,전국,자연관광,2005983,0,2020
202006,전국,체험관광,132349,0,2020
202006,전국,레저스포츠,1826061,0,2020
202007,전국,기타관광,2799679,0,2020
202007,전국,문화관광,3066739,0,2020
202007,전국,쇼핑,3847524,0,2020
202007,전국,숙박,3259438,0,2020
202007,전국,음식,11926650,0,2020
202007,전국,역사관광,821665,0,2020
202007,전국,자연관광,2239433,0,2020
202007,전국,체험관광,142938,0,2020
202007,전국,레저스포츠,1817566,0,2020
202008,전국,기타관광,3157956,0,2020
202008,전국,쇼핑,3966631,0,2020
202008,전국,숙박,4270999,0,2020
202008,전국,음식,12545384,0,2020
202008,전국,문화관광,3260955,0,2020
202008,전국,역사관광,1006851,0,2020
202008,전국,자연관광,2993070,0,2020
202008,전국,체험관광,153430,0,2020
202008,전국,레저스포츠,1786064,0,2020
202009,전국,기타관광,2602515,0,2020
202009,전국,문화관광,2751919,0,2020
202009,전국,쇼핑,3903986,0,2020
202009,전국,숙박,2586904,0,2020
202009,전국,음식,9340051,0,2020
202009,전국,역사관광,858687,0,2020
202009,전국,자연관광,2100102,0,2020
202009,전국,체험관광,119293,0,2020
202009,전국,레저스포츠,1805425,0,2020
202010,전국,기타관광,3590006,0,2020
202010,전국,문화관광,4258703,0,2020
202010,전국,쇼핑,4778760,0,2020
202010,전국,숙박,3532294,0,2020
202010,전국,음식,12140547,0,2020
202010,전국,역사관광,1462313,0,2020
202010,전국,자연관광,2705314,0,2020
202010,전국,체험관광,202291,0,2020
202010,전국,레저스포츠,2159816,0,2020
202011,전국,기타관광,2814890,0,2020
202011,전국,문화관광,2826296,0,2020
202011,전국,쇼핑,3977393,0,2020
202011,전국,숙박,2747199,0,2020
202011,전국,음식,9143262,0,2020
202011,전국,역사관광,983300,0,2020
202011,전국,자연관광,1537632,0,2020
202011,전국,체험관광,116372,0,2020
202011,전국,레저스포츠,1611564,0,2020
202012,전국,기타관광,2186195,0,2020
202012,전국,문화관광,1973406,0,2020
202012,전국,쇼핑,3725151,0,2020
202012,전국,숙박,2283204,0,2020
202012,전국,음식,7277829,0,2020
202012,전국,역사관광,633406,0,2020
202012,전국,자연관광,1393100,0,2020
202012,전국,체험관광,80668,0,2020
202012,전국,레저스포츠,959587,0,2020
202101,전국,전체,19668114,0,2021
202102,전국,전체,25978251,0,2021
202103,전국,전체,27242507,0,2021
202104,전국,전체,30120707,0,2021
202105,전국,전체,35194571,0,2021
202106,전국,전체,32725153,0,2021
202107,전국,전체,33518983,0,2021
202108,전국,전체,36351292,0,2021
202109,전국,전체,33688524,0,2021
202110,전국,전체,39857328,0,2021
202111,전국,전체,34223595,0,2021
202112,전국,전체,29002600,0,2021
202101,전국,기타관광,2052569,0,2021
202101,전국,쇼핑,3652821,0,2021
202101,전국,숙박,1975927,0,2021
202101,전국,음식,7362415,0,2021
202101,전국,문화관광,1880189,0,2021
202101,전국,역사관광,643955,0,2021
202101,전국,자연관광,1315207,0,2021
202101,전국,체험관광,85587,0,2021
202101,전국,레저스포츠,699444,0,2021
202102,전국,기타관광,2628018,0,2021
202102,전국,문화관광,2760091,0,2021
202102,전국,쇼핑,4211766,0,2021
202102,전국,숙박,2595284,0,2021
202102,전국,음식,9803881,0,2021
202102,전국,역사관광,946883,0,2021
202102,전국,자연관광,1729823,0,2021
202102,전국,체험관광,126308,0,2021
202102,전국,레저스포츠,1176197,0,2021
202103,전국,기타관광,2734744,0,2021
202103,전국,쇼핑,4405143,0,2021
202103,전국,숙박,2411994,0,2021
202103,전국,음식,10573743,0,2021
202103,전국,문화관광,2951526,0,2021
202103,전국,역사관광,877051,0,2021
202103,전국,자연관광,1535214,0,2021
202103,전국,체험관광,128305,0,2021
202103,전국,레저스포츠,1624787,0,2021
202104,전국,기타관광,2990429,0,2021
202104,전국,문화관광,3607860,0,2021
202104,전국,쇼핑,4262882,0,2021
202104,전국,숙박,2866458,0,2021
202104,전국,음식,11242001,0,2021
202104,전국,역사관광,1093380,0,2021
202104,전국,자연관광,1933276,0,2021
202104,전국,체험관광,135336,0,2021
202104,전국,레저스포츠,1989085,0,2021
202105,전국,기타관광,3340604,0,2021
202105,전국,문화관광,4289401,0,2021
202105,전국,쇼핑,4795443,0,2021
202105,전국,숙박,3424676,0,2021
202105,전국,음식,13334419,0,2021
202105,전국,역사관광,1289105,0,2021
202105,전국,자연관광,2349689,0,2021
