DPTR_REGN_NM,DPTR_REGN_DTL_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
인제군,레저스포츠,레저스포츠,305592,0,4260630,2064.0,0.1,305592,553.0,7.2
인제군,문화관광,문화관광,201822,0,4260630,2064.0,0.1,201822,449.0,4.7
인제군,쇼핑,쇼핑,29150,0,4260630,2064.0,0.1,29150,171.0,0.7
인제군,숙박,숙박,683363,0,4260630,2064.0,0.1,683363,827.0,16.0
인제군,역사관광,역사관광,404264,0,4260630,2064.0,0.1,404264,636.0,9.5
인제군,음식,음식,1065521,0,4260630,2064.0,0.1,1065521,1032.0,25.0
인제군,자연관광,자연관광,1014734,0,4260630,2064.0,0.1,1014734,1007.0,23.8
인제군,체험관광,체험관광,38624,0,4260630,2064.0,0.1,38624,197.0,0.9
임실군,기타관광,기타관광,402432,0,1905409,1380.0,0.1,402432,634.0,21.1
임실군,레저스포츠,레저스포츠,163451,0,1905409,1380.0,0.1,163451,404.0,8.6
임실군,문화관광,문화관광,532220,0,1905409,1380.0,0.1,532220,730.0,27.9
임실군,쇼핑,쇼핑,26463,0,1905409,1380.0,0.1,26463,163.0,1.4
임실군,숙박,숙박,66801,0,1905409,1380.0,0.1,66801,258.0,3.5
임실군,역사관광,역사관광,20483,0,1905409,1380.0,0.1,20483,143.0,1.1
임실군,음식,음식,556753,0,1905409,1380.0,0.1,556753,746.0,29.2
임실군,자연관광,자연관광,135502,0,1905409,1380.0,0.1,135502,368.0,7.1
임실군,체험관광,체험관광,1304,0,1905409,1380.0,0.1,1304,36.0,0.1
장성군,기타관광,기타관광,469685,0,3199124,1789.0,0.1,469685,685.0,14.7
장성군,레저스포츠,레저스포츠,337406,0,3199124,1789.0,0.1,337406,581.0,10.5
장성군,문화관광,문화관광,277579,0,3199124,1789.0,0.1,277579,527.0,8.7
장성군,쇼핑,쇼핑,27591,0,3199124,1789.0,0.1,27591,166.0,0.9
장성군,숙박,숙박,249760,0,3199124,1789.0,0.1,249760,500.0,7.8
장성군,역사관광,역사관광,480510,0,3199124,1789.0,0.1,480510,693.0,15.0
장성군,음식,음식,1084164,0,3199124,1789.0,0.1,1084164,1041.0,33.9
장성군,자연관광,자연관광,262374,0,3199124,1789.0,0.1,262374,512.0,8.2
장성군,체험관광,체험관광,10055,0,3199124,1789.0,0.1,10055,100.0,0.3
장수군,기타관광,기타관광,53314,0,549586,741.0,0.0,53314,231.0,9.7
장수군,레저스포츠,레저스포츠,123257,0,549586,741.0,0.0,123257,351.0,22.4
장수군,문화관광,문화관광,65122,0,549586,741.0,0.0,65122,255.0,11.8
