DPTR_REGN_NM,DPTR_REGN_DTL_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,_YEAR
고양시,역사관광,역사관광,127050,0,5620452,2371.0,2.9,127050,356.0,2.3,2018
고양시,음식,음식,1843367,0,5620452,2371.0,2.9,1843367,1358.0,32.8,2018
고양시,자연관광,자연관광,2427,0,5620452,2371.0,2.9,2427,49.0,0.0,2018
고양시,체험관광,체험관광,19130,0,5620452,2371.0,2.9,19130,138.0,0.3,2018
고창군,기타관광,기타관광,17052,0,230710,480.0,0.1,17052,131.0,7.4,2018
고창군,레저스포츠,레저스포츠,23203,0,230710,480.0,0.1,23203,152.0,10.1,2018
고창군,문화관광,문화관광,10283,0,230710,480.0,0.1,10283,101.0,4.5,2018
고창군,쇼핑,쇼핑,1490,0,230710,480.0,0.1,1490,39.0,0.6,2018
고창군,숙박,숙박,12622,0,230710,480.0,0.1,12622,112.0,5.5,2018
고창군,역사관광,역사관광,59728,0,230710,480.0,0.1,59728,244.0,25.9,2018
고창군,음식,음식,40831,0,230710,480.0,0.1,40831,202.0,17.7,2018
고창군,자연관광,자연관광,27221,0,230710,480.0,0.1,27221,165.0,11.8,2018
고창군,체험관광,체험관광,38280,0,230710,480.0,0.1,38280,196.0,16.6,2018
고흥군,기타관광,기타관광,29852,0,134242,366.0,0.1,29852,173.0,22.2,2018
고흥군,레저스포츠,레저스포츠,4056,0,134242,366.0,0.1,4056,64.0,3.0,2018
고흥군,문화관광,문화관광,18474,0,134242,366.0,0.1,18474,136.0,13.8,2018
고흥군,쇼핑,쇼핑,1295,0,134242,366.0,0.1,1295,36.0,1.0,2018
고흥군,숙박,숙박,6777,0,134242,366.0,0.1,6777,82.0,5.0,2018
고흥군,역사관광,역사관광,1452,0,134242,366.0,0.1,1452,38.0,1.1,2018
고흥군,음식,음식,11784,0,134242,366.0,0.1,11784,109.0,8.8,2018
고흥군,자연관광,자연관광,60375,0,134242,366.0,0.1,60375,246.0,45.0,2018
고흥군,체험관광,체험관광,177,0,134242,366.0,0.1,177,13.0,0.1,2018
곡성군,기타관광,기타관광,46491,0,97749,313.0,0.1,46491,216.0,47.6,2018
곡성군,레저스포츠,레저스포츠,9307,0,97749,313.0,0.1,9307,96.0,9.5,2018
곡성군,문화관광,문화관광,4609,0,97749,313.0,0.1,4609,68.0,4.7,2018
곡성군,쇼핑,쇼핑,6705,0,97749,313.0,0.1,6705,82.0,6.9,2018
곡성군,숙박,숙박,6026,0,97749,313.0,0.1,6026,78.0,6.2,2018
곡성군,역사관광,역사관광,5242,0,97749,313.0,0.1,5242,72.0,5.4,2018
곡성군,음식,음식,16760,0,97749,313.0,0.1,16760,129.0,17.1,2018
곡성군,자연관광,자연관광,2593,0,97749,313.0,0.1,2593,51.0,2.7,2018
곡성군,체험관광,체험관광,16,0,97749,313.0,0.1,16,4.0,0.0,2018
공주시,기타관광,기타관광,89569,0,623625,790.0,0.3,89569,299.0,14.4,2018
공주시,레저스포츠,레저스포츠,21068,0,623625,790.0,0.3,21068,145.0,3.4,2018
공주시,문화관광,문화관광,62905,0,623625,790.0,0.3,62905,251.0,10.1,2018
공주시,쇼핑,쇼핑,12652,0,623625,790.0,0.3,12652,112.0,2.0,2018
공주시,숙박,숙박,49802,0,623625,790.0,0.3,49802,223.0,8.0,2018
공주시,역사관광,역사관광,197264,0,623625,790.0,0.3,197264,444.0,31.6,2018
공주시,음식,음식,171940,0,623625,790.0,0.3,171940,415.0,27.6,2018
공주시,자연관광,자연관광,13452,0,623625,790.0,0.3,13452,116.0,2.2,2018
공주시,체험관광,체험관광,4973,0,623625,790.0,0.3,4973,71.0,0.8,2018
과천시,기타관광,기타관광,1785,0,683317,827.0,0.4,1785,42.0,0.3,2018
과천시,레저스포츠,레저스포츠,74548,0,683317,827.0,0.4,74548,273.0,10.9,2018
과천시,문화관광,문화관광,459646,0,683317,827.0,0.4,459646,678.0,67.3,2018
과천시,쇼핑,쇼핑,2319,0,683317,827.0,0.4,2319,48.0,0.3,2018
과천시,숙박,숙박,8272,0,683317,827.0,0.4,8272,91.0,1.2,2018
과천시,역사관광,역사관광,5461,0,683317,827.0,0.4,5461,74.0,0.8,2018
과천시,음식,음식,128517,0,683317,827.0,0.4,128517,358.0,18.8,2018
과천시,자연관광,자연관광,2244,0,683317,827.0,0.4,2244,47.0,0.3,2018
과천시,체험관광,체험관광,525,0,683317,827.0,0.4,525,23.0,0.1,2018
관악구,기타관광,기타관광,33,0,446704,668.0,0.2,33,6.0,0.0,2018
관악구,레저스포츠,레저스포츠,461,0,446704,668.0,0.2,461,21.0,0.1,2018
관악구,문화관광,문화관광,39594,0,446704,668.0,0.2,39594,199.0,8.9,2018
관악구,쇼핑,쇼핑,204117,0,446704,668.0,0.2,204117,452.0,45.7,2018
관악구,숙박,숙박,16586,0,446704,668.0,0.2,16586,129.0,3.7,2018
관악구,역사관광,역사관광,4337,0,446704,668.0,0.2,4337,66.0,1.0,2018
관악구,음식,음식,162383,0,446704,668.0,0.2,162383,403.0,36.4,2018
관악구,자연관광,자연관광,19193,0,446704,668.0,0.2,19193,139.0,4.3,2018
광명시,기타관광,기타관광,262770,0,1046446,1023.0,0.5,262770,513.0,25.1,2018
광명시,레저스포츠,레저스포츠,69762,0,1046446,1023.0,0.5,69762,264.0,6.7,2018
광명시,문화관광,문화관광,59574,0,1046446,1023.0,0.5,59574,244.0,5.7,2018
광명시,쇼핑,쇼핑,188405,0,1046446,1023.0,0.5,188405,434.0,18.0,2018
광명시,숙박,숙박,19713,0,1046446,1023.0,0.5,19713,140.0,1.9,2018
광명시,역사관광,역사관광,2412,0,1046446,1023.0,0.5,2412,49.0,0.2,2018
광명시,음식,음식,304701,0,1046446,1023.0,0.5,304701,552.0,29.1,2018
광명시,자연관광,자연관광,139105,0,1046446,1023.0,0.5,139105,373.0,13.3,2018
광명시,체험관광,체험관광,4,0,1046446,1023.0,0.5,4,2.0,0.0,2018
광산구,기타관광,기타관광,139440,0,747179,864.0,0.4,139440,373.0,18.7,2018
광산구,레저스포츠,레저스포츠,18176,0,747179,864.0,0.4,18176,135.0,2.4,2018
광산구,문화관광,문화관광,116383,0,747179,864.0,0.4,116383,341.0,15.6,2018
광산구,쇼핑,쇼핑,81016,0,747179,864.0,0.4,81016,285.0,10.8,2018
광산구,숙박,숙박,44969,0,747179,864.0,0.4,44969,212.0,6.0,2018
광산구,역사관광,역사관광,1598,0,747179,864.0,0.4,1598,40.0,0.2,2018
광산구,음식,음식,342785,0,747179,864.0,0.4,342785,585.0,45.9,2018
광산구,자연관광,자연관광,2167,0,747179,864.0,0.4,2167,47.0,0.3,2018
광산구,체험관광,체험관광,645,0,747179,864.0,0.4,645,25.0,0.1,2018
광양시,기타관광,기타관광,32380,0,295115,543.0,0.2,32380,180.0,11.0,2018
광양시,레저스포츠,레저스포츠,5796,0,295115,543.0,0.2,5796,76.0,2.0,2018
광양시,문화관광,문화관광,24265,0,295115,543.0,0.2,24265,156.0,8.2,2018
광양시,쇼핑,쇼핑,61809,0,295115,543.0,0.2,61809,249.0,20.9,2018
광양시,숙박,숙박,30633,0,295115,543.0,0.2,30633,175.0,10.4,2018
광양시,역사관광,역사관광,2488,0,295115,543.0,0.2,2488,50.0,0.8,2018
광양시,음식,음식,100313,0,295115,543.0,0.2,100313,317.0,34.0,2018
광양시,자연관광,자연관광,30038,0,295115,543.0,0.2,30038,173.0,10.2,2018
광양시,체험관광,체험관광,7393,0,295115,543.0,0.2,7393,86.0,2.5,2018
광주시,기타관광,기타관광,25745,0,1423857,1193.0,0.7,25745,160.0,1.8,2018
광주시,레저스포츠,레저스포츠,304957,0,1423857,1193.0,0.7,304957,552.0,21.4,2018
광주시,문화관광,문화관광,236397,0,1423857,1193.0,0.7,236397,486.0,16.6,2018
광주시,쇼핑,쇼핑,26967,0,1423857,1193.0,0.7,26967,164.0,1.9,2018
광주시,숙박,숙박,106628,0,1423857,1193.0,0.7,106628,327.0,7.5,2018
광주시,역사관광,역사관광,81262,0,1423857,1193.0,0.7,81262,285.0,5.7,2018
광주시,음식,음식,595381,0,1423857,1193.0,0.7,595381,772.0,41.8,2018
광주시,자연관광,자연관광,44310,0,1423857,1193.0,0.7,44310,210.0,3.1,2018
광주시,체험관광,체험관광,2210,0,1423857,1193.0,0.7,2210,47.0,0.2,2018
광진구,기타관광,기타관광,302240,0,1381127,1175.0,0.7,302240,550.0,21.9,2018
광진구,레저스포츠,레저스포츠,7031,0,1381127,1175.0,0.7,7031,84.0,0.5,2018
광진구,문화관광,문화관광,415735,0,1381127,1175.0,0.7,415735,645.0,30.1,2018
광진구,쇼핑,쇼핑,166782,0,1381127,1175.0,0.7,166782,408.0,12.1,2018
광진구,숙박,숙박,226371,0,1381127,1175.0,0.7,226371,476.0,16.4,2018
광진구,역사관광,역사관광,14732,0,1381127,1175.0,0.7,14732,121.0,1.1,2018
광진구,음식,음식,238676,0,1381127,1175.0,0.7,238676,489.0,17.3,2018
광진구,자연관광,자연관광,4581,0,1381127,1175.0,0.7,4581,68.0,0.3,2018
광진구,체험관광,체험관광,4979,0,1381127,1175.0,0.7,4979,71.0,0.4,2018
괴산군,기타관광,기타관광,47883,0,170382,413.0,0.1,47883,219.0,28.1,2018
괴산군,레저스포츠,레저스포츠,6096,0,170382,413.0,0.1,6096,78.0,3.6,2018
괴산군,문화관광,문화관광,5325,0,170382,413.0,0.1,5325,73.0,3.1,2018
괴산군,쇼핑,쇼핑,3108,0,170382,413.0,0.1,3108,56.0,1.8,2018
괴산군,숙박,숙박,36224,0,170382,413.0,0.1,36224,190.0,21.3,2018
괴산군,역사관광,역사관광,5355,0,170382,413.0,0.1,5355,73.0,3.1,2018
괴산군,음식,음식,17267,0,170382,413.0,0.1,17267,131.0,10.1,2018
괴산군,자연관광,자연관광,47145,0,170382,413.0,0.1,47145,217.0,27.7,2018
괴산군,체험관광,체험관광,1979,0,170382,413.0,0.1,1979,44.0,1.2,2018
구례군,기타관광,기타관광,13417,0,173338,416.0,0.1,13417,116.0,7.7,2018
구례군,레저스포츠,레저스포츠,4640,0,173338,416.0,0.1,4640,68.0,2.7,2018
구례군,문화관광,문화관광,12736,0,173338,416.0,0.1,12736,113.0,7.3,2018
구례군,쇼핑,쇼핑,3629,0,173338,416.0,0.1,3629,60.0,2.1,2018
구례군,숙박,숙박,15990,0,173338,416.0,0.1,15990,126.0,9.2,2018
구례군,역사관광,역사관광,49778,0,173338,416.0,0.1,49778,223.0,28.7,2018
구례군,음식,음식,23899,0,173338,416.0,0.1,23899,155.0,13.8,2018
구례군,자연관광,자연관광,30688,0,173338,416.0,0.1,30688,175.0,17.7,2018
구례군,체험관광,체험관광,18561,0,173338,416.0,0.1,18561,136.0,10.7,2018
구로구,기타관광,기타관광,635,0,525038,725.0,0.3,635,25.0,0.1,2018
구로구,레저스포츠,레저스포츠,4367,0,525038,725.0,0.3,4367,66.0,0.8,2018
구로구,문화관광,문화관광,199814,0,525038,725.0,0.3,199814,447.0,38.1,2018
구로구,쇼핑,쇼핑,114792,0,525038,725.0,0.3,114792,339.0,21.9,2018
구로구,숙박,숙박,89588,0,525038,725.0,0.3,89588,299.0,17.1,2018
구로구,역사관광,역사관광,490,0,525038,725.0,0.3,490,22.0,0.1,2018
구로구,음식,음식,99234,0,525038,725.0,0.3,99234,315.0,18.9,2018
구로구,자연관광,자연관광,16118,0,525038,725.0,0.3,16118,127.0,3.1,2018
구리시,기타관광,기타관광,320,0,872344,934.0,0.5,320,18.0,0.0,2018
구리시,레저스포츠,레저스포츠,8944,0,872344,934.0,0.5,8944,95.0,1.0,2018
구리시,문화관광,문화관광,128628,0,872344,934.0,0.5,128628,359.0,14.7,2018
구리시,쇼핑,쇼핑,438565,0,872344,934.0,0.5,438565,662.0,50.3,2018
구리시,숙박,숙박,19661,0,872344,934.0,0.5,19661,140.0,2.3,2018
구리시,역사관광,역사관광,24879,0,872344,934.0,0.5,24879,158.0,2.9,2018
구리시,음식,음식,249912,0,872344,934.0,0.5,249912,500.0,28.6,2018
구리시,체험관광,체험관광,1435,0,872344,934.0,0.5,1435,38.0,0.2,2018
구미시,기타관광,기타관광,159259,0,567600,753.0,0.3,159259,399.0,28.1,2018
구미시,레저스포츠,레저스포츠,29879,0,567600,753.0,0.3,29879,173.0,5.3,2018
구미시,문화관광,문화관광,73209,0,567600,753.0,0.3,73209,271.0,12.9,2018
구미시,쇼핑,쇼핑,24793,0,567600,753.0,0.3,24793,157.0,4.4,2018
구미시,숙박,숙박,34801,0,567600,753.0,0.3,34801,187.0,6.1,2018
구미시,역사관광,역사관광,18849,0,567600,753.0,0.3,18849,137.0,3.3,2018
구미시,음식,음식,195216,0,567600,753.0,0.3,195216,442.0,34.4,2018
구미시,자연관광,자연관광,30417,0,567600,753.0,0.3,30417,174.0,5.4,2018
구미시,체험관광,체험관광,1177,0,567600,753.0,0.3,1177,34.0,0.2,2018
군산시,기타관광,기타관광,176789,0,1182783,1088.0,0.6,176789,420.0,14.9,2018
군산시,레저스포츠,레저스포츠,30041,0,1182783,1088.0,0.6,30041,173.0,2.5,2018
군산시,문화관광,문화관광,120031,0,1182783,1088.0,0.6,120031,346.0,10.1,2018
군산시,쇼핑,쇼핑,97017,0,1182783,1088.0,0.6,97017,311.0,8.2,2018
군산시,숙박,숙박,74035,0,1182783,1088.0,0.6,74035,272.0,6.3,2018
군산시,역사관광,역사관광,27528,0,1182783,1088.0,0.6,27528,166.0,2.3,2018
군산시,음식,음식,488964,0,1182783,1088.0,0.6,488964,699.0,41.3,2018
군산시,자연관광,자연관광,168268,0,1182783,1088.0,0.6,168268,410.0,14.2,2018
군산시,체험관광,체험관광,110,0,1182783,1088.0,0.6,110,10.0,0.0,2018
군위군,기타관광,기타관광,14747,0,97800,313.0,0.1,14747,121.0,15.1,2018
