AREA_NM,SGG_NM,SGG_CD,PTL_SIDO_CD,SRCH_CNT,SPPY_SRCH_CNT,GROW_RATE_SPPY_SRCH_CNT
해남군,해남군,12790,KR-12,3074096,0,0.0
영암군,영암군,12800,KR-12,1958038,0,0.0
무안군,무안군,12810,KR-12,3840856,0,0.0
함평군,함평군,12820,KR-12,1782501,0,0.0
영광군,영광군,12830,KR-12,3192201,0,0.0
장성군,장성군,12840,KR-12,3199124,0,0.0
완도군,완도군,12850,KR-12,2762687,0,0.0
진도군,진도군,12860,KR-12,2777130,0,0.0
신안군,신안군,12870,KR-12,2061310,0,0.0
중구,중구,26110,KR-26,6929930,0,0.0
서구,서구,26140,KR-26,3499362,0,0.0
동구,동구,26170,KR-26,6605834,0,0.0
영도구,영도구,26200,KR-26,5509868,0,0.0
부산진구,부산진구,26230,KR-26,13361836,0,0.0
동래구,동래구,26260,KR-26,8113112,0,0.0
남구,남구,26290,KR-26,7392107,0,0.0
북구,북구,26320,KR-26,4513556,0,0.0
해운대구,해운대구,26350,KR-26,36205201,0,0.0
사하구,사하구,26380,KR-26,6161958,0,0.0
금정구,금정구,26410,KR-26,7225712,0,0.0
강서구,강서구,26440,KR-26,18763412,0,0.0
연제구,연제구,26470,KR-26,3261122,0,0.0
수영구,수영구,26500,KR-26,9942117,0,0.0
사상구,사상구,26530,KR-26,6924599,0,0.0
기장군,기장군,26710,KR-26,32680204,0,0.0
중구,중구,27110,KR-27,10117953,0,0.0
동구,동구,27140,KR-27,22681557,0,0.0
서구,서구,27170,KR-27,3194597,0,0.0
남구,남구,27200,KR-27,5036264,0,0.0
북구,북구,27230,KR-27,11682108,0,0.0
수성구,수성구,27260,KR-27,17586023,0,0.0
달서구,달서구,27290,KR-27,12980054,0,0.0
달성군,달성군,27710,KR-27,8887362,0,0.0
군위군,군위군,27720,KR-27,2418159,0,0.0
중구,중구,28110,KR-28,76882891,0,0.0
제물포구,제물포구,28125,KR-28,347919,0,0.0
동구,동구,28140,KR-28,1153011,0,0.0
영종구,영종구,28155,KR-28,1877367,0,0.0
미추홀구,미추홀구,28177,KR-28,15512609,0,0.0
연수구,연수구,28185,KR-28,39883826,0,0.0
남동구,남동구,28200,KR-28,22531065,0,0.0
부평구,부평구,28237,KR-28,10909721,0,0.0
계양구,계양구,28245,KR-28,8452328,0,0.0
서구,서구,28260,KR-28,22939330,0,0.0
서해구,서해구,28275,KR-28,515975,0,0.0
검단구,검단구,28290,KR-28,186481,0,0.0
강화군,강화군,28710,KR-28,23089712,0,0.0
옹진군,옹진군,28720,KR-28,4885544,0,0.0
동구,동구,30110,KR-30,11593725,0,0.0
중구,중구,30140,KR-30,10207879,0,0.0
서구,서구,30170,KR-30,16958122,0,0.0
유성구,유성구,30200,KR-30,28496699,0,0.0
대덕구,대덕구,30230,KR-30,5310723,0,0.0
중구,중구,31110,KR-31,4594577,0,0.0
남구,남구,31140,KR-31,14737674,0,0.0
동구,동구,31170,KR-31,4505023,0,0.0
북구,북구,31200,KR-31,7477478,0,0.0
울주군,울주군,31710,KR-31,16363192,0,0.0
세종특별자치시,세종특별자치시,36110,KR-36,21670218,0,0.0
수원시,수원시,41110,KR-41,81849696,0,0.0
성남시,성남시,41130,KR-41,58503930,0,0.0
의정부시,의정부시,41150,KR-41,17896972,0,0.0
안양시,안양시,41170,KR-41,20723695,0,0.0
부천시,부천시,41190,KR-41,27700384,0,0.0
광명시,광명시,41210,KR-41,22503357,0,0.0
평택시,평택시,41220,KR-41,29804518,0,0.0
동두천시,동두천시,41250,KR-41,3745784,0,0.0
안산시,안산시,41270,KR-41,30946808,0,0.0
고양시,고양시,41280,KR-41,90681073,0,0.0
과천시,과천시,41290,KR-41,10493386,0,0.0
구리시,구리시,41310,KR-41,13930342,0,0.0
남양주시,남양주시,41360,KR-41,53848993,0,0.0
오산시,오산시,41370,KR-41,11522750,0,0.0
시흥시,시흥시,41390,KR-41,32738384,0,0.0
군포시,군포시,41410,KR-41,5393198,0,0.0
의왕시,의왕시,41430,KR-41,14847520,0,0.0
하남시,하남시,41450,KR-41,37306005,0,0.0
용인시,용인시,41460,KR-41,88355474,0,0.0
파주시,파주시,41480,KR-41,56011505,0,0.0
이천시,이천시,41500,KR-41,24439869,0,0.0
안성시,안성시,41550,KR-41,22319086,0,0.0
김포시,김포시,41570,KR-41,34975665,0,0.0
화성시,화성시,41590,KR-41,64493139,0,0.0
광주시,광주시,41610,KR-41,26873341,0,0.0
양주시,양주시,41630,KR-41,19218233,0,0.0
포천시,포천시,41650,KR-41,26050740,0,0.0
여주시,여주시,41670,KR-41,24675527,0,0.0
연천군,연천군,41800,KR-41,6246056,0,0.0
가평군,가평군,41820,KR-41,26104441,0,0.0
양평군,양평군,41830,KR-41,21233076,0,0.0
청주시,청주시,43110,KR-43,48606082,0,0.0
충주시,충주시,43130,KR-43,16888318,0,0.0
제천시,제천시,43150,KR-43,11007377,0,0.0
보은군,보은군,43720,KR-43,2607920,0,0.0
옥천군,옥천군,43730,KR-43,2301803,0,0.0
영동군,영동군,43740,KR-43,1598114,0,0.0
증평군,증평군,43745,KR-43,2246418,0,0.0
진천군,진천군,43750,KR-43,6306478,0,0.0
괴산군,괴산군,43760,KR-43,3225419,0,0.0
음성군,음성군,43770,KR-43,6413276,0,0.0
단양군,단양군,43800,KR-43,8028934,0,0.0
천안시,천안시,44130,KR-44,41694130,0,0.0
공주시,공주시,44150,KR-44,11899622,0,0.0
보령시,보령시,44180,KR-44,13820038,0,0.0
아산시,아산시,44200,KR-44,25122026,0,0.0
서산시,서산시,44210,KR-44,10955030,0,0.0
논산시,논산시,44230,KR-44,6372832,0,0.0
계룡시,계룡시,44250,KR-44,1787824,0,0.0
당진시,당진시,44270,KR-44,13464233,0,0.0
금산군,금산군,44710,KR-44,2384186,0,0.0
부여군,부여군,44760,KR-44,5862470,0,0.0
서천군,서천군,44770,KR-44,4976729,0,0.0
청양군,청양군,44790,KR-44,1448341,0,0.0
홍성군,홍성군,44800,KR-44,4549677,0,0.0
예산군,예산군,44810,KR-44,8576997,0,0.0
태안군,태안군,44825,KR-44,20095799,0,0.0
포항시,포항시,47110,KR-47,28688893,0,0.0
경주시,경주시,47130,KR-47,43686467,0,0.0
김천시,김천시,47150,KR-47,5708039,0,0.0
안동시,안동시,47170,KR-47,8011984,0,0.0
구미시,구미시,47190,KR-47,12224314,0,0.0
영주시,영주시,47210,KR-47,4063395,0,0.0
영천시,영천시,47230,KR-47,4090941,0,0.0
상주시,상주시,47250,KR-47,2989812,0,0.0
문경시,문경시,47280,KR-47,5032317,0,0.0
경산시,경산시,47290,KR-47,7691333,0,0.0
의성군,의성군,47730,KR-47,1239873,0,0.0
청송군,청송군,47750,KR-47,1667501,0,0.0
영양군,영양군,47760,KR-47,205582,0,0.0
영덕군,영덕군,47770,KR-47,5751380,0,0.0
청도군,청도군,47820,KR-47,5063613,0,0.0
고령군,고령군,47830,KR-47,1331973,0,0.0
성주군,성주군,47840,KR-47,1281459,0,0.0
칠곡군,칠곡군,47850,KR-47,5140732,0,0.0
예천군,예천군,47900,KR-47,1863683,0,0.0
봉화군,봉화군,47920,KR-47,1120539,0,0.0
울진군,울진군,47930,KR-47,5792001,0,0.0
울릉군,울릉군,47940,KR-47,600050,0,0.0
창원시,창원시,48120,KR-48,40761133,0,0.0
진주시,진주시,48170,KR-48,10883854,0,0.0
통영시,통영시,48220,KR-48,11322231,0,0.0
사천시,사천시,48240,KR-48,7524374,0,0.0
김해시,김해시,48250,KR-48,22906199,0,0.0
밀양시,밀양시,48270,KR-48,7206477,0,0.0
거제시,거제시,48310,KR-48,17672221,0,0.0
양산시,양산시,48330,KR-48,17082041,0,0.0
의령군,의령군,48720,KR-48,1441110,0,0.0
함안군,함안군,48730,KR-48,2452295,0,0.0
창녕군,창녕군,48740,KR-48,2930824,0,0.0
고성군,고성군,48820,KR-48,2899267,0,0.0
남해군,남해군,48840,KR-48,7711472,0,0.0
하동군,하동군,48850,KR-48,4102753,0,0.0
산청군,산청군,48860,KR-48,2274056,0,0.0
함양군,함양군,48870,KR-48,1592420,0,0.0
거창군,거창군,48880,KR-48,2348882,0,0.0
합천군,합천군,48890,KR-48,2829493,0,0.0
제주시,제주시,50110,KR-50,71197581,0,0.0
서귀포시,서귀포시,50130,KR-50,52897343,0,0.0
춘천시,춘천시,51110,KR-51,27909137,0,0.0
원주시,원주시,51130,KR-51,23014529,0,0.0
강릉시,강릉시,51150,KR-51,46497286,0,0.0
동해시,동해시,51170,KR-51,6980467,0,0.0
태백시,태백시,51190,KR-51,2794826,0,0.0
속초시,속초시,51210,KR-51,40730539,0,0.0
삼척시,삼척시,51230,KR-51,10191265,0,0.0
홍천군,홍천군,51720,KR-51,13681126,0,0.0
횡성군,횡성군,51730,KR-51,6772050,0,0.0
영월군,영월군,51750,KR-51,4882101,0,0.0
평창군,평창군,51760,KR-51,17817210,0,0.0
정선군,정선군,51770,KR-51,9864309,0,0.0
철원군,철원군,51780,KR-51,4683003,0,0.0
화천군,화천군,51790,KR-51,1370929,0,0.0
양구군,양구군,51800,KR-51,1111043,0,0.0
인제군,인제군,51810,KR-51,4260630,0,0.0
고성군,고성군,51820,KR-51,15614460,0,0.0
양양군,양양군,51830,KR-51,18538099,0,0.0
전주시,전주시,52110,KR-52,30416430,0,0.0
군산시,군산시,52130,KR-52,17906229,0,0.0
익산시,익산시,52140,KR-52,8900829,0,0.0
정읍시,정읍시,52180,KR-52,3795698,0,0.0
남원시,남원시,52190,KR-52,4274948,0,0.0
김제시,김제시,52210,KR-52,3304270,0,0.0
완주군,완주군,52710,KR-52,5233183,0,0.0
진안군,진안군,52720,KR-52,1451058,0,0.0
무주군,무주군,52730,KR-52,3830122,0,0.0
장수군,장수군,52740,KR-52,549586,0,0.0
임실군,임실군,52750,KR-52,1905409,0,0.0
순창군,순창군,52770,KR-52,1520905,0,0.0
고창군,고창군,52790,KR-52,4144113,0,0.0
부안군,부안군,52800,KR-52,6978903,0,0.0
