region,visits,night,weekend,야간비중,주말비중
김해시,47535703.0,9501582.0,16597089.0,19.98830647355736,34.91499641858668
창원시 진해구,18796060.0,4150427.0,5837808.0,22.081367052456738,31.058679318963655
횡성군,11435210.0,2250189.0,4457289.0,19.677723452389593,38.97863703421275
고양시 일산동구,56785905.0,10881831.0,18088644.0,19.162908471741357,31.85410886733248
마포구,124398023.0,25808189.0,41510449.0,20.746462345305922,33.3690584455671
계양구,32334303.0,6269614.0,10451358.0,19.389977263465365,32.32281827754259
신안군,7616539.0,1947208.0,2604965.0,25.565522608103237,34.20142665848622
함평군,6079436.0,977033.0,2174368.0,16.071112517674337,35.76594934135338
안동시,18054579.0,4415078.0,6432604.0,24.45406231848441,35.62865686317028
예천군,7081895.0,1765451.0,2489924.0,24.92907618652917,35.15900758201018
강남구,229556096.0,39933987.0,62124003.0,17.396177969501625,27.06266750589799
공주시,25786749.0,4770002.0,9921208.0,18.497880442393104,38.4740550272545
청주시 흥덕구,43232147.0,8706490.0,13746064.0,20.138925785943503,31.7959318559867
수원시 장안구,47056257.0,8146203.0,16065259.0,17.311625529416844,34.14053735723179
창녕군,10376423.0,1905812.0,3975444.0,18.366753167252337,38.31227774735089
구미시,27913759.0,6863694.0,9097357.0,24.588927632426717,32.59094197954492
봉화군,4719890.0,1023452.0,1764108.0,21.683810427785392,37.37604054331774
원주시,34872732.0,8602298.0,12581922.0,24.66769165088643,36.07954203301308
강진군,6026707.0,1109225.0,2252815.0,18.405158903527248,37.38052969888863
광양시,14835516.0,3352208.0,4938199.0,22.595830168630467,33.28633126073943
여수시,27070239.0,8123644.0,9677749.0,30.009502317286525,35.750511844391184
완도군,6972919.0,1936536.0,2370629.0,27.772242872748127,33.997655788056626
부안군,10923148.0,2716641.0,4433130.0,24.870495208890333,40.584728871200866
전주시 덕진구,42548189.0,9167508.0,13530395.0,21.546176736217845,31.80016662988876
사하구,25486000.0,5766703.0,8072530.0,22.626944204661385,31.67437024248607
보은군,8748922.0,1709662.0,3479611.0,19.541401786414372,39.77188275309803
충주시,31363094.0,7480917.0,11555143.0,23.852611607770584,36.843122046568496
양산시,38676409.0,7374814.0,13411779.0,19.06799051587235,34.676898261159664
성주군,7885849.0,1544258.0,2823179.0,19.58264734716579,35.80057137792012
속초시,26005012.0,7826469.0,10140734.0,30.09600226294839,38.99530598178536
태백시,5484126.0,1426485.0,1995843.0,26.011163857285556,36.3930916248095
가평군,26055672.0,5912982.0,11302939.0,22.693646128182763,43.37995581154077
동작구,68372806.0,13202415.0,20498606.0,19.30945323496011,29.980641718872853
서대문구,90975668.0,18112746.0,25931072.0,19.9094399614631,28.50330486169115
양천구,41531104.0,9141906.0,12839755.0,22.012191151961673,30.915997320947692
종로구,148918546.0,22657666.0,44704914.0,15.21480474299017,30.019708895089536
동구,208251443.0,39134831.0,70525277.0,18.79210556058428,33.8654445722136
장흥군,5534733.0,1212369.0,2007159.0,21.90474228838139,36.26478458852487
해남군,9848560.0,2213216.0,3415664.0,22.472483286896765,34.68186211994444
완주군,24016875.0,3855226.0,8647115.0,16.052154995185678,36.004330288599164
