시군,업종,2024,2026
거제시,육상운송,1153.3528331362904,1314.09749800413
거제시,기타관광쇼핑,2516.62071712195,2591.8572005764076
거제시,대형쇼핑몰,678.1901860119544,392.8988768297743
거제시,제과음료업,594.0962126608633,612.4119714087984
거제시,골프장,318.49383932268904,287.38855177550437
거제시,기타숙박,269.4394837925415,241.4362952920542
거제시,뷰티,167.74266018510528,166.0533987082551
거제시,레저용품쇼핑,150.33792049545605,156.45228882438562
거제시,기타레저,187.4372278414817,199.88979453589852
거제시,문화서비스,73.94080680792435,79.48948245559343
거제시,여행업,2.4936837398573166,3.1504219033813583
거제시,호텔,626.7756732639026,374.15299479006325
거제시,캠핑장/펜션,42.563923180910805,49.09055863748611
거제시,렌터카,1.7937591077205735,2.9764678539527427
거창군,일반외식업,3399.7615713636446,3496.0964386922014
거창군,육상운송,2770.349851076492,2874.810206556408
거창군,기타관광쇼핑,2967.1193129555195,3049.0737060927518
거창군,대형쇼핑몰,206.27616662253942,176.09264977122885
거창군,제과음료업,377.77016366719477,455.2958276476359
거창군,골프장,827.2433033976081,630.0676818010437
거창군,기타숙박,204.56747525689363,156.2758519745466
거창군,뷰티,166.09490044943703,238.4931211167034
거창군,레저용품쇼핑,121.86997521795784,118.91815652782911
거창군,기타레저,40.294769908342786,29.202019893224687
거창군,문화서비스,14.183719364020401,12.169940053526615
거창군,여행업,0.0,2.5994406478035836
거창군,호텔,0.0,0.0
거창군,캠핑장/펜션,12.750410241670926,16.767364884206312
거창군,렌터카,1.1657140376039528,1.5987115815919581
경산시,일반외식업,3636.6926413877623,3485.4920727726612
경산시,육상운송,4878.849686620614,5755.554798245352
경산시,기타관광쇼핑,3472.9037995562885,3448.6227245805812
경산시,대형쇼핑몰,1322.6414462833125,1021.9014751815293
경산시,제과음료업,628.891036252051,663.7384877767089
경산시,골프장,818.8729060685242,740.860566299053
경산시,기타숙박,101.1942266366369,65.78738786268016
경산시,뷰티,216.53110524099776,267.47320523810424
경산시,레저용품쇼핑,128.7138822134573,106.83027899660392
경산시,기타레저,151.96079387596302,131.48657418787533
경산시,문화서비스,32.424938483760606,18.180812286652017
경산시,여행업,1.064772259782255,0.39606575960558005
경산시,호텔,8.704007582665126,10.058339909595107
경산시,캠핑장/펜션,3.60129366082173,1.1070614775771503
경산시,렌터카,0.5505070732766804,0.39991105824252743
경주시,일반외식업,4916.066398295087,5573.434483929321
경주시,육상운송,6131.685277470555,6823.245166865476
경주시,기타관광쇼핑,2910.9299597263503,3228.6633404198537
경주시,대형쇼핑몰,502.4506329191666,400.72397039764695
경주시,제과음료업,1326.8597070551307,1743.5595202320815
경주시,골프장,1252.759281134029,1001.1477203348873
경주시,기타숙박,217.22417616612663,179.05878510209718
경주시,뷰티,120.19997487055264,142.71785667609146
경주시,레저용품쇼핑,246.2736381861145,248.98345596472493
경주시,기타레저,173.06496218043762,136.08014166832766
경주시,문화서비스,74.56552541784744,101.56884570817215
경주시,여행업,4.1566588173396255,13.497613440994034
경주시,호텔,721.3245368325535,557.766726798343
경주시,캠핑장/펜션,37.17773147112698,33.0008223337166
경주시,렌터카,6.630994537543957,3.8031859359433797
계룡시,일반외식업,3611.999923107748,3969.621555608748
계룡시,육상운송,1092.0746268877417,1351.7746879509925
계룡시,기타관광쇼핑,2141.923282234489,1975.473273359811
계룡시,대형쇼핑몰,1586.7260314282291,540.313059927818
계룡시,제과음료업,672.1888118816273,689.4086929846782
계룡시,골프장,1702.5378879177135,1731.147499076228
계룡시,기타숙박,148.261865435602,131.36008282574292
계룡시,뷰티,219.52767455650175,242.82943799805253
계룡시,레저용품쇼핑,154.0684134023195,95.70829489125055
계룡시,기타레저,68.1416177834034,104.93817118714574
계룡시,문화서비스,26.551190277270504,20.561188563354488
계룡시,여행업,0.0,0.7869491356050764
계룡시,호텔,0.0,0.0
계룡시,캠핑장/펜션,0.0,0.0
계룡시,렌터카,0.0,0.0
고령군,일반외식업,1770.8135979228123,1934.916026941546
고령군,육상운송,2764.963654122717,2651.023296586583
고령군,기타관광쇼핑,3053.365613511537,2848.0507255649927
고령군,대형쇼핑몰,2.4087426437024204,1.4421673633068337
고령군,제과음료업,279.46494745677023,337.8141650646579
고령군,골프장,1866.5762723511193,1780.7237005755728
고령군,기타숙박,14.547431247147058,15.780205833564589
고령군,뷰티,23.78409419987533,20.18746737869187
고령군,레저용품쇼핑,9.451645994591066,11.74295200012653
고령군,기타레저,62.71737583256846,54.284013510074324
고령군,문화서비스,3.999764402145904,2.9090178835463036
고령군,여행업,0.0,0.0
고령군,호텔,0.0,0.0
고령군,캠핑장/펜션,9.265621855627598,6.81758380171421
고령군,렌터카,0.0,0.0
고창군,일반외식업,3107.6541074767247,3887.9088247394293
고창군,육상운송,4386.868276209846,4138.447574545332
고창군,기타관광쇼핑,3736.8638287381,3022.863610095936
고창군,대형쇼핑몰,17.771993866102026,36.222300127904056
고창군,제과음료업,392.590804555381,486.72183029261055
고창군,골프장,1621.632330521648,1276.9671851663313
고창군,기타숙박,162.9613864825419,211.06442106206788
고창군,뷰티,48.59237089127162,52.04510418817744
고창군,레저용품쇼핑,26.442069056762644,24.091745145969103
고창군,기타레저,41.74068366501265,49.52912418539204
고창군,문화서비스,13.104815295724181,15.229226796779827
고창군,여행업,0.00017204919712381916,12.873326962142642
고창군,호텔,0.0,0.0
고창군,캠핑장/펜션,34.74464716236678,48.22206961246192
고창군,렌터카,0.0,0.0
고흥군,일반외식업,2832.743201380788,3019.176558363088
고흥군,육상운송,2202.3644551731477,2774.7228010272543
고흥군,기타관광쇼핑,3672.0827741978646,3885.365029155655
고흥군,대형쇼핑몰,0.11325418783618056,5.012180481774321
고흥군,제과음료업,431.6674235973777,550.8863279418905
고흥군,골프장,15.044311842666186,13.601997983204559
고흥군,기타숙박,198.13660327400504,222.90314767142266
고흥군,뷰티,193.09222521417257,211.90704193693617
고흥군,레저용품쇼핑,162.94423441424865,179.68512466529344
고흥군,기타레저,45.893747934994835,48.24102273211529
고흥군,문화서비스,55.51875555567734,66.43766669088116
고흥군,여행업,0.777709201149256,0.0
고흥군,호텔,2.1038792071019508,3.0532348767390003
고흥군,캠핑장/펜션,44.81691981032664,44.090848972845244
고흥군,렌터카,0.3500376410340016,0.11702447820882775
곡성군,일반외식업,3142.5131727229814,2740.9699817262967
곡성군,육상운송,7033.617116490257,6259.357622495017
곡성군,기타관광쇼핑,1937.5360527400082,2411.4509560906517
곡성군,대형쇼핑몰,397.10568466779637,462.85694925331376
곡성군,제과음료업,389.50493482537786,451.2948973524989
곡성군,골프장,1748.7932394120232,2174.542009845067
곡성군,기타숙박,66.27455474695547,81.90597349001504
곡성군,뷰티,21.16449326970042,21.86751346483405
곡성군,레저용품쇼핑,4.691153878688158,11.558773126289651
곡성군,기타레저,39.189362497510075,85.38311387402511
곡성군,문화서비스,2.1152759927635296,4.786464344419963
곡성군,여행업,0.3015196042316435,0.15218978421291923
곡성군,호텔,0.0,0.0
곡성군,캠핑장/펜션,12.03486166935442,11.250021858496835
곡성군,렌터카,0.0,0.0
공주시,일반외식업,4285.8867094624375,3747.022486107769
공주시,육상운송,8967.680208668911,9280.387149129412
공주시,기타관광쇼핑,2649.434797388773,2732.84030537773
공주시,대형쇼핑몰,0.0,3.876193029756794
공주시,제과음료업,725.074312853159,1698.603396216575
공주시,골프장,348.5340134474642,426.11607592458574
공주시,기타숙박,120.96411786097568,141.50375542575443
공주시,뷰티,85.63463127187634,76.55829299150955
공주시,레저용품쇼핑,51.76632609902978,50.492247185991246
공주시,기타레저,70.65773792465546,73.46233701481897
공주시,문화서비스,25.34548806349796,28.79037066281292
공주시,여행업,0.1849792180943892,0.0
공주시,호텔,0.0,0.0
공주시,캠핑장/펜션,19.103628384347658,15.294106973501327
공주시,렌터카,12.239818546195519,12.63306154372246
과천시,일반외식업,4103.381462392829,4171.658147700666
과천시,육상운송,856.12220076965,1354.1078441858142
과천시,기타관광쇼핑,1799.261901875577,1800.8259106699422
과천시,대형쇼핑몰,349.8705541317084,280.6294071534372
과천시,제과음료업,867.7324377692697,891.3365863868157
과천시,골프장,30.028033548418215,47.13186226128561
과천시,기타숙박,1.8136211984369024,2.057727804904631
과천시,뷰티,212.04963888223637,291.8785224863696
과천시,레저용품쇼핑,120.36245565133362,522.4405519319394
과천시,기타레저,25.677335424471764,28.39542371096163
과천시,문화서비스,40.287025644628294,32.44676171525575
과천시,여행업,0.0,0.0
과천시,호텔,0.0,0.0
과천시,캠핑장/펜션,0.0,0.0
과천시,렌터카,0.0,0.0
광명시,일반외식업,5024.39566723748,4588.801389584132
광명시,육상운송,2635.665891745799,2836.8798044546447
광명시,기타관광쇼핑,2591.0325411071076,2563.831873461441
광명시,대형쇼핑몰,2050.2135613513456,1657.6527704646746
광명시,제과음료업,743.7918086263578,789.8586798629419
광명시,골프장,91.30928412686222,67.65615779895602
광명시,기타숙박,133.25802478036826,79.35539595858987
광명시,뷰티,372.8212478020535,357.1113314250028
광명시,레저용품쇼핑,132.4205025413795,147.73771088008428
광명시,기타레저,239.39868130975506,204.66092737940232
광명시,문화서비스,110.98571472574064,74.408268177724
광명시,여행업,0.26452457579930505,1.5800893074568667
광명시,호텔,18.05832975272938,39.65882845186364
광명시,캠핑장/펜션,1.2608297562338975,0.302469835888228
광명시,렌터카,0.5882280956545417,0.16056312047096505
광양시,일반외식업,4746.363188802375,4559.30758463703
광양시,육상운송,9716.353745654487,11277.793361553402
광양시,기타관광쇼핑,3308.062488123696,3045.291053206637
광양시,대형쇼핑몰,654.0792145087444,413.5739253341007
광양시,제과음료업,477.0103700940655,481.78622713970947
광양시,골프장,95.68698125492757,70.26351627208143
광양시,기타숙박,326.8969882209808,279.55802262844827
광양시,뷰티,236.34760047482473,298.26137457767635
광양시,레저용품쇼핑,120.71587207687843,93.2016920756098
광양시,기타레저,153.96207977526672,172.33385444941646
광양시,문화서비스,35.89543765899257,11.750502677521036
광양시,여행업,0.0,1.538058199759553
광양시,호텔,0.0,0.2366785922853056
광양시,캠핑장/펜션,18.74476227852179,20.850991027372498
광양시,렌터카,4.782777617072186,1.4817349417401893
광주시,일반외식업,5560.473041206043,5590.072103884229
광주시,육상운송,3868.9980017538937,4337.964233438368
광주시,기타관광쇼핑,4557.802205291402,4541.911001871521
광주시,대형쇼핑몰,275.7331742340841,259.1503242886185
광주시,제과음료업,665.8371926499705,694.9994898573025
광주시,골프장,1309.4934741750628,1330.2442119827504
광주시,기타숙박,69.89629683503769,58.123394137522304
광주시,뷰티,203.29413669907953,253.38853089000835
광주시,레저용품쇼핑,288.65685970313564,269.5667915356257
광주시,기타레저,238.21998209479398,250.07195034768225
광주시,문화서비스,80.57028761349034,78.80524484667481
광주시,여행업,32.29526610840655,0.9252966018698904
광주시,호텔,0.0,0.0
광주시,캠핑장/펜션,14.546442870776946,9.226750131087401
광주시,렌터카,1.0502368698644187,0.5331413255816702
괴산군,일반외식업,2944.507649591716,3021.692760025117
괴산군,육상운송,5905.430071373208,7958.285812901037
괴산군,기타관광쇼핑,3064.421270734406,2593.2630673297253
괴산군,대형쇼핑몰,422.80090273352795,495.60710550271045
괴산군,제과음료업,341.69645539072513,398.762373909988
괴산군,골프장,7.025617228195463,6.726919771382738
괴산군,기타숙박,80.13253389164962,116.07704687294915
괴산군,뷰티,15.064855849065143,15.420261630690648
