시군,방문_2024,방문_2026,관광소비_방문당_2024,관광소비_방문당_2026,체험문화_2024,체험문화_2026,방문_변화율,관광소비_변화율,체험문화_변화율
영암군,6794574.0,7072854.0,14532.164783252048,15895.825079946511,91.3431806026397,163.85507179987033,0.04095621005820238,0.09383738190651725,0.7938402267014459
영양군,1155196.0,1209046.0,5445.100225416293,6199.417557313783,17.46803139900069,28.979873387778465,0.04661546612003509,0.13853139532244696,0.6590234311942182
영월군,4842164.0,5571271.0,14152.157589044898,13801.176607635853,322.367230849678,306.24537919623725,0.15057461911657688,-0.02480052806087585,-0.050010826506613704
영주시,5916900.0,6115623.0,12632.25726309385,12738.329520966221,128.0630059659619,90.94478191346982,0.03358566141053587,0.008396936166133129,-0.28984345457545957
영천시,8646036.0,9008556.0,17352.551504527622,19164.480522738606,77.57693814830287,74.29326076232417,0.04192904123924546,0.10441859329668124,-0.042328009642522146
예산군,9821603.0,10981851.0,16793.37100064012,17610.41294404741,155.630399640466,112.18901075966156,0.11813224378953202,0.048652646533929866,-0.2791317697645307
예천군,4488322.0,4591638.0,8766.643970731155,9431.719138137632,119.71779208354481,163.67906180757282,0.023018847578226254,0.0758642839411452,0.36720748820150084
오산시,19820492.0,21615308.0,17020.19753091901,16784.672001897914,287.18308304354906,299.6752116601808,0.0905535543719096,-0.013838002090941548,0.04349883177045433
옥천군,7190702.0,8311604.0,13680.684862201215,12552.101736319488,90.88472863984629,89.4883827477825,0.1558821377940569,-0.08249463658065281,-0.015363922112780481
옹진군,4177962.0,4835439.0,8873.219287298449,8794.796915026744,270.6211784597371,257.790450877366,0.15736787457616885,-0.008838096944585039,-0.04741213402217159
완도군,4232128.0,4527207.0,7436.251928108035,7513.755611351547,41.78039983667791,76.92424932193292,0.06972355278479281,0.010422412257250047,0.8411563705142706
완주군,15365622.0,15381299.0,12488.01148433822,13391.831860234952,205.99764851692953,134.12995872455247,0.0010202645880523775,0.07237504361925473,-0.3488762629563257
울릉군,1192872.0,952200.0,22301.259481319034,19612.511027095148,378.8897719118229,365.9997899600924,-0.20175844516427577,-0.12056487018036599,-0.03402040093795489
울주군,23742962.0,25400849.0,16988.41854693614,18307.89207085165,118.41635428637758,131.77205218612968,0.06982646057387454,0.07766900257784592,0.11278592370317986
울진군,5373040.0,5814482.0,12158.792043238092,14386.69154019223,267.89713086074175,123.45226969487565,0.08215870345279397,0.183233621319574,-0.5391803215725793
