FSTV_ID,FSTV_REPS_NM,BASE_YEAR,FSTV_PERD_CNT,TOT_LOCAL,TOT_OUT,TOT_FORE,TOTAL_COL,TOTAL_AVG,PRE_VAL,GROTH_VAL,LOCAL_TOU_NUM_RAT,OUT_TOU_NUM_RAT,FORE_TOU_NUM_RAT,GROTH_VAL_RATE,GROTH_MARK,DISP_YN,PRE_TOTAL,PRE_TOTAL_AVG,TOTAL_AVG_VAR
KCTF0019,대전사이언스페스티벌,2019,4,106341.0,64139.0,0.0,170480.0,42620.0,180477,-9997.0,62.38,37.62,0.0,-5.54,▼,N,180477.0,45119.25,-5.5
KCTF0019,대전사이언스페스티벌,2022,4,121807.0,89456.0,444.0,211707.0,52926.75,170480,41227.0,57.54,42.25,0.21,24.18,▲,N,170480.0,42620.0,24.2
KCTF0019,대전사이언스페스티벌,2023,3,88731.0,77886.0,1089.0,167706.0,55902.0,211707,-44001.0,52.91,46.44,0.65,-20.78,▼,N,211707.0,52926.75,5.6
KCTF0020,대전효문화뿌리축제,2018,3,56648.0,57160.0,0.0,113808.0,37936.0,N/A,113808.0,49.78,50.22,0.0,0.0,,N,,,
KCTF0020,대전효문화뿌리축제,2019,3,65601.0,85582.0,0.0,151183.0,50394.3333,113808,37375.0,43.39,56.61,0.0,32.84,▲,N,113808.0,37936.0,32.8
KCTF0020,대전효문화뿌리축제,2022,3,56474.0,69078.0,73.0,125625.0,41875.0,151183,-25558.0,44.95,54.99,0.06,-16.91,▼,N,151183.0,50394.3333,-16.9
KCTF0020,대전효문화뿌리축제,2023,3,50972.0,73515.0,235.0,124722.0,41574.0,125625,-903.0,40.87,58.94,0.19,-0.72,▼,N,125625.0,41875.0,-0.7
KCTF0020,대전효문화뿌리축제,2024,3,52296.0,73966.0,283.0,126545.0,42181.6667,124722,1823.0,41.33,58.45,0.22,1.46,▲,N,124722.0,41574.0,1.5
KCTF0020,대전효문화뿌리축제,2025,3,49304.0,65012.0,377.0,114693.0,38231.0,126545,-11852.0,42.99,56.68,0.33,-9.37,▼,N,126545.0,42181.6667,-9.4
KCTF0021,동래읍성역사축제,2018,3,96887.0,105153.0,0.0,202040.0,67346.6667,N/A,202040.0,47.95,52.05,0.0,0.0,,N,,,
KCTF0021,동래읍성역사축제,2019,3,104103.0,110827.0,0.0,214930.0,71643.3333,202040,12890.0,48.44,51.56,0.0,6.38,▲,N,202040.0,67346.6667,6.4
KCTF0021,동래읍성역사축제,2022,3,116630.0,100134.0,198.0,216962.0,72320.6667,214930,2032.0,53.76,46.15,0.09,0.95,▲,N,214930.0,71643.3333,0.9
KCTF0021,동래읍성역사축제,2023,3,109390.0,86849.0,412.0,196651.0,65550.3333,216962,-20311.0,55.63,44.16,0.21,-9.36,▼,N,216962.0,72320.6667,-9.4
KCTF0021,동래읍성역사축제,2024,3,102859.0,88587.0,430.0,191876.0,63958.6667,196651,-4775.0,53.61,46.17,0.22,-2.43,▼,N,196651.0,65550.3333,-2.4
KCTF0021,동래읍성역사축제,2025,3,110393.0,100714.0,566.0,211673.0,70557.6667,191876,19797.0,52.15,47.58,0.27,10.32,▲,N,191876.0,63958.6667,10.3
KCTF0022,목포항구축제,2018,3,24801.0,26414.0,0.0,51215.0,17071.6667,N/A,51215.0,48.43,51.57,0.0,0.0,,N,,,
KCTF0022,목포항구축제,2019,4,42719.0,46874.0,0.0,89593.0,22398.25,51215,38378.0,47.68,52.32,0.0,74.94,▲,N,51215.0,17071.6667,31.2
