FSTV_YEAR,FSTV_ID,FSTV_REPS_NM,FSTV_NM,SIDO_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,FSTV_PERD_CNT,SUM_CNSM_AMT,SUM_CNSM_AMT_1000,SUM_CNSM_AMT_AVG,SUM_CNSM_AMT_1000_AVG
2019,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,2,외국인,10,9964228.7,9964,996423,996
2019,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,1,외지인,10,2257055557.2000003,2257056,225705556,225706
2019,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,0,현지인,10,20271951.4,20272,2027195,2027
2022,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,99,전체,11,3023033078.7999997,3023033,274821189,274821
2022,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,3,내국인,11,3015173448.7999997,3015173,274106677,274107
2022,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,2,외국인,11,7859630,7860,714512,715
2022,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,1,외지인,11,3004418197.4999995,3004418,273128927,273129
2022,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,0,현지인,11,10755251.299999999,10755,977750,978
2023,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,99,전체,10,2331625968.599999,2331626,233162597,233163
2023,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,3,내국인,10,2319517800.999999,2319518,231951780,231952
2023,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,2,외국인,10,12108167.6,12108,1210817,1211
2023,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,1,외지인,10,2304921968.899999,2304922,230492197,230492
2023,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,0,현지인,10,14595832.099999998,14596,1459583,1460
2024,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,99,전체,11,2773378434.7999997,2773378,252125312,252125
2024,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,3,내국인,11,2757137278.7999997,2757137,250648844,250649
2024,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,2,외국인,11,16241156,16241,1476469,1476
2024,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,1,외지인,11,2744088079.6,2744088,249462553,249463
2024,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,0,현지인,11,13049199.2,13049,1186291,1186
2025,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,99,전체,10,2550341515.1,2550342,255034152,255034
2025,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,3,내국인,10,2537447034.3999996,2537447,253744703,253745
2025,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,2,외국인,10,12894480.7,12894,1289448,1289
2025,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,1,외지인,10,2527182379.8999996,2527182,252718238,252718
2025,KCTF0011,금산인삼축제,금산인삼축제,44,충청남도,금산군,금산읍,0,현지인,10,10264654.500000002,10265,1026465,1026
2019,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,99,전체,2,638803347.6,638803,319401674,319402
2019,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,3,내국인,2,629871009.5,629871,314935505,314936
2019,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,2,외국인,2,8932338.1,8932,4466169,4466
2019,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,1,외지인,2,450330475.1,450330,225165238,225165
2019,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,0,현지인,2,179540534.4,179541,89770267,89770
2022,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,99,전체,2,622986225.1999999,622986,311493113,311493
2022,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,3,내국인,2,617502396.4,617502,308751198,308751
2022,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,2,외국인,2,5483828.8,5484,2741914,2742
2022,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,1,외지인,2,501229179.9,501229,250614590,250614
2022,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,0,현지인,2,116273216.5,116273,58136608,58136
2023,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,99,전체,3,821035106.0000001,821035,273678369,273678
2023,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,3,내국인,3,819031857.3000001,819032,273010619,273011
2023,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,2,외국인,3,2003248.7,2003,667750,668
2023,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,1,외지인,3,657367528,657368,219122509,219123
2023,KCTF0012,금호강바람소리길축제,금호강바람소리길축제,27,대구광역시,북구,산격2동,0,현지인,3,161664329.29999998,161664,53888110,53888
2018,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,99,전체,5,39653660.4,39654,7930732,7931
2018,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,3,내국인,5,38549960.4,38550,7709992,7710
2018,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,2,외국인,5,1103700,1104,220740,221
2018,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,1,외지인,5,38549960.4,38550,7709992,7710
2019,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,99,전체,10,64994868.89999999,64995,6499487,6500
2019,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,3,내국인,10,64546368.89999999,64546,6454637,6455
2019,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,2,외국인,10,448500,448,44850,45
2019,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,1,외지인,10,64546368.89999999,64546,6454637,6455
2022,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,99,전체,5,76364322.80000001,76364,15272865,15273
2022,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,3,내국인,5,76320322.80000001,76320,15264065,15264
2022,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,2,외국인,5,44000,44,8800,9
2022,KCTF0013,김제지평선축제,김제지평선축제,52,전북특별자치도,김제시,부량면,1,외지인,5,76320322.80000001,76320,15264065,15264
