FSTV_ID,FSTV_REPS_NM,SIDO_CD,SIDO_NM,ADONG_NM1,ADONG_NM2,ADONG_NM3,ADONG_NM4,ADONG_NM5,FSTV_BGNG_YMD,FSTV_END_YMD,BASE_YEAR,ROWNUM,FLOOR_VAR,MOD_VAR,PAGING_VAR
KCTF0042,안성맞춤남사당바우덕이축제,41,경기도,,안성시 보개면,,,,-,-,2019,128,12,8,13
KCTF0043,알프스하동섬진강문화재첩축제,48,경상남도,,하동군 하동읍,,,,2019-07-26,2019-07-28,2019,129,12,9,13
KCTF0044,양양송이축제,51,강원특별자치도,,양양군 양양읍,,,,2019-09-26,2019-09-29,2019,130,13,0,13
KCTF0045,여주오곡나루축제,41,경기도,,여주시 오학동,,,,-,-,2019,131,13,1,14
KCTF0046,연천구석기축제,41,경기도,,연천군 전곡읍,,,,2019-05-03,2019-05-06,2019,132,13,2,14
KCTF0047,영덕대게축제,47,경상북도,,영덕군 강구면,,,,2019-03-21,2019-03-24,2019,133,13,3,14
KCTF0048,영도다리축제,26,부산광역시,,영도구 동삼1동,,,,2019-10-11,2019-10-13,2019,134,13,4,14
KCTF0049,영동난계국악축제,43,충청북도,,영동군 영동읍,,,,2019-10-03,2019-10-06,2019,135,13,5,14
KCTF0050,영산강서창들녘억새축제,29,광주광역시,,서구 서창동,,,,2019-10-11,2019-10-13,2019,136,13,6,14
KCTF0051,영암왕인문화축제,46,전라남도,,영암군 군서면,,,,2019-04-04,2019-04-07,2019,137,13,7,14
KCTF0052,영주풍기인삼축제,47,경상북도,,영주시 봉현면,,,,2019-10-12,2019-10-20,2019,138,13,8,14
KCTF0053,울산고래축제,31,울산광역시,,남구 야음장생포동,,,,2019-06-07,2019-06-09,2019,139,13,9,14
KCTF0054,울산쇠부리축제,31,울산광역시,,북구 농소3동,,,,2019-05-10,2019-05-12,2019,140,14,0,14
KCTF0055,울산옹기축제,31,울산광역시,,울주군 온양읍,,,,2019-05-03,2019-05-06,2019,141,14,1,15
KCTF0056,원주다이내믹댄싱카니발,51,강원특별자치도,,원주시 명륜1동,,,,2019-09-03,2019-09-08,2019,142,14,2,15
KCTF0057,원주한지문화제,51,강원특별자치도,,원주시 무실동,,,,2019-05-02,2019-05-06,2019,143,14,3,15
KCTF0058,음성품바축제,43,충청북도,,음성군 음성읍,,,,2019-05-22,2019-05-26,2019,144,14,4,15
KCTF0059,이천쌀문화축제,41,경기도,,이천시 모가면,,,,-,-,2019,145,14,5,15
KCTF0060,인천펜타포트음악축제,28,인천광역시,,연수구 송도2동,,,,2019-08-09,2019-08-11,2019,146,14,6,15
KCTF0061,임실N치즈축제,52,전북특별자치도,,임실군 성수면,,,,2019-10-03,2019-10-06,2019,147,14,7,15
KCTF0062,정남진장흥물축제,46,전라남도,,장흥군 장흥읍,,,,2019-07-26,2019-08-01,2019,148,14,8,15
KCTF0063,정선아리랑제,51,강원특별자치도,,정선군 정선읍,,,,2019-10-04,2019-10-07,2019,149,14,9,15
KCTF0064,제주들불축제,50,제주특별자치도,,제주시 애월읍,,,,2019-03-07,2019-03-10,2019,150,15,0,15
KCTF0065,지용제,43,충청북도,,옥천군 옥천읍,,,,2019-05-09,2019-05-12,2019,151,15,1,16
KCTF0066,진도신비의바닷길축제,46,전라남도,,진도군 고군면,,,,2019-03-21,2019-03-24,2019,152,15,2,16
KCTF0067,진안홍삼축제,52,전북특별자치도,,진안군 진안읍,,,,2019-10-09,2019-10-13,2019,153,15,3,16
KCTF0068,진주유등축제,48,경상남도,,진주시 성북동,,,,2019-10-01,2019-10-13,2019,154,15,4,16
KCTF0069,천안흥타령축제,44,충청남도,,천안시 서북구 백석동,,,,2019-09-25,2019-09-29,2019,155,15,5,16
KCTF0070,청송사과축제,47,경상북도,,청송군 청송읍,,,,2019-10-30,2019-11-03,2019,156,15,6,16
KCTF0071,추억의충장축제,29,광주광역시,,동구 충장동,,,,2019-10-03,2019-10-06,2019,157,15,7,16
KCTF0072,춘천마임축제,51,강원특별자치도,,춘천시 강남동,,,,2019-05-26,2019-06-02,2019,158,15,8,16
KCTF0073,탐라입춘굿축제,50,제주특별자치도,,제주시 삼도2동,,,,2019-02-02,2019-02-04,2019,159,15,9,16
KCTF0074,탐라문화제,50,제주특별자치도,,제주시 일도1동,,,,2019-10-09,2019-10-13,2019,160,16,0,16
KCTF0075,태백산눈축제,51,강원특별자치도,,태백시 문곡소도동,,,,2019-01-18,2019-02-03,2019,161,16,1,17
KCTF0076,통영한산대첩축제,48,경상남도,,통영시 중앙동,,,,2019-08-10,2019-08-14,2019,162,16,2,17
KCTF0077,평창송어축제,51,강원특별자치도,,평창군 진부면,,,,2018-12-22,2019-01-27,2019,163,16,3,17
KCTF0078,평창효석문화제,51,강원특별자치도,,평창군 봉평면,,,,2019-09-07,2019-09-15,2019,164,16,4,17
KCTF0079,포항국제불빛축제,47,경상북도,,포항시 남구 해도동,,,,2019-05-31,2019-06-02,2019,165,16,5,17
KCTF0080,하동야생차문화축제,48,경상남도,,하동군 화개면,,,,2019-05-10,2019-05-13,2019,166,16,6,17
KCTF0081,한산모시문화제,44,충청남도,,서천군 한산면,,,,2019-06-07,2019-06-10,2019,167,16,7,17
KCTF0082,한성백제문화제,11,서울특별시,,송파구 오륜동,,,,2019-09-27,2019-09-29,2019,168,16,8,17
KCTF0083,함평나비축제,46,전라남도,,함평군 함평읍,,,,2019-04-26,2019-05-06,2019,169,16,9,17
KCTF0084,화성뱃놀이축제,41,경기도,,화성시 서신면,,,,2019-06-05,2019-06-09,2019,170,17,0,17
KCTF0085,화천산천어축제,51,강원특별자치도,,화천군 화천읍,,,,2019-01-05,2019-01-27,2019,171,17,1,18
KCTF0086,횡성한우축제,51,강원특별자치도,,횡성군 횡성읍,,,,2019-10-02,2019-10-06,2019,172,17,2,18
