시군,연월,방문
강릉시,202107,2832909.0
강릉시,202108,3051795.0
강릉시,202109,2698787.0
강릉시,202110,2869171.0
강릉시,202111,2465652.0
강릉시,202112,2631135.0
강릉시,202201,2975257.0
강릉시,202202,2452971.0
강릉시,202203,2297665.0
강릉시,202204,3006683.0
강릉시,202205,3040091.0
강릉시,202206,2984766.0
강릉시,202207,3545681.0
강릉시,202208,4023154.0
강릉시,202209,2971479.0
강릉시,202210,3315760.0
강릉시,202211,2599321.0
강릉시,202212,2526094.0
강릉시,202301,2874540.0
강릉시,202302,2717059.0
강릉시,202303,2997592.0
강릉시,202304,2637828.0
강릉시,202305,2783909.0
강릉시,202306,2833662.0
강릉시,202307,3115846.0
강릉시,202308,3595883.0
강릉시,202309,2887335.0
강릉시,202310,2902647.0
강릉시,202311,2236155.0
강릉시,202312,2627612.0
강릉시,202401,2674625.0
강릉시,202402,2603264.0
강릉시,202403,2663660.0
강릉시,202404,2446378.0
강릉시,202405,2759043.0
강릉시,202406,2919379.0
강릉시,202407,2973705.0
강릉시,202408,3831460.0
강릉시,202409,2861238.0
강릉시,202410,2737118.0
강릉시,202411,2324625.0
강릉시,202412,2438844.0
강릉시,202501,3019206.0
강릉시,202502,2303350.0
강릉시,202503,2561434.0
강릉시,202504,2291049.0
강릉시,202505,3197507.0
강릉시,202506,2925481.0
강릉시,202507,3377531.0
강릉시,202508,4089684.0
강릉시,202509,2226060.0
강릉시,202510,3178887.0
강릉시,202511,2533828.0
강릉시,202512,2665084.0
강릉시,202601,2883546.0
강릉시,202602,2865550.0
강릉시,202603,2566989.0
강릉시,202604,2480436.0
강릉시,202605,3191114.0
강릉시,202606,2810910.0
강릉시,202607,3335312.0
강릉시,202608,3967016.0
강북구,201901,2588330.0
강북구,201902,2530269.0
강북구,201903,3082174.0
강북구,201904,2471559.0
강북구,201905,2768336.0
강북구,201906,2695786.0
강북구,201907,2955563.0
강북구,201908,3382129.0
강북구,201909,3050306.0
강북구,201910,2861199.0
강북구,201911,3075975.0
강북구,201912,2920356.0
강북구,202001,2856405.0
강북구,202002,2323372.0
강북구,202003,2282011.0
강북구,202004,2359862.0
강북구,202005,2677999.0
강북구,202006,2360790.0
강북구,202007,2610214.0
강북구,202008,2302523.0
강북구,202009,2255035.0
강북구,202010,2689399.0
강북구,202011,2306048.0
강북구,202012,1903817.0
강북구,202101,1990539.0
강북구,202102,2161737.0
강북구,202103,2522727.0
강북구,202104,2229091.0
강북구,202105,2457551.0
강북구,202106,2340363.0
강북구,202107,2231126.0
강북구,202108,2206797.0
강북구,202109,2485769.0
강북구,202110,2443784.0
강북구,202111,2442514.0
강북구,202112,2308657.0
강북구,202201,2368609.0
강북구,202202,2111796.0
강북구,202203,2447744.0
강북구,202204,2679953.0
강북구,202205,2914792.0
강북구,202206,2618206.0
강북구,202207,2803299.0
강북구,202208,2644861.0
강북구,202209,2879280.0
강북구,202210,2819591.0
강북구,202211,2587644.0
강북구,202212,2632802.0
강북구,202301,2669476.0
강북구,202302,2436651.0
강북구,202303,2952330.0
강북구,202304,2584340.0
강북구,202305,2772091.0
강북구,202306,2645897.0
강북구,202307,2757632.0
강북구,202308,2708337.0
강북구,202309,2920053.0
강북구,202310,2833746.0
강북구,202311,2607303.0
강북구,202312,2839607.0
강북구,202401,2621400.0
강북구,202402,2727002.0
강북구,202403,3050643.0
강북구,202404,2539474.0
강북구,202405,2860766.0
강북구,202406,2647325.0
강북구,202407,2610342.0
강북구,202408,2780334.0
강북구,202409,2855258.0
강북구,202410,3026996.0
강북구,202411,2809513.0
강북구,202412,2769481.0
강북구,202501,2768780.0
강북구,202502,2485104.0
강북구,202503,3108731.0
강북구,202504,2733931.0
강북구,202505,3236816.0
강북구,202506,2873532.0
강북구,202507,3109816.0
강북구,202508,2976316.0
강북구,202509,2892467.0
강북구,202510,3225706.0
강북구,202511,2944354.0
강북구,202512,2963719.0
강북구,202601,2759466.0
강북구,202602,2776196.0
강북구,202603,3198541.0
강북구,202604,2721025.0
강북구,202605,3150440.0
강북구,202606,2781014.0
강북구,202607,2790795.0
강북구,202608,2903200.0
강서구,201901,7620342.0
강서구,201902,7343096.0
강서구,201903,8822982.0
강서구,201904,7336402.0
강서구,201905,7835064.0
강서구,201906,7640078.0
강서구,201907,8441955.0
강서구,201908,8856541.0
강서구,201909,8487664.0
강서구,201910,8761964.0
강서구,201911,9139019.0
강서구,201912,8777430.0
강서구,202001,8517324.0
강서구,202002,6611857.0
강서구,202003,6312548.0
강서구,202004,6762488.0
강서구,202005,7658390.0
강서구,202006,7278203.0
강서구,202007,7933468.0
강서구,202008,7493858.0
강서구,202009,7136713.0
강서구,202010,8500206.0
강서구,202011,8503201.0
강서구,202012,6758489.0
강서구,202101,6758249.0
강서구,202102,7687620.0
강서구,202103,9121261.0
강서구,202104,8287506.0
강서구,202105,9035424.0
강서구,202106,8585824.0
강서구,202107,8357352.0
강서구,202108,8195962.0
강서구,202109,8643786.0
강서구,202110,9415621.0
강서구,202111,9002763.0
강서구,202112,8601527.0
강서구,202201,8783034.0
강서구,202202,7634778.0
강서구,202203,8667107.0
강서구,202204,9607669.0
강서구,202205,10133069.0
강서구,202206,9426205.0
강서구,202207,10013319.0
강서구,202208,10069632.0
강서구,202209,9996073.0
강서구,202210,10431979.0
강서구,202211,9480240.0
강서구,202212,9480865.0
강서구,202301,9677636.0
강서구,202302,9119240.0
강서구,202303,10225694.0
강서구,202304,9586403.0
강서구,202305,10390073.0
강서구,202306,9917845.0
강서구,202307,10312563.0
강서구,202308,10233294.0
강서구,202309,10183747.0
강서구,202310,10344217.0
강서구,202311,9715693.0
강서구,202312,10044465.0
강서구,202401,9952303.0
강서구,202402,9657059.0
강서구,202403,10919464.0
강서구,202404,10085283.0
강서구,202405,10578844.0
강서구,202406,10101891.0
강서구,202407,10321764.0
강서구,202408,10349873.0
강서구,202409,10433857.0
강서구,202410,10872076.0
강서구,202411,10222755.0
강서구,202412,10437296.0
강서구,202501,10340646.0
강서구,202502,9866245.0
강서구,202503,11221549.0
강서구,202504,10361074.0
강서구,202505,12211358.0
강서구,202506,11423955.0
강서구,202507,12066386.0
강서구,202508,11950462.0
강서구,202509,11928151.0
강서구,202510,12418792.0
강서구,202511,12483349.0
강서구,202512,12441715.0
강서구,202601,11907586.0
강서구,202602,11295245.0
강서구,202603,12878818.0
강서구,202604,11459445.0
강서구,202605,12211851.0
강서구,202606,11433084.0
강서구,202607,12007527.0
강서구,202608,12061072.0
강진군,201901,363333.0
강진군,201902,441681.0
강진군,201903,446248.0
강진군,201904,509147.0
강진군,201905,493206.0
강진군,201906,404455.0
강진군,201907,416382.0
강진군,201908,502076.0
강진군,201909,489530.0
강진군,201910,499517.0
강진군,201911,448683.0
강진군,201912,378523.0
강진군,202001,456551.0
강진군,202002,309891.0
강진군,202003,360082.0
강진군,202004,405756.0
강진군,202005,465361.0
강진군,202006,379855.0
강진군,202007,388943.0
강진군,202008,468731.0
강진군,202009,374501.0
강진군,202010,485284.0
강진군,202011,356036.0
강진군,202012,358201.0
강진군,202101,303695.0
강진군,202102,386445.0
강진군,202103,426508.0
강진군,202104,438394.0
강진군,202105,459171.0
강진군,202106,394962.0
강진군,202107,422919.0
강진군,202108,451064.0
강진군,202109,509493.0
강진군,202110,470744.0
강진군,202111,436462.0
강진군,202112,399389.0
강진군,202201,455278.0
강진군,202202,362671.0
강진군,202203,389155.0
강진군,202204,534389.0
강진군,202205,474619.0
강진군,202206,430372.0
강진군,202207,574962.0
강진군,202208,503284.0
강진군,202209,536764.0
강진군,202210,549708.0
강진군,202211,463319.0
강진군,202212,368678.0
강진군,202301,474951.0
강진군,202302,399158.0
강진군,202303,503163.0
강진군,202304,615799.0
강진군,202305,502062.0
강진군,202306,443416.0
강진군,202307,440074.0
강진군,202308,483337.0
강진군,202309,538732.0
강진군,202310,536387.0
강진군,202311,425746.0
강진군,202312,406118.0
강진군,202401,374569.0
강진군,202402,484881.0
강진군,202403,505951.0
강진군,202404,633301.0
강진군,202405,518006.0
강진군,202406,436179.0
강진군,202407,439326.0
강진군,202408,484727.0
강진군,202409,527620.0
강진군,202410,491475.0
강진군,202411,482796.0
강진군,202412,396158.0
강진군,202501,475850.0
강진군,202502,355273.0
강진군,202503,513333.0
강진군,202504,597030.0
강진군,202505,585426.0
강진군,202506,463942.0
강진군,202507,459969.0
강진군,202508,516386.0
강진군,202509,433731.0
강진군,202510,690415.0
강진군,202511,508317.0
강진군,202512,427035.0
강진군,202601,386819.0
강진군,202602,513548.0
강진군,202603,505598.0
강진군,202604,630922.0
강진군,202605,561991.0
강진군,202606,458418.0
강진군,202607,442617.0
강진군,202608,483982.0
강화군,201901,1023173.0
강화군,201902,1075678.0
강화군,201903,1234691.0
강화군,201904,1274159.0
강화군,201905,1351834.0
강화군,201906,1275147.0
강화군,201907,1163281.0
강화군,201908,1619672.0
강화군,201909,1375158.0
강화군,201910,1289769.0
강화군,201911,1257961.0
강화군,201912,1017454.0
강화군,202001,1221347.0
강화군,202002,848266.0
강화군,202003,1105692.0
강화군,202004,1154884.0
강화군,202005,1463945.0
강화군,202006,1227305.0
강화군,202007,1355990.0
강화군,202008,1417483.0
강화군,202009,1384360.0
강화군,202010,1758201.0
강화군,202011,1196405.0
강화군,202012,975667.0
강화군,202101,949071.0
강화군,202102,1144518.0
강화군,202103,1140797.0
강화군,202104,1264178.0
강화군,202105,1490274.0
강화군,202106,1289964.0
강화군,202107,1331679.0
강화군,202108,1562660.0
강화군,202109,1641076.0
강화군,202110,1667930.0
강화군,202111,1237193.0
강화군,202112,1071889.0
강화군,202201,1271214.0
강화군,202202,1037914.0
강화군,202203,1120681.0
강화군,202204,1426028.0
강화군,202205,1558422.0
강화군,202206,1396030.0
강화군,202207,1541624.0
강화군,202208,1584426.0
강화군,202209,1678561.0
강화군,202210,1793758.0
강화군,202211,1366557.0
강화군,202212,1050454.0
강화군,202301,1264982.0
강화군,202302,1165349.0
강화군,202303,1369845.0
강화군,202304,1540978.0
강화군,202305,1611920.0
강화군,202306,1541222.0
강화군,202307,1425772.0
강화군,202308,1516617.0
강화군,202309,1626875.0
강화군,202310,1853277.0
강화군,202311,1266089.0
강화군,202312,1125753.0
강화군,202401,1073314.0
강화군,202402,1248773.0
강화군,202403,1351751.0
강화군,202404,1509438.0
강화군,202405,1561080.0
강화군,202406,1482220.0
강화군,202407,1256614.0
강화군,202408,1547515.0
강화군,202409,1681023.0
강화군,202410,1753834.0
강화군,202411,1379453.0
강화군,202412,1090451.0
강화군,202501,1302807.0
강화군,202502,1034709.0
강화군,202503,1414653.0
