시군,연월,체험문화,체험문화_유원제외,관광총소비,방문
해남군,202102,47150000.0,46520000.0,6462460000.0,622290.0
해남군,202103,45260000.0,44652000.0,6359028000.0,606016.0
해남군,202104,46747000.0,45884000.0,6275861000.0,615006.0
해남군,202105,72714000.0,71419000.0,7215746000.0,692713.0
해남군,202106,123929000.0,123434000.0,6980445000.0,660819.0
해남군,202107,76712000.0,76066000.0,6766396000.0,667010.0
해남군,202108,88452000.0,87362000.0,7426066000.0,747044.0
해남군,202109,58672000.0,57931000.0,7599056000.0,826755.0
해남군,202110,93699000.0,92900000.0,8316701000.0,739506.0
해남군,202111,60941000.0,59991000.0,7649888000.0,723778.0
해남군,202112,26407000.0,26180000.0,7419519000.0,666028.0
해남군,202201,34325000.0,33240000.0,7923184000.0,716553.0
해남군,202202,19276000.0,18589000.0,6148751000.0,578684.0
해남군,202203,23290000.0,22858000.0,7236325000.0,588805.0
해남군,202204,37344000.0,36340000.0,7565181000.0,663521.0
해남군,202205,63295000.0,62474000.0,8975231000.0,692739.0
해남군,202206,125306000.0,125034000.0,8714865000.0,687483.0
해남군,202207,99513000.0,99061000.0,8102229000.0,910572.0
해남군,202208,126119000.0,125371000.0,8643905000.0,819037.0
해남군,202209,73986000.0,73247000.0,7866483000.0,871648.0
해남군,202210,102055000.0,101202000.0,8549266000.0,825729.0
해남군,202211,108129000.0,107593000.0,7721545000.0,746161.0
해남군,202212,69315000.0,69035000.0,6883146000.0,636143.0
해남군,202301,89950000.0,89271000.0,7221617000.0,793068.0
해남군,202302,80411000.0,79857000.0,5966489000.0,596113.0
해남군,202303,72092000.0,71959000.0,6978207000.0,749274.0
해남군,202304,93181000.0,93181000.0,7131911000.0,753253.0
해남군,202305,89551000.0,89551000.0,7536495000.0,800620.0
해남군,202306,144260000.0,144260000.0,6978118000.0,725443.0
해남군,202307,101944000.0,101944000.0,6745488000.0,705470.0
해남군,202308,141343000.0,141343000.0,8293480000.0,830283.0
해남군,202309,105712000.0,105712000.0,8546158000.0,919976.0
해남군,202310,145427000.0,145427000.0,7983741000.0,854678.0
해남군,202311,70499000.0,70499000.0,7177940000.0,745035.0
해남군,202312,82739000.0,82739000.0,7063588000.0,741773.0
해남군,202401,75012000.0,75012000.0,5897713000.0,635226.0
해남군,202402,71830000.0,71830000.0,6852676000.0,775990.0
해남군,202403,77160000.0,77160000.0,6994572000.0,744852.0
해남군,202404,81858000.0,81858000.0,6450231000.0,738858.0
해남군,202405,151413000.0,93542000.0,7693153000.0,824932.0
해남군,202406,208973000.0,164872000.0,7132685000.0,735788.0
해남군,202407,123776000.0,110070000.0,6664799000.0,720055.0
해남군,202408,147432000.0,139790000.0,8349286000.0,850791.0
해남군,202501,95879000.0,90222000.0,8142279000.0,836266.0
해남군,202502,65777000.0,62981000.0,5759930000.0,554002.0
