ym,안동,경주,포항,전주,군산
2021-03-01,11.900000000000002,13.099999999999998,9.457767550683958,9.060307780901496,13.7
2021-04-01,13.3,16.6,11.005842538691564,9.828230430860842,15.4
2021-05-01,14.2,17.6,11.364871710544051,10.393272881376197,15.9
2021-06-01,12.6,17.3,10.810907439924295,9.216918456603757,15.0
2021-07-01,14.1,21.4,12.88324570982023,10.434545479380017,16.6
2021-08-01,13.5,21.2,13.188045567518998,10.435737223011593,16.2
2021-09-01,15.5,18.0,12.518905813008272,11.122626311873496,16.8
2021-10-01,12.7,18.2,11.292350204696328,9.727457064859335,15.7
2021-11-01,13.2,18.3,11.052562193854817,9.989291956470986,16.1
2021-12-01,13.399999999999999,20.9,12.690896313114933,10.643355389083027,16.7
2022-01-01,16.6,20.4,12.96458175328485,12.18154401874571,18.0
2022-02-01,13.2,18.8,11.952436361945509,10.715018526718653,15.3
2022-03-01,11.5,14.5,9.651967376196758,9.199541254138744,14.2
2022-04-01,13.5,18.1,11.244103341440224,9.974083121271482,16.2
2022-05-01,13.900000000000002,18.4,11.467325101388674,10.334087806688087,16.5
2022-06-01,15.799999999999999,20.4,12.370757897393787,11.135911024966541,17.3
2022-07-01,16.3,22.0,13.580645156631864,11.247386355984233,16.6
2022-08-01,16.2,22.7,13.490864707937671,10.798208988355743,16.7
2022-09-01,18.4,19.2,12.613729056703017,11.312257346547403,17.6
2022-10-01,15.2,18.4,11.449809520570886,10.44321796578821,16.8
2022-11-01,15.4,17.5,10.945725734289635,10.076619898076586,15.8
2022-12-01,16.1,21.600000000000005,12.948586875127166,11.040701252215106,17.5
2023-01-01,18.9,19.6,13.060472237870785,12.041436130544408,17.9
2023-02-01,13.8,20.0,11.496755657670578,10.33808810085999,15.199999999999998
2023-03-01,13.7,15.5,10.300308196455134,9.652468753173222,15.099999999999998
2023-04-01,15.399999999999999,18.2,11.44070637742822,10.276038879387555,16.1
2023-05-01,15.7,17.8,11.690139621454684,10.019149852004034,16.5
2023-06-01,14.4,18.9,11.15042899745492,9.361214871598314,15.9
2023-07-01,15.200000000000001,21.1,12.608854688247025,10.074239591993189,16.5
2023-08-01,15.299999999999999,21.6,13.063859000293204,10.468361842770001,16.6
2023-09-01,20.0,19.9,13.762304698043492,12.254446078857633,19.3
2023-10-01,14.7,17.8,11.404089102580034,9.922640826019853,16.2
2023-11-01,15.299999999999999,18.3,10.747787674406409,9.515482392045618,15.7
2023-12-01,16.3,21.8,13.203051820507785,10.683879414506341,17.5
2024-01-01,13.4,17.6,10.345764165521055,8.968477556048633,13.9
2024-02-01,20.7,21.5,14.056865644794259,12.333231155852845,18.8
2024-03-01,12.8,15.5,9.650634134065045,8.54923716813071,13.5
2024-04-01,13.299999999999999,15.4,9.937874446567246,8.660073665462235,13.5
2024-05-01,14.1,15.9,10.46076461808394,9.009382104077105,14.5
2024-06-01,13.3,16.8,10.759101623636619,8.661109095637615,14.3
2024-07-01,13.1,17.6,11.2056327749811,8.81305592493437,14.2
2024-08-01,14.3,19.8,12.662958442547994,9.779453307943449,15.5
2024-09-01,15.699999999999998,16.2,11.658269728371417,10.005384403658523,15.700000000000001
2024-10-01,12.3,15.799999999999999,9.747660639751958,8.19613002269294,14.1
2024-11-01,14.5,16.2,10.398389380916024,9.25645702837568,15.1
2024-12-01,12.7,16.4,10.699220133068456,8.726289730908224,13.9
2025-01-01,16.6,17.1,12.110389584506214,10.989156668652335,15.599999999999998
2025-02-01,12.0,15.9,9.589629014866583,8.46105036765983,13.2
2025-03-01,13.900000000000002,14.6,9.897278783977823,8.94648378970571,14.2
2025-04-01,12.1,14.6,9.334013416171128,8.30181479401705,13.6
2025-05-01,14.3,16.2,11.256189630942126,9.710572009852951,15.5
2025-06-01,12.2,15.3,9.89805363331742,8.250454950334642,13.6
2025-07-01,13.0,17.7,11.151376993167103,8.602801212774274,14.2
2025-08-01,13.8,18.7,12.160919674986841,9.668998109486491,15.100000000000001
2025-09-01,12.1,14.9,9.197287908425125,8.131001497373347,13.9
2025-10-01,17.1,17.7,13.26136766447822,11.385172017258572,16.8
2025-11-01,12.700000000000001,15.4,9.303113502808046,8.301448269778717,13.6
2025-12-01,12.7,17.6,10.651126734608745,8.766698816173534,13.9
2026-01-01,12.5,16.9,9.954423673036215,8.709075708627655,12.8
2026-02-01,16.7,18.4,12.213123087196632,10.826429370638817,15.7
2026-03-01,11.9,14.6,8.800748327747366,8.234136606818343,13.2
2026-04-01,13.1,16.4,9.587671709430273,8.54329923887971,14.2
2026-05-01,14.599999999999998,17.0,11.008637129283679,9.299697414843637,15.3
2026-06-01,12.3,16.1,9.704612303020511,7.941392114430566,13.9
2026-07-01,13.6,18.6,11.507292201875101,8.955034929539742,14.8
