SGG_CD,SGG_NM,부울경_2019,부울경_2022,부울경_2023,부울경_2025,수도권_2019,수도권_2022,수도권_2023,수도권_2025,d수도권_2022,d부울경_2022,d숙박_2022,d수도권_2023,d부울경_2023,d숙박_2023,d수도권_2025,d부울경_2025,d숙박_2025,ktx
11740,서울특별시 강동구,0.31,0.33,0.32,0.47,96.46,96.52,96.39,95.73,0.060000000000002274,0.020000000000000018,-0.15833333333333321,-0.06999999999999318,0.010000000000000009,0.5750000000000002,-0.7299999999999898,0.15999999999999998,-1.0333333333333332,
26110,부산광역시 중구,90.47,90.99,91.33,91.64,2.4,2.48,1.97,1.91,0.08000000000000007,0.519999999999996,0.06666666666666643,-0.42999999999999994,0.8599999999999994,0.016666666666666607,-0.49,1.1700000000000017,-0.016666666666666607,
26140,부산광역시 서구,93.29,90.96,92.49,92.17,1.59,2.13,1.62,1.83,0.5399999999999998,-2.3300000000000125,-0.07500000000000018,0.030000000000000027,-0.8000000000000114,-0.4833333333333334,0.24,-1.1200000000000045,0.00833333333333286,
26170,부산광역시 동구,93.51,93.73,93.99,93.6,1.53,1.68,1.58,1.67,0.1499999999999999,0.21999999999999886,0.04999999999999982,0.050000000000000044,0.47999999999998977,-0.06666666666666643,0.1399999999999999,0.0899999999999892,-0.4833333333333334,
26200,부산광역시 영도구,92.45,91.59,91.72,91.8,2.15,1.78,1.86,1.94,-0.3699999999999999,-0.8599999999999994,-1.2749999999999995,-0.2899999999999998,-0.730000000000004,-0.9833333333333325,-0.20999999999999996,-0.6500000000000057,-1.6166666666666654,
26230,부산광역시 부산진구,91.56,90.84,91.34,91.85,2.0,2.31,1.86,1.9,0.31000000000000005,-0.7199999999999989,-0.31666666666666643,-0.1399999999999999,-0.21999999999999886,-0.29166666666666696,-0.10000000000000009,0.28999999999999204,-0.7333333333333334,
26260,부산광역시 동래구,92.7,93.2,92.68,92.32,1.67,1.61,1.61,1.77,-0.05999999999999983,0.5,0.19166666666666643,-0.05999999999999983,-0.01999999999999602,-0.24166666666666714,0.10000000000000009,-0.38000000000000966,-1.0999999999999996,
26290,부산광역시 남구,92.24,93.19,92.84,91.94,2.04,1.64,1.86,2.12,-0.40000000000000013,0.9500000000000028,-0.40000000000000036,-0.17999999999999994,0.6000000000000085,-0.5666666666666664,0.08000000000000007,-0.29999999999999716,-1.3249999999999993,
26320,부산광역시 북구,93.61,94.04,92.9,91.25,1.37,1.18,1.49,1.89,-0.19000000000000017,0.4300000000000068,-0.5999999999999996,0.11999999999999988,-0.7099999999999937,-0.6583333333333332,0.5199999999999998,-2.3599999999999994,-1.6750000000000007,
26350,부산광역시 해운대구,85.05,86.73,86.7,86.92,4.0,3.29,3.18,3.24,-0.71,1.6800000000000068,-0.5166666666666693,-0.8199999999999998,1.6500000000000057,-0.6916666666666682,-0.7599999999999998,1.8700000000000045,-1.283333333333335,
26380,부산광역시 사하구,90.61,90.66,91.49,89.6,2.06,2.09,1.91,2.63,0.029999999999999805,0.04999999999999716,-1.0333333333333332,-0.15000000000000013,0.8799999999999955,-1.1500000000000004,0.5699999999999998,-1.0100000000000051,-2.466666666666666,
26410,부산광역시 금정구,91.23,92.3,91.01,88.5,1.85,1.78,1.89,3.0,-0.07000000000000006,1.0699999999999932,-0.7583333333333337,0.039999999999999813,-0.21999999999999886,-0.9833333333333334,1.15,-2.730000000000004,-1.5249999999999995,
26440,부산광역시 강서구,90.47,90.5,89.98,87.18,2.35,2.43,2.46,3.5,0.08000000000000007,0.030000000000001137,0.3250000000000002,0.10999999999999988,-0.4899999999999949,0.20833333333333304,1.15,-3.289999999999992,-0.09999999999999964,
26470,부산광역시 연제구,93.67,93.44,92.3,92.18,1.38,1.49,1.82,1.86,0.1100000000000001,-0.23000000000000398,-0.8833333333333329,0.44000000000000017,-1.3700000000000045,-1.1916666666666664,0.4800000000000002,-1.4899999999999949,-1.5333333333333332,
26500,부산광역시 수영구,91.03,91.17,90.31,90.53,2.1,1.95,2.03,2.18,-0.15000000000000013,0.14000000000000057,0.4583333333333339,-0.07000000000000028,-0.7199999999999989,0.6166666666666671,0.08000000000000007,-0.5,-0.125,
26530,부산광역시 사상구,93.52,93.32,92.61,90.76,1.26,1.43,1.38,1.85,0.16999999999999993,-0.20000000000000284,-0.22499999999999964,0.11999999999999988,-0.9099999999999966,-0.049999999999998934,0.5900000000000001,-2.759999999999991,-0.6833333333333336,
26710,부산광역시 기장군,87.19,87.25,87.2,85.75,2.6,2.6,2.38,2.57,0.0,0.060000000000002274,0.22500000000000053,-0.2200000000000002,0.010000000000005116,0.8250000000000011,-0.03000000000000025,-1.4399999999999977,0.20833333333333393,
27110,대구광역시 중구,5.07,6.38,6.8,6.8,3.2,3.89,4.17,4.67,0.69,1.3099999999999996,0.033333333333333215,0.9699999999999998,1.7299999999999995,0.16666666666666652,1.4699999999999998,1.7299999999999995,0.3416666666666668,
27140,대구광역시 동구,6.57,5.69,5.81,6.47,3.2,3.57,3.53,4.06,0.36999999999999966,-0.8799999999999999,0.3416666666666668,0.3299999999999996,-0.7600000000000007,0.0333333333333341,0.8599999999999994,-0.10000000000000053,-0.6416666666666666,
27170,대구광역시 서구,3.84,3.99,4.23,4.57,2.39,2.89,2.97,3.36,0.5,0.15000000000000036,0.125,0.5800000000000001,0.39000000000000057,-0.041666666666666075,0.9699999999999998,0.7300000000000004,-0.6833333333333336,
27200,대구광역시 남구,3.51,4.4,4.22,5.78,2.14,2.67,2.55,3.51,0.5299999999999998,0.8900000000000006,0.33333333333333304,0.4099999999999997,0.71,0.13333333333333286,1.3699999999999997,2.2700000000000005,-0.25833333333333375,
27230,대구광역시 북구,5.93,6.01,5.89,6.48,4.11,4.29,3.89,4.11,0.17999999999999972,0.08000000000000007,0.1583333333333341,-0.2200000000000002,-0.040000000000000036,-0.2666666666666666,0.0,0.5500000000000007,-1.1166666666666671,
27260,대구광역시 수성구,6.41,5.9,5.84,5.97,3.2,2.82,2.69,3.07,-0.38000000000000034,-0.5099999999999998,0.024999999999999467,-0.5100000000000002,-0.5700000000000003,-0.1416666666666675,-0.13000000000000034,-0.4400000000000004,-0.8916666666666675,
27290,대구광역시 달서구,6.19,5.93,6.01,6.85,3.34,3.82,3.64,4.89,0.48,-0.2600000000000007,-0.09999999999999964,0.30000000000000027,-0.1800000000000006,-0.43333333333333357,1.5499999999999998,0.6599999999999993,-1.1000000000000005,
27710,대구광역시 달성군,13.16,14.58,15.55,18.99,4.23,4.93,5.73,6.61,0.6999999999999993,1.42,0.32500000000000107,1.5,2.3900000000000006,0.15000000000000036,2.38,5.829999999999998,-0.5583333333333336,
27720,대구광역시 군위군,,,5.03,3.75,,,2.78,2.7,,,-0.033333333333333215,,,-0.15000000000000036,,,-0.7083333333333339,
28110,인천광역시 중구,0.24,0.32,0.26,0.21,95.99,96.55,96.61,96.79,0.5600000000000023,0.08000000000000002,2.700000000000001,0.6200000000000045,0.020000000000000018,1.0083333333333337,0.8000000000000114,-0.03,0.7000000000000002,
28140,인천광역시 동구,0.65,0.8,0.93,0.56,93.82,93.13,92.69,93.14,-0.6899999999999977,0.15000000000000002,-1.3833333333333329,-1.1299999999999955,0.28,-1.0249999999999995,-0.6799999999999926,-0.08999999999999997,-1.1916666666666664,
28177,인천광역시 미추홀구,0.36,0.28,0.35,0.48,96.78,97.13,97.05,96.21,0.3499999999999943,-0.07999999999999996,0.16666666666666696,0.269999999999996,-0.010000000000000009,0.024999999999999467,-0.5700000000000074,0.12,-0.7833333333333341,
28185,인천광역시 연수구,0.24,0.32,0.29,0.38,96.46,96.37,96.4,96.03,-0.0899999999999892,0.08000000000000002,-1.041666666666667,-0.05999999999998806,0.04999999999999999,-0.8416666666666677,-0.4299999999999926,0.14,-1.1916666666666673,
28200,인천광역시 남동구,0.23,0.26,0.26,0.25,96.91,97.05,97.02,96.75,0.14000000000000057,0.03,-0.8166666666666664,0.10999999999999943,0.03,-0.791666666666667,-0.1599999999999966,0.01999999999999999,-2.158333333333334,
