ITS_BRO_NM,KTO_CATE_NAME_B,2018,2019,2020,2021,2022,2023,2024,2025,19→25%
안동시청소년수련원,육상레저스포츠,,,,,,,712.0,,
안동암산얼음축제,기타문화관광지,,,,,,,,2377.0,
안동역,교통시설,26510.0,31518.0,28527.0,35206.0,37554.0,37296.0,34591.0,36439.0,15.61330033631576
안동용계리은행나무,역사유적지,244.0,536.0,621.0,922.0,938.0,910.0,978.0,1239.0,131.15671641791047
안동이천동마애여래입상,역사유적지,754.0,1069.0,1181.0,1161.0,1097.0,972.0,892.0,886.0,-17.118802619270348
안동임청각,역사유적지,,,,,,,866.0,1520.0,
안동임청각공사중(2024년완공예정),역사유적지,1104.0,2798.0,1231.0,1619.0,1946.0,859.0,,,
안동중앙문화의거리,기타쇼핑시설,1055.0,2333.0,3084.0,2489.0,1819.0,1758.0,3913.0,5547.0,137.7625375053579
안동청과합자회사,시장,2097.0,3325.0,4503.0,4973.0,5628.0,5176.0,4417.0,5057.0,52.09022556390976
안동탈춤공연장,공연시설,,,,,,723.0,,,
안동터미널,교통시설,39479.0,49179.0,40003.0,34895.0,34494.0,30148.0,25212.0,24636.0,-49.90544744708107
안동퇴계예던길1코스,기타레저스포츠,,,,,,,,778.0,
안동파크골프장,기타레저스포츠,,,,,,,,1304.0,
안동파크관광호텔,호텔,583.0,865.0,973.0,1397.0,1553.0,,,,
안동파크호텔,호텔,,,,,,1236.0,1147.0,1551.0,
안동포타운,전시시설,,,,,883.0,,,,
안동풍경호스텔앤라이브러리,호스텔,212.0,496.0,599.0,692.0,881.0,,,,
안동하회마을,역사유적지,49040.0,68859.0,57753.0,66447.0,76739.0,76922.0,64001.0,65417.0,-4.998620369160167
안동학가산온천,웰니스관광,4041.0,5319.0,3364.0,2735.0,4545.0,7195.0,7095.0,8371.0,57.37920661778531
안동호반자연휴양림,자연공원,1816.0,3081.0,3418.0,3392.0,4211.0,4760.0,3914.0,3245.0,5.322947095098995
안동호반자연휴양림방문자센터,기타관광,,,,,,972.0,,,
안동호수상레저마린,수상레저스포츠,288.0,357.0,430.0,,,,,,
안동호텔,호텔,746.0,773.0,547.0,963.0,,,721.0,,
암산안전체험유원지,복합관광시설,,,,,,,,2026.0,
암산유원지,복합관광시설,1870.0,1485.0,1039.0,2362.0,4636.0,4612.0,1375.0,,
에쿠스모텔,모텔,153.0,,,,,,,,
연미사,종교성지,425.0,893.0,913.0,935.0,1133.0,993.0,937.0,1267.0,41.88129899216126
영모각,전시시설,,,,,,,1222.0,3308.0,
옥연정사,역사유적지,,,551.0,740.0,,,,,
올웨이즈펜션,펜션/민박,,,,,,,,1285.0,
올인모텔,모텔,,488.0,837.0,1412.0,1434.0,1167.0,764.0,769.0,57.58196721311475
옹천역폐역,교통시설,1713.0,2236.0,2138.0,2122.0,2018.0,1993.0,1616.0,1660.0,-25.760286225402506
용담사계곡,자연경관(산),476.0,404.0,649.0,1108.0,,,,,
용상생활체육공원야구장,레저스포츠시설,,,,682.0,,715.0,1177.0,,
용상시장,시장,276.0,777.0,1075.0,1250.0,1524.0,1488.0,1268.0,1475.0,89.83268983268984
용상체육공원야구장,레저스포츠시설,,,,,,,,1126.0,
웅부공원,도시공원,523.0,891.0,887.0,944.0,1361.0,2408.0,5238.0,7124.0,699.5510662177328
월영교,기타관광,25128.0,40147.0,41846.0,47280.0,53381.0,54896.0,48832.0,46679.0,16.270206989314275
월영호텔,호텔,,,,,,,2168.0,3124.0,
월천서당,역사유적지,389.0,359.0,616.0,748.0,,,,,
윈호텔,호텔,256.0,639.0,760.0,1350.0,1209.0,1306.0,1093.0,1488.0,132.8638497652582
유교랜드,기타레저스포츠,,,,,,3109.0,8641.0,7778.0,
유교랜드휴관중(2023년09월01일개관예정),기타레저스포츠,3074.0,4403.0,2634.0,2014.0,4220.0,,,,
의성김씨학봉종택,역사유적지,161.0,,,,,,,,
이육사문학관,전시시설,830.0,1496.0,1088.0,1511.0,1637.0,1524.0,1394.0,1439.0,-3.810160427807485
이재명대통령생가터,역사유적지,,,,,,,,768.0,
임하댐구장,레저스포츠시설,531.0,667.0,1054.0,1371.0,818.0,,,,
임하호수상레저타운캠핑장,캠핑,445.0,1140.0,2146.0,2414.0,2319.0,2215.0,1644.0,1139.0,-0.08771929824561431
전통문화콘텐츠박물관,전시시설,382.0,464.0,,,,,,,
제이제이부띠끄모텔,모텔,,,486.0,940.0,871.0,899.0,731.0,,
주토피움,테마공원,1389.0,1685.0,1252.0,3281.0,6792.0,4310.0,3047.0,1216.0,-27.833827893175076
줄리엣모텔,모텔,,,,589.0,,,,,
중앙신시장,시장,3752.0,7535.0,9429.0,10740.0,11843.0,11848.0,12065.0,14775.0,96.08493696084936
지례예술촌,기타문화관광지,473.0,1896.0,1033.0,1099.0,1049.0,751.0,,,
천년숲,도시공원,,,,879.0,1084.0,1620.0,1578.0,963.0,
천전리각석계곡,자연경관(산),156.0,,,,,,,,
체화정,역사유적지,,,,663.0,941.0,853.0,698.0,848.0,
케이스호텔안동점,모텔,,,2749.0,5623.0,5662.0,4975.0,,,
케이스호텔안동점,호텔,,,,,,,4258.0,3395.0,
퀸모텔,모텔,,,,,2360.0,3128.0,2591.0,2890.0,
탈춤공원,도시공원,1742.0,2110.0,593.0,684.0,1561.0,2254.0,3971.0,2089.0,-0.9952606635071137
폭포공원,도시공원,,378.0,1092.0,,,,,,
풍산상설장터,시장,182.0,,,,,,,,
풍산시장,시장,,378.0,572.0,699.0,1281.0,1228.0,1169.0,1224.0,223.80952380952382
플레이방월드,테마공원,,,,,,,,1585.0,
하회세계탈박물관,전시시설,473.0,723.0,,,,755.0,876.0,832.0,15.076071922544942
한국국학진흥원인문정신연수원,육상레저스포츠,186.0,737.0,,,,,,1037.0,40.705563093622786
한국문화테마파크,테마공원,,,,,731.0,1585.0,2150.0,2488.0,
해적선펜션,펜션/민박,266.0,562.0,484.0,780.0,1422.0,1305.0,1129.0,937.0,66.72597864768683
해피큐모텔,모텔,208.0,616.0,592.0,994.0,1340.0,1210.0,1133.0,873.0,41.720779220779214
호텔같은모텔,모텔,,,,903.0,1094.0,1034.0,733.0,,
호텔궁,모텔,160.0,,,694.0,,,,831.0,
호텔누리다,모텔,,,,1805.0,1739.0,1505.0,1312.0,1293.0,
호텔얌안동강남점,모텔,,,,,1142.0,1170.0,1136.0,1005.0,
호텔얌안동문화의거리점,모텔,568.0,1087.0,998.0,1326.0,1447.0,1104.0,806.0,913.0,-16.00735970561178
화천서원,역사유적지,307.0,678.0,831.0,1350.0,1832.0,1898.0,1175.0,1200.0,76.99115044247789
