관리번호,사업장명,업태구분명,인허가일자,소재지면적,시설총규모,남성종사자수,여성종사자수,전통업소주된음식,도로명주소,지번주소,전화번호,경도,위도,데이터갱신시점
5070000-101-2000-01298,남안동휴게소,한식,2000-03-11,312.91,165.41,0.0,0.0,,경상북도 안동시 일직면 풍일로 2349,경상북도 안동시 일직면 송리리 91-2 ,548597760.0,128.64511964139413,36.480460937988354,2026-05-07 22:03:22
5070000-101-2000-01478,송죽식당,한식,2000-03-11,32.38,32.38,0.0,0.0,,경상북도 안동시 명륜길 6 (명륜동),경상북도 안동시 명륜동 323-1 ,548567201.0,128.73056990190835,36.56835031184454,2026-05-07 22:03:34
5070000-101-2000-00756,홍춘네,한식,2000-03-11,36.6,36.6,0.0,0.0,,경상북도 안동시 풍산읍 풍산중앙길 106,경상북도 안동시 풍산읍 안교리 123-151 ,548594485.0,128.57223405478183,36.57945582715271,2026-05-07 22:03:03
5070000-101-2000-00733,고기쟁이,식육(숯불구이),2000-03-11,119.07,119.07,0.0,0.0,,"경상북도 안동시 문화광장길 40-15, 1층 (삼산동)",경상북도 안동시 삼산동 103-3 ,548544115.0,128.73159068673783,36.56496175248641,2026-05-07 22:03:02
5070000-101-2000-00568,꼬꼬안동찜닭,통닭(치킨),2000-03-11,34.0,34.0,0.0,0.0,,경상북도 안동시 풍산읍 하리들길 2,경상북도 안동시 풍산읍 하리리 235-4 ,,128.57659703106276,36.57775744913352,2026-05-07 22:02:54
5070000-101-2000-00634,용상물고기식당,한식,2000-03-11,37.59,37.59,0.0,0.0,,,경상북도 안동시 용상동 981 ,548211407.0,,,2026-05-07 22:02:58
5070000-101-2000-00837,대풍식당,한식,2000-03-11,106.08,106.08,0.0,0.0,,"경상북도 안동시 도산면 선성중앙길 49-5, 1층",경상북도 안동시 도산면 서부리 174-81 ,548560383.0,128.81276509883287,36.69841819786469,2026-05-07 22:03:08
5070000-101-2000-00405,본죽&비빔밥 안동용상점,한식,2000-03-11,46.62,46.62,0.0,0.0,,경상북도 안동시 경동로 934 (용상동),경상북도 안동시 용상동 1127 ,548219669.0,128.75670713182635,36.555470976357626,2026-05-07 22:02:46
5070000-101-2000-00808,대복통닭,통닭(치킨),2000-03-11,63.83,63.83,0.0,0.0,,경상북도 안동시 일직면 돌고개길 1,경상북도 안동시 일직면 운산리 132-4 ,548582662.0,128.66009265707598,36.47627889976645,2026-05-07 22:03:07
5070000-101-2000-00336,사랑해사랑해,한식,2000-03-11,80.91,80.91,0.0,0.0,,경상북도 안동시 서동문로 10 (태화동),경상북도 안동시 태화동 196-2 ,548439291.0,128.71275487938286,36.566111000809904,2026-05-07 22:02:43
5070000-101-2000-00517,춘삼식당,한식,2000-03-11,24.47,24.47,0.0,0.0,,경상북도 안동시 중앙시장1길 54 (옥야동),경상북도 안동시 옥야동 303-7 ,,128.72388451172725,36.56417313290711,2026-05-07 22:02:50
5070000-101-2000-00305,홍일식당,한식,2000-03-11,12.96,12.96,0.0,0.0,,,경상북도 안동시 옥야동 307 ,,,,2026-05-07 22:02:42
5070000-101-2000-00373,마산해장국식당,기타,2000-03-11,51.6,51.6,0.0,0.0,,경상북도 안동시 중앙로 57 (동부동),경상북도 안동시 동부동 77-4 ,,128.7327815720383,36.56516483174577,2026-05-07 22:02:45
5070000-101-2000-01032,두레마을식당,한식,2000-03-11,198.07,198.07,,,,경상북도 안동시 풍산읍 풍산태사로 1023-8,경상북도 안동시 풍산읍 안교리 594 ,548594797.0,128.5708949291935,36.579333370661544,2026-05-07 22:03:14
5070000-101-2000-01319,옥동된장전골전문점,한식,2000-03-11,147.3,147.3,0.0,0.0,,경상북도 안동시 강남로 448 (정상동),경상북도 안동시 정상동 426-3 ,548585495.0,128.7488754052609,36.55017048732439,2026-05-07 22:03:24
5070000-101-2000-00905,현대식당,한식,2000-03-11,85.5,85.5,0.0,0.0,,,경상북도 안동시 도산면 온혜리 569 ,548561105.0,128.83246969250607,36.74854486816656,2026-05-07 22:03:11
5070000-101-2000-00331,도경짬뽕,중국식,2000-03-11,199.27,199.27,0.0,0.0,,경상북도 안동시 광석3길 6 (광석동),경상북도 안동시 광석동 252-1 ,548415532.0,128.72308679880695,36.56547787101444,2026-06-27 03:03:03
5070000-101-2000-01132,동학골고향식당,한식,2000-03-11,174.0,174.0,0.0,0.0,,경상북도 안동시 와룡면 동악골길 66,경상북도 안동시 와룡면 444 ,548567749.0,128.77474048113734,36.592623618572546,2026-05-07 22:03:16
5070000-101-2000-00494,대마숯불갈비,식육(숯불구이),2000-03-11,23.69,23.69,0.0,0.0,,경상북도 안동시 음식의길 10 (운흥동),경상북도 안동시 운흥동 171-8 ,548577362.0,128.73197263260028,36.563545789225884,2026-05-07 22:02:48
5070000-101-2000-01441,두레쌈밥정식,한식,2000-03-11,82.24,82.24,0.0,0.0,,경상북도 안동시 음식의길 51 (삼산동),경상북도 안동시 삼산동 93-22 ,548539444.0,128.7321582044819,36.56553295653079,2026-05-07 22:03:28
5070000-101-2000-01105,다윤아시아마트,한식,2000-03-11,92.08,92.08,0.0,0.0,,경상북도 안동시 합전2길 9 (송현동),경상북도 안동시 송현동 298-25 ,548574740.0,128.69796878755352,36.57060439783549,2026-05-07 22:03:15
5070000-101-2000-00771,멕시칸양념통닭,호프/통닭,2000-03-11,33.83,33.83,0.0,0.0,,경상북도 안동시 풍산읍 풍산중앙길 147,경상북도 안동시 풍산읍 상리리 459-9 ,548585813.0,128.5766446023907,36.57813984085238,2026-05-07 22:03:03
