SGG_CD,SGG_NM,SIDO_CD,SIDO_NM,SIDO_AVG_STAY_TM,SIDO_AVG_LODG_TOU_RAT,SGG_CD,SGG_NM,SGG_AVG_STAY_TM,SGG_AVG_LODG_TOU_RAT
,,11260,중랑구,185.53586048874206,0.12395703793949275,,,0.0,0.0
,,26260,동래구,-145.50293986941938,0.0726218906148497,,,0.0,0.0
,,26410,금정구,28.752248419696798,0.2153587390452234,,,0.0,0.0
,,26230,부산진구,-237.45986407472265,-0.06616094232340242,,,0.0,0.0
,,26320,북구,85.98780758730425,0.15344693998233483,,,0.0,0.0
,,26530,사상구,-130.05501504246547,0.030310114216493655,,,0.0,0.0
,,26140,서구,-213.24298242483883,0.03517328838573608,,,0.0,0.0
,,26380,사하구,282.6318241238297,0.19904146411724044,,,0.0,0.0
,,26470,연제구,-131.5356291101548,0.06960898646521763,,,0.0,0.0
,,26500,수영구,-294.52213822234296,-0.17472013246729645,,,0.0,0.0
,,26200,영도구,-160.42707567242235,0.04234994590914409,,,0.0,0.0
,,26110,중구,-653.8663626226762,-0.2672685335884619,,,0.0,0.0
,,26350,해운대구,-145.75561813738534,-0.1492145955728934,,,0.0,0.0
,,27720,군위군,-885.5671747712921,-0.6882375610921563,,,0.0,0.0
,,27140,동구,-226.52697541806413,-0.05301145633895388,,,0.0,0.0
,,27290,달서구,206.22389220072444,0.1380614188470375,,,0.0,0.0
,,27200,남구,-165.06605502779996,0.0771369169938585,,,0.0,0.0
,,27710,달성군,37.86318203887424,0.12242702526370586,,,0.0,0.0
,,27230,북구,111.40373535226956,0.13102427819082463,,,0.0,0.0
,,27170,서구,-153.5746201689202,0.003409815670005756,,,0.0,0.0
,,27260,수성구,22.030963920224167,0.09109210942438883,,,0.0,0.0
,,27110,중구,-613.6927138685267,-0.2252495098164542,,,0.0,0.0
,,28290,_,302.5299790771643,0.2654557322586544,,,0.0,0.0
,,28245,계양구,28.295992460003845,0.10143991753208326,,,0.0,0.0
,,28710,강화군,-42.62419730372699,-0.4360169258800073,,,0.0,0.0
,,28200,남동구,67.08704745627062,0.06218335153637966,,,0.0,0.0
,,28177,미추홀구,136.36174269901278,0.11426029542088001,,,0.0,0.0
,,28237,부평구,136.02584929543548,0.059066004030622565,,,0.0,0.0
,,28275,_,61.91034879031997,0.1898651289709523,,,0.0,0.0
,,28185,연수구,178.42890229107627,0.11281990509238193,,,0.0,0.0
,,28125,_,-410.61415383849044,-0.11056844974870783,,,0.0,0.0
,,28140,동구,-271.04217577845907,0.0556005126891419,,,0.0,0.0
,,28720,옹진군,174.9962443360149,-0.3935625597621182,,,0.0,0.0
,,28155,_,-573.1911997857109,-0.4572418022953775,,,0.0,0.0
,,28260,서구,379.194392987415,0.2064210527288699,,,0.0,0.0
,,28110,중구,-474.69535187482904,-0.39990200821881006,,,0.0,0.0
,,29200,광산구,253.11702653773875,0.10320586377883467,,,0.0,0.0
,,29155,남구,285.5141836586855,0.2065079572399875,,,0.0,0.0
,,29140,서구,-112.36051147608089,-0.0456246261408384,,,0.0,0.0
,,29170,북구,260.94653720641384,0.15956900473682012,,,0.0,0.0
,,29110,동구,-305.22796573948233,0.036462446872445486,,,0.0,0.0
,,30230,대덕구,-50.94380105891071,-0.05311166068670792,,,0.0,0.0
,,30170,서구,123.58724045257179,0.028272816821092395,,,0.0,0.0
,,30110,동구,-115.11497119161959,-0.025902138072660286,,,0.0,0.0
,,30200,유성구,127.58242553017942,0.018270122665406063,,,0.0,0.0
,,30140,중구,-180.6125320070521,-0.06104031833456913,,,0.0,0.0
,,31110,중구,-41.99225821251298,0.18208451576747198,,,0.0,0.0
,,31170,동구,435.70358171347846,0.15051598432819313,,,0.0,0.0
,,31710,울주군,-51.81708533959306,0.014825519994559944,,,0.0,0.0
,,31140,남구,-33.532610893298056,0.043915858759124404,,,0.0,0.0
,,31200,북구,-5.7024492148968875,0.08815694162065446,,,0.0,0.0
,,41820,가평군,-143.4251858410231,-0.5365287358475386,,,0.0,0.0
,,41610,광주시,163.14187666251803,0.10957444209234479,,,0.0,0.0
,,41281,고양시 덕양구,-70.67138101988485,0.16651922240971162,,,0.0,0.0
,,41287,고양시 일산서구,-142.04555042894583,0.12754725051542914,,,0.0,0.0
,,41285,고양시 일산동구,-148.00039744761455,0.14040970906914518,,,0.0,0.0
,,41310,구리시,-311.9827395696625,0.07601880367695024,,,0.0,0.0
,,41290,과천시,-392.52873835833384,0.2386332225340002,,,0.0,0.0
,,41210,광명시,-204.15742374061597,0.08607239467664884,,,0.0,0.0
,,41410,군포시,126.78121529722023,0.14275311819094627,,,0.0,0.0
,,41250,동두천시,235.82667663213454,0.05278451910259063,,,0.0,0.0
,,41196,부천시 오정구,-235.80243268698723,0.17674764791139497,,,0.0,0.0
,,41190,부천시,290.6804441031537,0.15207928822352335,,,0.0,0.0
,,41360,남양주시,185.87353535017508,0.10077549717389411,,,0.0,0.0
,,41570,김포시,222.9143481040809,0.16012755826810965,,,0.0,0.0
,,41192,부천시 원미구,-167.3030254417755,0.13754295184091836,,,0.0,0.0
,,41194,부천시 소사구,-92.42934483453553,0.22523435710834816,,,0.0,0.0
,,41135,성남시 분당구,-123.54534512092505,0.2290781072281307,,,0.0,0.0
,,41131,성남시 수정구,-74.24111682935961,0.12515084779629015,,,0.0,0.0
,,41117,수원시 영통구,-89.44424170819457,0.1664050321583641,,,0.0,0.0
,,41113,수원시 권선구,35.71507544471149,0.08674320800711444,,,0.0,0.0
,,41111,수원시 장안구,-75.3501222467786,0.14327507240369375,,,0.0,0.0
,,41133,성남시 중원구,25.316466985109287,-0.028573715462303362,,,0.0,0.0
,,41115,수원시 팔달구,-380.0453268503028,-0.20018327039708605,,,0.0,0.0
,,41390,시흥시,116.18904192468165,0.08418026736551232,,,0.0,0.0
,,41273,안산시 단원구,36.36676414355691,-0.10105735095104862,,,0.0,0.0
,,41271,안산시 상록구,390.75738301289573,0.14404505884347385,,,0.0,0.0
,,41173,안양시 동안구,-0.830386679652861,0.12709904407803263,,,0.0,0.0
,,41550,안성시,68.83763136694654,0.04746695569450976,,,0.0,0.0
,,41171,안양시 만안구,-80.70106421790456,0.04569578747778946,,,0.0,0.0
,,41630,양주시,125.69034497871996,0.030653780564371846,,,0.0,0.0
,,41830,양평군,-142.31901868989075,-0.346661261031179,,,0.0,0.0
,,41670,여주시,-60.83150048983782,-0.10048784847693426,,,0.0,0.0
,,41800,연천군,155.7491641196633,-0.1941445726742459,,,0.0,0.0
,,41370,오산시,199.76359838926203,0.15660711183316067,,,0.0,0.0
,,41463,용인시 기흥구,52.256927678329134,0.21216492224313788,,,0.0,0.0
,,41465,용인시 수지구,187.08134560032806,0.23737681577843794,,,0.0,0.0
,,41461,용인시 처인구,98.76153562346224,-0.05340954272056919,,,0.0,0.0
,,41430,의왕시,-313.4118742658177,0.07445804479142382,,,0.0,0.0
,,41150,의정부시,292.7126745370143,0.12433288685902921,,,0.0,0.0
,,41480,파주시,175.4954972584693,0.08500829287593126,,,0.0,0.0
,,41500,이천시,138.7923239890905,0.08424741329608887,,,0.0,0.0
,,41590,화성시,347.0448431607532,0.08800830660578107,,,0.0,0.0
,,41650,포천시,139.25711866260679,-0.19905571726008198,,,0.0,0.0
,,41220,평택시,797.5088320789276,0.2117172198306716,,,0.0,0.0
,,41450,하남시,-218.690708544249,0.1732601880468958,,,0.0,0.0
,,41597,_,124.22423023306567,0.1820200132159031,,,0.0,0.0
,,43800,단양군,-178.99615824989496,-0.4141298639594271,,,0.0,0.0
,,41591,_,70.84040747970755,0.04217420015614648,,,0.0,0.0
,,43740,영동군,320.3699901745746,-0.09951064715484303,,,0.0,0.0
,,41595,_,82.61307607195943,0.20113274551385452,,,0.0,0.0
,,41593,_,-154.68074129649995,0.05168158152975755,,,0.0,0.0
,,43720,보은군,-110.46257132933317,-0.21822469797288901,,,0.0,0.0
,,43760,괴산군,-77.1047924890903,-0.2671556822104102,,,0.0,0.0
,,43730,옥천군,-240.253883765223,-0.23364869952022804,,,0.0,0.0
,,43150,제천시,398.2818058702286,-0.2265420916146086,,,0.0,0.0
,,43770,음성군,334.7862549566281,0.051650070194257935,,,0.0,0.0
,,43750,진천군,316.13654514166717,0.0424587061854802,,,0.0,0.0
,,43745,증평군,139.68442385970036,-0.012072091008384245,,,0.0,0.0
,,43111,청주시 상당구,-212.93294646465483,-0.10023729227217437,,,0.0,0.0
,,43112,청주시 서원구,74.88670498933573,0.11684872629844945,,,0.0,0.0
,,43114,청주시 청원구,125.36078887339784,0.04996528022951008,,,0.0,0.0
,,43130,충주시,519.4854340751132,-0.0826049031256284,,,0.0,0.0
,,43113,청주시 흥덕구,135.77993653745204,0.007522844637599668,,,0.0,0.0
,,44250,계룡시,300.3144949080248,0.05810122502066761,,,0.0,0.0
,,44710,금산군,-11.319375466752831,-0.16299021057788377,,,0.0,0.0
,,44230,논산시,235.19492114187562,-0.02760915015101917,,,0.0,0.0
,,44270,당진시,323.1661072620874,-0.009014743154106775,,,0.0,0.0
,,44180,보령시,244.88508765793324,-0.3983307106431222,,,0.0,0.0
,,44150,공주시,-174.8042595581462,-0.26330405274311675,,,0.0,0.0
,,44760,부여군,128.4027954151237,-0.21229591876561837,,,0.0,0.0
,,44210,서산시,546.3211966197167,-0.040805473891692756,,,0.0,0.0
,,44133,천안시 서북구,370.32542499977023,-0.01010833097829078,,,0.0,0.0
,,44131,천안시 동남구,59.5021538718637,0.0009418731870609598,,,0.0,0.0
,,44810,예산군,43.788412241405354,-0.22303379678695423,,,0.0,0.0
,,44770,서천군,-32.99158548530852,-0.21706734116008564,,,0.0,0.0
,,44200,아산시,520.2113687551088,0.12558933357496826,,,0.0,0.0
,,44790,청양군,255.24708200757516,-0.16896432572728237,,,0.0,0.0
,,44825,태안군,194.9817677533107,-0.3971185141550251,,,0.0,0.0
,,46720,곡성군,-11.81717199808611,-0.1691579635241136,,,0.0,0.0
,,46810,강진군,116.10044998011665,-0.11750495141304906,,,0.0,0.0
,,46770,고흥군,554.6014259469138,-0.13334335723626323,,,0.0,0.0
,,46230,광양시,448.6594911928129,0.05062741748751698,,,0.0,0.0
,,44800,홍성군,281.6573534045957,-0.056296342536025445,,,0.0,0.0
,,46730,구례군,-127.06746539457185,-0.31288122605113156,,,0.0,0.0
,,46170,나주시,204.55015310120177,-0.011513612197334488,,,0.0,0.0
,,46780,보성군,-20.793169964470053,-0.21784773915495537,,,0.0,0.0
,,46710,담양군,-425.6767852326461,-0.3506384927564108,,,0.0,0.0
,,46910,신안군,331.2981039197872,-0.10684662828257574,,,0.0,0.0
,,46150,순천시,410.45105831802323,-0.016370030570779015,,,0.0,0.0
,,46110,목포시,473.1255841109311,-0.03939046153595349,,,0.0,0.0
,,46840,무안군,125.28683619833907,-0.0032649287989761078,,,0.0,0.0
,,46130,여수시,537.3874923932941,-0.26050839644012314,,,0.0,0.0
,,46870,영광군,317.31062616638417,-0.045213355985568526,,,0.0,0.0
,,46830,영암군,171.00221615615567,-0.01723083718679863,,,0.0,0.0
,,46880,장성군,9.980192275304262,-0.07515561187919939,,,0.0,0.0
,,46890,완도군,621.1954668377726,-0.06150128181701753,,,0.0,0.0
,,46800,장흥군,268.88253325016046,-0.11069965690692385,,,0.0,0.0
,,46900,진도군,281.81825605370375,-0.1530874364967003,,,0.0,0.0
,,46860,함평군,-156.52661533427033,-0.19254760317933162,,,0.0,0.0
,,46790,화순군,-59.22418973617266,-0.0666811674546457,,,0.0,0.0
,,46820,해남군,277.36187480044066,-0.07686172663076718,,,0.0,0.0
,,47130,경주시,70.16722734218104,-0.32573416098107666,,,0.0,0.0
,,47290,경산시,508.4016992772425,0.1651381277225128,,,0.0,0.0
,,47190,구미시,775.9497348519541,0.17170671098891876,,,0.0,0.0
,,47830,고령군,-219.4263354536066,-0.14546896151152744,,,0.0,0.0
,,47150,김천시,389.7559462600676,0.01419092031929825,,,0.0,0.0
,,47280,문경시,39.2786072839516,-0.2730162980139714,,,0.0,0.0
,,47250,상주시,92.68532208128374,-0.11500979630239083,,,0.0,0.0
,,47920,봉화군,218.01604347714908,-0.12575752267517926,,,0.0,0.0
,,47840,성주군,-44.34864783826424,-0.2526459108538015,,,0.0,0.0
,,47770,영덕군,-97.40007113133834,-0.40610225607712946,,,0.0,0.0
,,47760,영양군,858.9085193980353,-0.03587250279012011,,,0.0,0.0
,,47170,안동시,541.096656802429,-0.01877506353469771,,,0.0,0.0
,,47230,영천시,76.4296461209043,-0.13516083638649423,,,0.0,0.0
,,47210,영주시,753.7410497790746,-0.021307546697296065,,,0.0,0.0
,,47900,예천군,422.382120132041,-0.0526886059242897,,,0.0,0.0
,,47940,울릉군,1572.8839749292047,0.48907746268204644,,,0.0,0.0
,,47930,울진군,508.7610791131084,-0.19973725093466843,,,0.0,0.0
,,47750,청송군,142.67822049620838,-0.2744772797286208,,,0.0,0.0
,,47730,의성군,132.278140968128,-0.16396464149675394,,,0.0,0.0
,,47820,청도군,-200.02831756831813,-0.4062342785941704,,,0.0,0.0
,,47850,칠곡군,-226.8977896349495,-0.10469738120081162,,,0.0,0.0
,,47111,포항시 남구,157.11252176373125,-0.08418915198867971,,,0.0,0.0
,,47113,포항시 북구,261.93242796210427,-0.09676209122255797,,,0.0,0.0
,,48310,거제시,795.3912263004692,-0.12593738720878322,,,0.0,0.0
,,48250,김해시,300.0433759382855,0.16006894159956753,,,0.0,0.0
,,48820,고성군,-204.37368171176558,-0.2218094090165561,,,0.0,0.0
,,48880,거창군,385.8174444373475,-0.11003459607195376,,,0.0,0.0
,,48840,남해군,35.23598910034593,-0.36472393670402514,,,0.0,0.0
