SGG_CD,SGG_NM,PERIOD,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,2020,대구광역시,남구,1653,41.0,10.4,67,8.0,4.1
47170,경상북도 안동시,2020,경기도,이천시,1433,38.0,9.0,138,12.0,9.6
47170,경상북도 안동시,2020,경기도,여주시,1433,38.0,9.0,92,10.0,6.4
47170,경상북도 안동시,2020,경기도,용인시 기흥구,1433,38.0,9.0,89,9.0,6.2
47170,경상북도 안동시,2020,경기도,광주시,1433,38.0,9.0,82,9.0,5.7
47170,경상북도 안동시,2020,경기도,성남시 분당구,1433,38.0,9.0,69,8.0,4.8
47170,경상북도 안동시,2020,경기도,남양주시,1433,38.0,9.0,66,8.0,4.6
47170,경상북도 안동시,2020,경기도,용인시 처인구,1433,38.0,9.0,63,8.0,4.4
47170,경상북도 안동시,2020,경기도,평택시,1433,38.0,9.0,63,8.0,4.4
47170,경상북도 안동시,2020,경기도,하남시,1433,38.0,9.0,60,8.0,4.2
47170,경상북도 안동시,2020,경기도,수원시 영통구,1433,38.0,9.0,47,7.0,3.3
47170,경상북도 안동시,2020,경기도,시흥시,1433,38.0,9.0,47,7.0,3.3
47170,경상북도 안동시,2020,경기도,안성시,1433,38.0,9.0,43,7.0,3.0
47170,경상북도 안동시,2020,경기도,안산시 상록구,1433,38.0,9.0,39,6.0,2.7
47170,경상북도 안동시,2020,경기도,안양시 동안구,1433,38.0,9.0,33,6.0,2.3
47170,경상북도 안동시,2020,경기도,수원시 권선구,1433,38.0,9.0,31,6.0,2.2
47170,경상북도 안동시,2020,경기도,의정부시,1433,38.0,9.0,31,6.0,2.2
47170,경상북도 안동시,2020,경기도,수원시 장안구,1433,38.0,9.0,31,6.0,2.2
