SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL
11380,서울특별시 은평구,2,숙박방문자 비율,11.1
11380,서울특별시 은평구,3,체류시간,10.3
11380,서울특별시 은평구,4,목적지 검색량,
11380,서울특별시 은평구,5,관광소비,12.6
11560,서울특별시 영등포구,1,방문자유입,
11560,서울특별시 영등포구,2,숙박방문자 비율,11.5
11560,서울특별시 영등포구,3,체류시간,10.7
11560,서울특별시 영등포구,4,목적지 검색량,
11560,서울특별시 영등포구,5,관광소비,14.2
26170,부산광역시 동구,1,방문자유입,
26170,부산광역시 동구,2,숙박방문자 비율,13.5
26170,부산광역시 동구,3,체류시간,9.8
26170,부산광역시 동구,4,목적지 검색량,
26170,부산광역시 동구,5,관광소비,15.1
26410,부산광역시 금정구,1,방문자유입,
26410,부산광역시 금정구,2,숙박방문자 비율,10.6
26410,부산광역시 금정구,3,체류시간,10.4
26410,부산광역시 금정구,4,목적지 검색량,
26410,부산광역시 금정구,5,관광소비,12.5
26230,부산광역시 부산진구,1,방문자유입,
26230,부산광역시 부산진구,2,숙박방문자 비율,11.7
26230,부산광역시 부산진구,3,체류시간,11.1
26230,부산광역시 부산진구,4,목적지 검색량,
26230,부산광역시 부산진구,5,관광소비,13.5
26260,부산광역시 동래구,1,방문자유입,
26260,부산광역시 동래구,2,숙박방문자 비율,12.1
26260,부산광역시 동래구,3,체류시간,10.1
26260,부산광역시 동래구,4,목적지 검색량,
26260,부산광역시 동래구,5,관광소비,13.8
26710,부산광역시 기장군,1,방문자유입,
26710,부산광역시 기장군,2,숙박방문자 비율,12.6
26710,부산광역시 기장군,3,체류시간,11.9
26710,부산광역시 기장군,4,목적지 검색량,
26710,부산광역시 기장군,5,관광소비,14.9
26290,부산광역시 남구,1,방문자유입,
26290,부산광역시 남구,2,숙박방문자 비율,12.0
26290,부산광역시 남구,3,체류시간,10.8
26290,부산광역시 남구,4,목적지 검색량,
26290,부산광역시 남구,5,관광소비,14.0
11260,서울특별시 중랑구,1,방문자유입,
11260,서울특별시 중랑구,2,숙박방문자 비율,12.0
11260,서울특별시 중랑구,3,체류시간,10.4
11260,서울특별시 중랑구,4,목적지 검색량,
11260,서울특별시 중랑구,5,관광소비,12.1
26440,부산광역시 강서구,1,방문자유입,
26440,부산광역시 강서구,2,숙박방문자 비율,13.2
26440,부산광역시 강서구,3,체류시간,11.1
26440,부산광역시 강서구,4,목적지 검색량,
26440,부산광역시 강서구,5,관광소비,17.7
26380,부산광역시 사하구,1,방문자유입,
26380,부산광역시 사하구,2,숙박방문자 비율,10.9
26380,부산광역시 사하구,3,체류시간,10.1
26380,부산광역시 사하구,4,목적지 검색량,
26380,부산광역시 사하구,5,관광소비,14.1
26140,부산광역시 서구,1,방문자유입,
26140,부산광역시 서구,2,숙박방문자 비율,13.0
26140,부산광역시 서구,3,체류시간,11.3
26140,부산광역시 서구,4,목적지 검색량,
26140,부산광역시 서구,5,관광소비,13.2
26500,부산광역시 수영구,1,방문자유입,
26500,부산광역시 수영구,2,숙박방문자 비율,12.7
26500,부산광역시 수영구,3,체류시간,10.7
26500,부산광역시 수영구,4,목적지 검색량,
26500,부산광역시 수영구,5,관광소비,14.6
26110,부산광역시 중구,1,방문자유입,
26110,부산광역시 중구,2,숙박방문자 비율,12.3
26110,부산광역시 중구,3,체류시간,11.3
26110,부산광역시 중구,4,목적지 검색량,
26110,부산광역시 중구,5,관광소비,13.8
26530,부산광역시 사상구,1,방문자유입,
26530,부산광역시 사상구,2,숙박방문자 비율,11.8
26530,부산광역시 사상구,3,체류시간,10.9
26530,부산광역시 사상구,4,목적지 검색량,
26530,부산광역시 사상구,5,관광소비,12.4
26320,부산광역시 북구,1,방문자유입,
26320,부산광역시 북구,2,숙박방문자 비율,11.1
26320,부산광역시 북구,3,체류시간,10.5
26320,부산광역시 북구,4,목적지 검색량,
26320,부산광역시 북구,5,관광소비,14.4
26200,부산광역시 영도구,1,방문자유입,
26200,부산광역시 영도구,2,숙박방문자 비율,11.6
26200,부산광역시 영도구,3,체류시간,10.5
26200,부산광역시 영도구,4,목적지 검색량,
26200,부산광역시 영도구,5,관광소비,14.0
26470,부산광역시 연제구,1,방문자유입,
26470,부산광역시 연제구,2,숙박방문자 비율,12.7
26470,부산광역시 연제구,3,체류시간,10.9
26470,부산광역시 연제구,4,목적지 검색량,
26470,부산광역시 연제구,5,관광소비,12.1
27720,대구광역시 군위군,1,방문자유입,
27720,대구광역시 군위군,2,숙박방문자 비율,11.5
27720,대구광역시 군위군,3,체류시간,10.8
27720,대구광역시 군위군,4,목적지 검색량,
27720,대구광역시 군위군,5,관광소비,13.7
26350,부산광역시 해운대구,1,방문자유입,
26350,부산광역시 해운대구,2,숙박방문자 비율,12.2
26350,부산광역시 해운대구,3,체류시간,10.5
26350,부산광역시 해운대구,4,목적지 검색량,
26350,부산광역시 해운대구,5,관광소비,14.6
27290,대구광역시 달서구,1,방문자유입,
27290,대구광역시 달서구,2,숙박방문자 비율,11.4
27290,대구광역시 달서구,3,체류시간,11.1
27290,대구광역시 달서구,4,목적지 검색량,
27290,대구광역시 달서구,5,관광소비,12.6
27230,대구광역시 북구,1,방문자유입,
27230,대구광역시 북구,2,숙박방문자 비율,11.9
