SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL,TURSM_DNS_DIV_VAL2
27230,대구광역시 북구,3,체류시간,136,124
27230,대구광역시 북구,4,목적지 검색량,165,94
27230,대구광역시 북구,5,관광소비,183,77
27170,대구광역시 서구,1,방문자유입,119,141
27170,대구광역시 서구,2,숙박방문자 비율,81,179
27170,대구광역시 서구,3,체류시간,50,210
27170,대구광역시 서구,4,목적지 검색량,56,203
27170,대구광역시 서구,5,관광소비,118,142
27710,대구광역시 달성군,1,방문자유입,155,105
27710,대구광역시 달성군,2,숙박방문자 비율,127,133
27710,대구광역시 달성군,3,체류시간,110,150
27710,대구광역시 달성군,4,목적지 검색량,139,120
27710,대구광역시 달성군,5,관광소비,122,138
27720,대구광역시 군위군,1,방문자유입,47,213
27720,대구광역시 군위군,2,숙박방문자 비율,18,242
27720,대구광역시 군위군,3,체류시간,11,249
27720,대구광역시 군위군,4,목적지 검색량,41,218
27720,대구광역시 군위군,5,관광소비,92,168
27140,대구광역시 동구,1,방문자유입,233,27
27140,대구광역시 동구,2,숙박방문자 비율,200,60
27140,대구광역시 동구,3,체류시간,29,231
27140,대구광역시 동구,4,목적지 검색량,214,45
27140,대구광역시 동구,5,관광소비,247,13
27110,대구광역시 중구,1,방문자유입,243,17
27110,대구광역시 중구,2,숙박방문자 비율,142,118
27110,대구광역시 중구,3,체류시간,4,256
27110,대구광역시 중구,4,목적지 검색량,148,111
27110,대구광역시 중구,5,관광소비,198,62
28245,인천광역시 계양구,1,방문자유입,150,110
28245,인천광역시 계양구,2,숙박방문자 비율,124,136
28245,인천광역시 계양구,3,체류시간,106,154
28245,인천광역시 계양구,4,목적지 검색량,135,124
28245,인천광역시 계양구,5,관광소비,162,98
27260,대구광역시 수성구,1,방문자유입,214,46
27260,대구광역시 수성구,2,숙박방문자 비율,198,62
27260,대구광역시 수성구,3,체류시간,103,157
27260,대구광역시 수성구,4,목적지 검색량,193,66
27260,대구광역시 수성구,5,관광소비,187,73
