SGG_CD,SGG_NM,AGEG_DIV_NM,TOU_NUM1,TOU_NUM1_RATE,TOU_NUM2,TOU_NUM2_RATE
11260,서울특별시 중랑구,30~39세,33457991.0,10.8,23338104.0,7.6
11260,서울특별시 중랑구,20~29세,27270085.0,8.8,24950620.0,8.1
11260,서울특별시 중랑구,10~19세,5991258.0,1.9,5817187.0,1.9
11260,서울특별시 중랑구,0~9세,982806.0,0.3,1103610.0,0.4
11170,서울특별시 용산구,70세 이상,25240224.0,2.9,17508316.0,2.0
11170,서울특별시 용산구,60~69세,61663538.0,7.2,38424148.0,4.5
11170,서울특별시 용산구,50~59세,87717735.0,10.2,56337259.0,6.6
11170,서울특별시 용산구,40~49세,92453311.0,10.8,56559360.0,6.6
11170,서울특별시 용산구,30~39세,107392684.0,12.5,84668148.0,9.9
11170,서울특별시 용산구,20~29세,87727338.0,10.2,109019904.0,12.7
11170,서울특별시 용산구,10~19세,13584155.0,1.6,15767619.0,1.8
11170,서울특별시 용산구,0~9세,1207503.0,0.1,1441233.0,0.2
11140,서울특별시 중구,70세 이상,34534713.0,3.0,26007752.0,2.3
11140,서울특별시 중구,60~69세,78885848.0,6.8,58036436.0,5.0
11140,서울특별시 중구,50~59세,112899704.0,9.8,81736545.0,7.1
11140,서울특별시 중구,40~49세,122943219.0,10.7,83665126.0,7.2
11140,서울특별시 중구,30~39세,139721279.0,12.1,119985925.0,10.4
11140,서울특별시 중구,20~29세,107318214.0,9.3,148482700.0,12.9
11140,서울특별시 중구,10~19세,15599319.0,1.4,21597597.0,1.9
11140,서울특별시 중구,0~9세,1173135.0,0.1,1530196.0,0.1
11110,서울특별시 종로구,70세 이상,44004224.0,3.9,28118911.0,2.5
11110,서울특별시 종로구,60~69세,86891564.0,7.6,59902509.0,5.3
11110,서울특별시 종로구,50~59세,112235093.0,9.9,84361598.0,7.4
11110,서울특별시 종로구,40~49세,110378444.0,9.7,79244411.0,7.0
11110,서울특별시 종로구,30~39세,122596127.0,10.8,104571121.0,9.2
11110,서울특별시 종로구,20~29세,109716225.0,9.7,146614281.0,12.9
11110,서울특별시 종로구,10~19세,19396267.0,1.7,25082593.0,2.2
11110,서울특별시 종로구,0~9세,1386003.0,0.1,1818553.0,0.2
26440,부산광역시 강서구,70세 이상,11702379.0,3.7,6031156.0,1.9
26440,부산광역시 강서구,60~69세,40270552.0,12.6,17860566.0,5.6
26440,부산광역시 강서구,50~59세,49751790.0,15.5,25978937.0,8.1
26440,부산광역시 강서구,40~49세,40490379.0,12.7,18946916.0,5.9
26440,부산광역시 강서구,30~39세,35395901.0,11.1,18750255.0,5.9
26440,부산광역시 강서구,20~29세,24891293.0,7.8,17625170.0,5.5
26440,부산광역시 강서구,10~19세,5287373.0,1.7,4722589.0,1.5
26440,부산광역시 강서구,0~9세,1074131.0,0.3,1197887.0,0.4
26710,부산광역시 기장군,70세 이상,11598322.0,3.4,8818805.0,2.6
26710,부산광역시 기장군,60~69세,32788619.0,9.7,21446183.0,6.3
26710,부산광역시 기장군,50~59세,42267513.0,12.5,31927712.0,9.4
26710,부산광역시 기장군,40~49세,37933003.0,11.2,26247416.0,7.8
26710,부산광역시 기장군,30~39세,34235302.0,10.1,25554257.0,7.5
26710,부산광역시 기장군,20~29세,24811920.0,7.3,22276996.0,6.6
26710,부산광역시 기장군,10~19세,7719693.0,2.3,7344885.0,2.2
26710,부산광역시 기장군,0~9세,1683770.0,0.5,1964704.0,0.6
26290,부산광역시 남구,70세 이상,11211868.0,4.3,6422101.0,2.5
26290,부산광역시 남구,60~69세,27518826.0,10.7,13034842.0,5.0
26290,부산광역시 남구,50~59세,28923192.0,11.2,18442258.0,7.1
26290,부산광역시 남구,40~49세,24728248.0,9.6,15508536.0,6.0
26290,부산광역시 남구,30~39세,24076998.0,9.3,16452277.0,6.4
26290,부산광역시 남구,20~29세,30037668.0,11.6,24447127.0,9.5
26290,부산광역시 남구,10~19세,7909031.0,3.1,7655933.0,3.0
26290,부산광역시 남구,0~9세,896425.0,0.3,1030344.0,0.4
26410,부산광역시 금정구,70세 이상,10731905.0,4.3,7603854.0,3.0
26410,부산광역시 금정구,60~69세,25302862.0,10.1,15784467.0,6.3
26410,부산광역시 금정구,50~59세,28096629.0,11.2,20924909.0,8.3
26410,부산광역시 금정구,40~49세,23523028.0,9.4,15907100.0,6.3
