SGG_CD,SGG_NM,BASE_YM,PRE_BASE_YM,TOU_NUM,PREV_TOU_NUM,TOU_NUM_PER
11740,서울특별시 강동구,202504,202404,4500671.0,,
11740,서울특별시 강동구,202505,202405,5405722.0,,
11740,서울특별시 강동구,202506,202406,4822139.0,,
11740,서울특별시 강동구,202507,202407,4987174.0,,
11740,서울특별시 강동구,202508,202408,4880376.0,,
11740,서울특별시 강동구,202509,202409,4733928.0,,
11740,서울특별시 강동구,202510,202410,4917703.0,,
11740,서울특별시 강동구,202511,202411,4874972.0,,
11740,서울특별시 강동구,202512,202412,4941538.0,,
11740,서울특별시 강동구,202601,202501,4645134.0,,
11740,서울특별시 강동구,202602,202502,4444562.0,,
11740,서울특별시 강동구,202603,202503,5239794.0,,
11740,서울특별시 강동구,202604,202504,4506974.0,,
11740,서울특별시 강동구,202605,202505,4987392.0,,
11740,서울특별시 강동구,202606,202506,4716376.0,,
11740,서울특별시 강동구,202607,202507,4833871.0,,
11740,서울특별시 강동구,202608,202508,4871118.0,,
11500,서울특별시 강서구,201801,,4889955.0,,
11500,서울특별시 강서구,201802,,4602136.0,,
11500,서울특별시 강서구,201803,,5386826.0,,
11500,서울특별시 강서구,201804,,4960585.0,,
11500,서울특별시 강서구,201805,,5234362.0,,
11500,서울특별시 강서구,201806,,4882682.0,,
11500,서울특별시 강서구,201807,,5627433.0,,
11500,서울특별시 강서구,201808,,5223820.0,,
11500,서울특별시 강서구,201809,,5231177.0,,
11500,서울특별시 강서구,201810,,5196580.0,,
11500,서울특별시 강서구,201811,,4924038.0,,
11500,서울특별시 강서구,201812,,5120724.0,,
11500,서울특별시 강서구,201901,,4966472.0,,
11500,서울특별시 강서구,201902,,4734814.0,,
11500,서울특별시 강서구,201903,,5794638.0,,
11500,서울특별시 강서구,201904,,4632814.0,,
11500,서울특별시 강서구,201905,,5186104.0,,
11500,서울특별시 강서구,201906,,5129050.0,,
11500,서울특별시 강서구,201907,,5612912.0,,
11500,서울특별시 강서구,201908,,6033720.0,,
11500,서울특별시 강서구,201909,,5722644.0,,
11500,서울특별시 강서구,201910,,5835596.0,,
11500,서울특별시 강서구,201911,,6310630.0,,
11500,서울특별시 강서구,201912,,5822036.0,,
11500,서울특별시 강서구,202001,,5626033.0,,
