SGG_CD,SGG_NM,PERIOD,수도권,부울경,대구경북,합계
27230,대구광역시 북구,2023,3.89,5.89,86.26,79044
27230,대구광역시 북구,2025,4.11,6.48,85.46,50159
27170,대구광역시 서구,2019,2.39,3.84,90.81,14553
27170,대구광역시 서구,2022,2.89,3.99,90.12,29588
27170,대구광역시 서구,2023,2.97,4.23,89.6,31013
27170,대구광역시 서구,2025,3.36,4.57,88.33,19705
27260,대구광역시 수성구,2019,3.2,6.41,87.51,112632
27260,대구광역시 수성구,2022,2.82,5.9,88.64,164998
27260,대구광역시 수성구,2023,2.69,5.84,88.81,183800
27260,대구광역시 수성구,2025,3.07,5.97,88.32,132211
27110,대구광역시 중구,2019,3.2,5.07,88.6,56305
27110,대구광역시 중구,2022,3.89,6.38,86.08,55492
27110,대구광역시 중구,2023,4.17,6.8,84.66,57130
27110,대구광역시 중구,2025,4.67,6.8,84.09,35167
28710,인천광역시 강화군,2019,98.79,0.04,0.08,63180
28710,인천광역시 강화군,2022,98.97,0.06,0.08,78659
28710,인천광역시 강화군,2023,99.0,0.04,0.08,84654
28710,인천광역시 강화군,2025,98.64,0.09,0.14,45673
28245,인천광역시 계양구,2019,96.94,0.13,0.29,25443
28245,인천광역시 계양구,2022,97.09,0.27,0.27,34967
28245,인천광역시 계양구,2023,97.08,0.24,0.31,34073
28245,인천광역시 계양구,2025,96.25,0.33,0.38,28803
28200,인천광역시 남동구,2019,96.91,0.23,0.3,76832
28200,인천광역시 남동구,2022,97.05,0.26,0.28,109143
28200,인천광역시 남동구,2023,97.02,0.26,0.28,110186
28200,인천광역시 남동구,2025,96.75,0.25,0.32,73675
28177,인천광역시 미추홀구,2019,96.78,0.36,0.39,27073
28177,인천광역시 미추홀구,2022,97.13,0.28,0.36,66280
28177,인천광역시 미추홀구,2023,97.05,0.35,0.36,62251
28177,인천광역시 미추홀구,2025,96.21,0.48,0.4,34544
28237,인천광역시 부평구,2019,95.92,0.43,0.41,22812
28237,인천광역시 부평구,2022,96.36,0.3,0.53,46348
28237,인천광역시 부평구,2023,95.93,0.35,0.53,46673
28237,인천광역시 부평구,2025,96.01,0.37,0.52,35438
28185,인천광역시 연수구,2019,96.46,0.24,0.37,207412
28185,인천광역시 연수구,2022,96.37,0.32,0.38,256912
28185,인천광역시 연수구,2023,96.4,0.29,0.39,262650
28185,인천광역시 연수구,2025,96.03,0.38,0.53,176266
28720,인천광역시 옹진군,2019,97.18,0.29,0.12,12035
28720,인천광역시 옹진군,2022,96.46,0.52,0.34,16605
28720,인천광역시 옹진군,2023,96.03,0.56,0.29,14894
28720,인천광역시 옹진군,2025,95.53,0.71,0.45,10163
28140,인천광역시 동구,2019,93.82,0.65,1.13,2928
28140,인천광역시 동구,2022,93.13,0.8,0.92,6722
28140,인천광역시 동구,2023,92.69,0.93,0.76,6863
28140,인천광역시 동구,2025,93.14,0.56,0.94,4984
28260,인천광역시 서구,2019,93.93,0.97,0.83,18224
28260,인천광역시 서구,2022,94.65,0.75,0.7,48838
28260,인천광역시 서구,2023,95.36,0.66,0.61,54753
28260,인천광역시 서구,2025,94.83,0.7,0.73,43738
28110,인천광역시 중구,2019,95.99,0.24,0.38,276000
28110,인천광역시 중구,2022,96.55,0.32,0.39,379768
28110,인천광역시 중구,2023,96.61,0.26,0.33,513014
28110,인천광역시 중구,2025,96.79,0.21,0.32,572807
29200,광주광역시 광산구,2019,3.83,1.84,0.84,48881
29200,광주광역시 광산구,2022,4.42,2.01,0.96,70387
29200,광주광역시 광산구,2023,4.65,2.13,1.11,75397
29200,광주광역시 광산구,2025,5.45,2.5,1.26,57646
29155,광주광역시 남구,2019,1.7,0.58,0.45,13089
29155,광주광역시 남구,2022,1.54,0.79,0.35,17941
29155,광주광역시 남구,2023,1.65,0.91,0.31,16734
29155,광주광역시 남구,2025,2.22,1.0,0.44,11068
29110,광주광역시 동구,2019,2.59,1.4,0.76,29048
29110,광주광역시 동구,2022,3.18,1.48,0.66,42256
29110,광주광역시 동구,2023,3.07,1.56,0.73,47816
29110,광주광역시 동구,2025,3.86,1.5,0.82,29681
29170,광주광역시 북구,2019,2.42,1.22,0.53,27942
29170,광주광역시 북구,2022,3.26,1.44,0.73,54408
29170,광주광역시 북구,2023,3.73,1.72,0.97,53324
29170,광주광역시 북구,2025,5.62,2.31,1.2,36303
29140,광주광역시 서구,2019,4.62,1.81,0.92,71049
29140,광주광역시 서구,2022,4.72,1.97,0.9,108145
29140,광주광역시 서구,2023,4.76,1.92,0.92,113339
29140,광주광역시 서구,2025,5.42,2.26,1.04,82496
30230,대전광역시 대덕구,2019,8.12,1.3,1.82,20214
30230,대전광역시 대덕구,2022,7.55,1.42,1.82,46411
30230,대전광역시 대덕구,2023,8.63,1.41,2.04,49432
30230,대전광역시 대덕구,2025,9.61,1.85,2.2,33521
30110,대전광역시 동구,2019,11.31,1.94,2.71,28704
30110,대전광역시 동구,2022,7.79,1.49,2.39,49404
30110,대전광역시 동구,2023,8.25,1.58,2.69,51594
30110,대전광역시 동구,2025,9.48,2.01,2.79,35790
30170,대전광역시 서구,2019,10.83,1.8,2.33,42350
30170,대전광역시 서구,2022,9.53,1.52,2.2,65869
30170,대전광역시 서구,2023,9.69,1.57,2.09,75112
30170,대전광역시 서구,2025,10.94,2.16,2.6,49128
30200,대전광역시 유성구,2019,16.51,2.35,3.11,153505
30200,대전광역시 유성구,2022,14.35,2.02,2.75,197795
30200,대전광역시 유성구,2023,14.18,2.03,2.73,208307
30200,대전광역시 유성구,2025,13.88,2.2,2.75,135317
30140,대전광역시 중구,2019,6.24,1.18,1.66,32157
30140,대전광역시 중구,2022,6.22,1.31,1.54,50920
30140,대전광역시 중구,2023,7.15,1.4,2.04,46731
30140,대전광역시 중구,2025,10.05,1.96,2.29,36646
31140,울산광역시 남구,2019,4.13,79.65,12.64,70109
31140,울산광역시 남구,2022,3.98,80.52,12.32,111313
31140,울산광역시 남구,2023,4.12,79.87,12.43,120228
31140,울산광역시 남구,2025,4.81,78.57,12.53,90946
31170,울산광역시 동구,2019,2.48,82.06,12.47,16269
31170,울산광역시 동구,2022,2.85,83.25,11.54,31100
31170,울산광역시 동구,2023,3.52,82.07,11.66,31927
31170,울산광역시 동구,2025,3.23,82.2,11.61,33193
31200,울산광역시 북구,2019,2.61,74.38,20.48,10947
31200,울산광역시 북구,2022,2.44,74.2,20.89,30269
31200,울산광역시 북구,2023,2.8,72.12,22.37,33047
31200,울산광역시 북구,2025,3.35,69.49,24.22,27002
31710,울산광역시 울주군,2019,2.28,82.54,11.37,23814
31710,울산광역시 울주군,2022,2.39,82.87,11.63,50897
31710,울산광역시 울주군,2023,2.62,82.82,11.34,58215
31710,울산광역시 울주군,2025,3.94,77.31,13.85,43335
31110,울산광역시 중구,2019,1.98,87.72,8.42,20656
31110,울산광역시 중구,2022,1.69,88.61,7.83,30090
31110,울산광역시 중구,2023,1.87,88.52,7.82,35077
31110,울산광역시 중구,2025,2.86,87.1,7.91,21885
41820,경기도 가평군,2019,89.71,0.26,0.34,132101
41820,경기도 가평군,2022,91.45,0.13,0.25,207322
41820,경기도 가평군,2023,91.26,0.17,0.28,204438
41820,경기도 가평군,2025,89.9,0.19,0.37,106795
41281,경기도 고양시 덕양구,2019,96.73,0.34,0.41,19976
41281,경기도 고양시 덕양구,2022,96.86,0.38,0.42,46088
41281,경기도 고양시 덕양구,2023,96.3,0.52,0.44,46349
41281,경기도 고양시 덕양구,2025,95.81,0.46,0.61,30144
41285,경기도 고양시 일산동구,2019,97.83,0.17,0.23,67258
41285,경기도 고양시 일산동구,2022,97.79,0.21,0.25,99077
41285,경기도 고양시 일산동구,2023,97.83,0.18,0.22,110190
41285,경기도 고양시 일산동구,2025,97.64,0.24,0.33,68506
41287,경기도 고양시 일산서구,2019,98.32,0.15,0.26,28704
41287,경기도 고양시 일산서구,2022,97.86,0.24,0.33,63550
41287,경기도 고양시 일산서구,2023,97.64,0.26,0.33,65468
41287,경기도 고양시 일산서구,2025,96.76,0.42,0.49,36489
41290,경기도 과천시,2019,98.46,0.09,0.08,7847
41290,경기도 과천시,2022,99.32,0.03,0.05,5990
41290,경기도 과천시,2023,98.95,0.04,0.06,7835
41290,경기도 과천시,2025,98.75,0.19,0.15,4635
41210,경기도 광명시,2019,96.77,0.34,0.46,25292
41210,경기도 광명시,2022,96.56,0.33,0.39,53680
41210,경기도 광명시,2023,96.27,0.44,0.45,60367
41210,경기도 광명시,2025,95.78,0.49,0.55,41417
41610,경기도 광주시,2019,91.35,0.52,0.88,110229
41610,경기도 광주시,2022,91.73,0.39,0.74,156360
41610,경기도 광주시,2023,91.66,0.36,0.76,168678
41610,경기도 광주시,2025,90.84,0.51,1.1,88673
41310,경기도 구리시,2019,97.21,0.27,0.34,28933
41310,경기도 구리시,2022,97.25,0.27,0.27,55313
41310,경기도 구리시,2023,97.03,0.29,0.34,53423
41310,경기도 구리시,2025,96.1,0.41,0.46,30983
41410,경기도 군포시,2019,96.08,0.34,0.51,13576
41410,경기도 군포시,2022,95.27,0.39,0.52,17243
41410,경기도 군포시,2023,94.75,0.56,0.49,18424
41410,경기도 군포시,2025,95.26,0.36,0.63,17181
41570,경기도 김포시,2019,97.53,0.21,0.23,90912
41570,경기도 김포시,2022,97.64,0.25,0.27,97917
41570,경기도 김포시,2023,97.46,0.22,0.28,116198
41570,경기도 김포시,2025,97.33,0.26,0.3,87604
41360,경기도 남양주시,2019,95.86,0.23,0.35,47111
41360,경기도 남양주시,2022,95.63,0.24,0.4,81383
41360,경기도 남양주시,2023,95.27,0.28,0.5,79965
41360,경기도 남양주시,2025,94.42,0.37,0.58,52115
41250,경기도 동두천시,2019,95.61,0.41,0.72,9705
41250,경기도 동두천시,2022,97.13,0.3,0.28,27480
41250,경기도 동두천시,2023,96.37,0.33,0.35,29267
41250,경기도 동두천시,2025,95.34,0.41,0.63,17738
41194,경기도 부천시 소사구,2025,96.66,0.2,0.75,2937
41196,경기도 부천시 오정구,2025,96.36,0.46,0.47,10409
41192,경기도 부천시 원미구,2025,96.77,0.25,0.41,53214
41135,경기도 성남시 분당구,2019,95.81,0.32,0.44,59290
41135,경기도 성남시 분당구,2022,95.64,0.41,0.56,96523
41135,경기도 성남시 분당구,2023,96.01,0.36,0.48,141285
