응답번호,응답시각,Q1_3년내_방문,Q2_주_이동수단,Q3_대중교통_불편,Q4_이동불편_포기한곳,Q5_원도심_식사후_이동,Q6_영수증_체험쿠폰_의향,Q7_가장좋은_혜택,Q8_야간택시셔틀_의향,Q9_월영교_밤_식당편의,Q10_야간팝업포차_의향,Q11_유료체험_망설임,Q12_영수증_축제혜택_의향,Q13_귀가_교통_시간대
47,2026. 9. 23 오후 4:10:23,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지","하회마을, 도산서원 등 관광지 구경",있다,20% ~ 30% 가격 할인,있다,부족했다,있다,줄을 오래 서거나 예약하기 불편해서,있다,20시 ~ 22시 (막차 시간대)
48,2026. 9. 23 오후 4:22:13,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",카페에 갔다가 집/역으로 이동,있다,30% 넘는 큰 가격 할인,매우있다,부족했다,매우 있다,체험 정보가 부족해서,있다,20시 ~ 22시 (막차 시간대)
49,2026. 9. 23 오후 6:08:57,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),숙소로 이동해서 휴식,매우있다,30% 넘는 큰 가격 할인,매우있다,부족했다,매우 있다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
50,2026. 9. 23 오후 6:10:11,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소","하회마을, 도산서원 등 관광지 구경",매우있다,20% ~ 30% 가격 할인,매우있다,매우부족했다,매우 있다,줄을 오래 서거나 예약하기 불편해서,매우있다,20시 ~ 22시 (막차 시간대)
51,2026. 9. 23 오후 6:13:48,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,매우있다,부족했다,매우 있다,줄을 오래 서거나 예약하기 불편해서,매우있다,18시 ~ 20시
52,2026. 9. 23 오후 6:54:52,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,있다,부족했다,매우 있다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
53,2026. 9. 23 오후 7:00:16,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",숙소로 이동해서 휴식,매우있다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,매우있다,보통이다,매우 있다,줄을 오래 서거나 예약하기 불편해서,보통이다,당일 귀가 안 함 (안동에서 숙박)
54,2026. 9. 23 오후 7:06:28,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",숙소로 이동해서 휴식,있다,30% 넘는 큰 가격 할인,있다,보통이다,별로 없다,다음 장소로 이동할 시간이 부족해서,보통이다,20시 ~ 22시 (막차 시간대)
55,2026. 9. 23 오후 7:18:26,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),하회페스티벌 방문,매우있다,30% 넘는 큰 가격 할인,별로없다(자차/렌터카 이용 등),보통이다,보통이다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
56,2026. 9. 23 오후 7:24:25,예,도보,불편했다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",매우있다,20% ~ 30% 가격 할인,있다,보통이다,매우 있다,다음 장소로 이동할 시간이 부족해서,있다,20시 ~ 22시 (막차 시간대)
57,2026. 9. 23 오후 7:25:56,아니오,자가용 / 렌터카,불편했다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,보통이다,10% ~ 20% 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,별로 없다,줄을 오래 서거나 예약하기 불편해서,있다,당일 귀가 안 함 (안동에서 숙박)
58,2026. 9. 23 오후 7:26:49,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,자차 사용예정,월영교 등 밤 야경 보러 이동,있다,30% 넘는 큰 가격 할인,있다,보통이다,있다,줄을 오래 서거나 예약하기 불편해서,있다,당일 귀가 안 함 (안동에서 숙박)
59,2026. 9. 23 오후 7:37:01,아니오,대중교통 (시내버스 등),이용하지 않았다 / 잘 모르겠다,월영교 같은 밤에 가기 좋은 야간 명소,"하회마을, 도산서원 등 관광지 구경",별로없다,30% 넘는 큰 가격 할인,있다,보통이다,있다,관심없음,별로 없다,당일 귀가 안 함 (안동에서 숙박)
60,2026. 9. 23 오후 8:14:43,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당","하회마을, 도산서원 등 관광지 구경",보통이다,20% ~ 30% 가격 할인,있다,보통이다,별로 없다,줄을 오래 서거나 예약하기 불편해서,보통이다,20시 ~ 22시 (막차 시간대)
61,2026. 9. 23 오후 8:15:24,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,,월영교 등 밤 야경 보러 이동,매우있다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,별로없다(자차/렌터카 이용 등),부족했다,매우 있다,체험 정보가 부족해서,보통이다,18시 ~ 20시
62,2026. 9. 23 오후 8:16:10,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,방문 해본 적 없음,방문해본 적 없음,있다,10% ~ 20% 가격 할인,매우있다,,있다,,보통이다,
63,2026. 9. 23 오후 8:32:58,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,보통이다,보통이다,있다,줄을 오래 서거나 예약하기 불편해서,있다,18시 ~ 20시
64,2026. 9. 23 오후 8:47:24,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",카페에 갔다가 집/역으로 이동,별로없다,30% 넘는 큰 가격 할인,있다,보통이다,별로 없다,줄을 오래 서거나 예약하기 불편해서,보통이다,당일 귀가 안 함 (안동에서 숙박)
65,2026. 9. 23 오후 8:58:55,아니오,,,,,,,,,,,,
66,2026. 9. 23 오후 9:20:18,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,있다,보통이다,매우 있다,체험 정보가 부족해서,보통이다,당일 귀가 안 함 (안동에서 숙박)
67,2026. 9. 23 오후 9:37:18,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,부족했다,매우 있다,다음 장소로 이동할 시간이 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
68,2026. 9. 23 오후 9:45:48,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당","하회마을, 도산서원 등 관광지 구경",있다,20% ~ 30% 가격 할인,있다,부족했다,있다,가격이 부담스러워서,매우있다,18시 이전
69,2026. 9. 23 오후 9:46:55,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,부족했다,매우 있다,다음 장소로 이동할 시간이 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
70,2026. 9. 23 오후 9:50:22,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",카페에 갔다가 집/역으로 이동,보통이다,30% 넘는 큰 가격 할인,있다,보통이다,있다,줄을 오래 서거나 예약하기 불편해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
71,2026. 9. 23 오후 9:50:27,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,있다,줄을 오래 서거나 예약하기 불편해서,있다,당일 귀가 안 함 (안동에서 숙박)
72,2026. 9. 23 오후 9:51:49,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,,카페에 갔다가 집/역으로 이동,있다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,별로없다(자차/렌터카 이용 등),보통이다,있다,체험 정보가 부족해서,보통이다,당일 귀가 안 함 (안동에서 숙박)
73,2026. 9. 23 오후 9:52:42,예,대중교통 (시내버스 등),불편하지 않았다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,있다,30% 넘는 큰 가격 할인,매우있다,보통이다,매우 있다,체험 정보가 부족해서,있다,18시 ~ 20시
74,2026. 9. 23 오후 9:53:37,아니오,,,,,,,,,,,,
75,2026. 9. 23 오후 10:43:04,예,대중교통 (시내버스 등),불편하지 않았다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,보통이다,매우 있다,체험 정보가 부족해서,있다,18시 ~ 20시
76,2026. 9. 23 오후 10:52:48,예,대중교통 (시내버스 등),이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,부족했다,매우 있다,줄을 오래 서거나 예약하기 불편해서,매우있다,20시 ~ 22시 (막차 시간대)
77,2026. 9. 23 오후 10:56:52,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,월영교 같은 밤에 가기 좋은 야간 명소,카페에 갔다가 집/역으로 이동,보통이다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,있다,보통이다,있다,다음 장소로 이동할 시간이 부족해서,있다,당일 귀가 안 함 (안동에서 숙박)
78,2026. 9. 23 오후 11:06:16,아니오,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,숙소로 이동해서 휴식,있다,20% ~ 30% 가격 할인,매우있다,보통이다,있다,가격이 부담스러워서,보통이다,당일 귀가 안 함 (안동에서 숙박)
79,2026. 9. 24 오전 12:51:23,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,있다,20% ~ 30% 가격 할인,있다,부족했다,있다,체험 정보가 부족해서,있다,당일 귀가 안 함 (안동에서 숙박)
80,2026. 9. 24 오전 12:56:13,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,있다,보통이다,매우 있다,체험 정보가 부족해서,있다,당일 귀가 안 함 (안동에서 숙박)
81,2026. 9. 24 오전 1:00:19,아니오,,,,,매우있다,30% 넘는 큰 가격 할인,매우있다,보통이다,,,,당일 귀가 안 함 (안동에서 숙박)
82,2026. 9. 24 오전 2:12:05,예,대중교통 (시내버스 등),불편하지 않았다,없음 (가고 싶던 곳 모두 방문함),숙소로 이동해서 휴식,매우있다,30% 넘는 큰 가격 할인,매우있다,충분하다,매우 있다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
83,2026. 9. 24 오전 8:14:48,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,,월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,보통이다,매우 있다,줄을 오래 서거나 예약하기 불편해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
