,방문,방문당소비,체류시간,숙박객비중,야간비중,주말비중,수도권비중,권역,예측_방문당소비,격차_%,격차_순위(낮은순)
파주시,53117101.0,23486.84,23.21,7.77,21.25,35.77,95.93,수도권,17029.81,37.92,104
사천시,15397927.0,18239.15,19.98,10.68,20.43,36.89,5.42,동남,13109.46,39.13,105
포천시,28267068.0,23672.55,21.1,10.05,20.02,36.12,90.91,수도권,16907.61,40.01,106
음성군,19137623.0,24834.95,23.86,8.42,20.02,30.08,34.13,충청,17304.02,43.52,107
제천시,15880297.0,20787.66,27.72,18.5,26.87,38.71,47.19,충청,14482.66,43.53,108
군산시,26817690.0,20056.29,30.83,14.54,25.99,36.11,20.74,호남,13911.66,44.17,109
산청군,7362748.0,15693.66,16.37,12.45,18.24,42.43,3.34,동남,10755.33,45.92,110
기장군,42224314.0,23610.36,11.0,5.91,16.05,40.49,2.57,동남,16072.76,46.9,111
울릉군,1577980.0,20730.02,71.83,41.57,33.38,32.08,6.67,대경,14036.81,47.68,112
창녕군,10376423.0,17022.42,17.12,9.42,18.37,38.31,2.68,동남,11511.51,47.87,113
문경시,12248902.0,18239.28,16.46,11.81,22.36,39.67,22.65,대경,12318.49,48.06,114
함안군,11526401.0,21066.37,15.3,5.58,14.04,33.96,2.83,동남,14156.54,48.81,115
횡성군,11435210.0,22283.11,16.82,12.27,19.68,38.98,56.3,강원,14903.68,49.51,116
증평군,6128349.0,19409.35,19.85,8.93,18.12,33.8,25.46,충청,12950.17,49.88,117
안성시,36616466.0,28108.61,18.96,6.46,17.64,34.14,78.87,수도권,18722.18,50.14,118
태백시,5484126.0,17071.42,28.87,16.42,26.01,36.39,22.09,강원,10555.29,61.73,119
군위군,7956575.0,29677.18,9.34,5.36,12.77,39.76,2.7,대경,13175.12,125.25,120
성주군,7885849.0,25650.71,15.87,8.27,19.58,35.8,3.29,대경,11358.77,125.82,121
여주시,24741700.0,42538.39,16.19,6.89,16.18,37.9,80.01,수도권,15750.75,170.07,122
