,방문,소비,방문당소비,야간비중,주말비중,체류시간,숙박객비중,수도권비중,권역,군
보은군,8748922.0,89220065000.0,10197.835230443248,19.541401786414372,39.77188275309803,14.904327979448341,9.55146659814707,23.23,충청,1
봉화군,4719890.0,38549132000.0,8167.379324518156,21.683810427785392,37.37604054331774,21.824845148339126,12.030965731482082,13.58,대경,1
부안군,10923148.0,155337026000.0,14220.902802012753,24.870495208890333,40.584728871200866,18.971309610065614,18.17751318858966,13.79,호남,1
부여군,11419362.0,197732930000.0,17315.58470604575,21.381789980911368,38.290615535263704,20.060428348139887,11.370454011862495,27.27,충청,1
사천시,15397927.0,280845089000.0,18239.149269898473,20.42897073093021,36.89244013171383,19.975378697015753,10.681629985413213,5.42,동남,0
산청군,7362748.0,115548478000.0,15693.661931659211,18.240349934562474,42.42846556747562,16.37292896760689,12.448885449933671,3.34,동남,1
삼척시,12247886.0,162164477000.0,13240.201370260958,25.722365475968665,37.75590334527934,25.162324618536935,18.27128777201157,23.06,강원,0
상주시,14343002.0,148719097000.0,10368.756624310587,20.5513322803692,36.170761183746606,18.87779743035568,9.435520649743982,15.95,대경,0
서귀포시,44107359.0,998024939000.0,22627.175184077558,30.03350529330038,31.399665076297133,31.634516469892784,21.826275322739537,0.89,제주,0
서산시,18388255.0,323222711000.0,17577.671780166198,23.703722838300862,35.69738944777522,30.4307148374942,13.28074396037056,30.0,충청,0
서천군,11119519.0,101125016000.0,9094.369639550056,19.090502026211745,39.76858171652928,17.916915922426092,10.898140626281082,17.08,충청,1
성주군,7885849.0,202277654000.0,25650.713575672067,19.58264734716579,35.80057137792012,15.865290971080672,8.274299391619678,3.29,대경,1
속초시,26005012.0,616856593000.0,23720.68095950119,30.09600226294839,38.99530598178536,19.12896764481818,24.237362069529965,31.9,강원,0
순창군,4986632.0,36238935000.0,7267.216630382992,18.544320094203865,41.92116041448416,15.334761860391527,8.999913971987157,7.82,호남,1
시흥시,56498246.0,1208840160000.0,21396.065286699344,19.885576624803537,33.515856403754555,19.960526309253122,6.624659473990642,93.87,수도권,0
아산시,41644267.0,697516364000.0,16749.397077873888,21.566790934271935,32.76451474100865,29.282132957048084,10.056136174125015,41.73,충청,0
