,방문25(만),방문%19-25,방문당소비25,방문당소비%19-25,방문당소비%24-26,방문%24-26,체류시간25,체류%19-25,숙박객비중25,숙박객비중p19-25,숙박소비%,체험소비%,외식소비%,대표축제,축제방문,축제외지인비율,축제수,숙박객체류%19-25,잠재개선액(억),문제,해결가능,종합,기본순위,상위10빈도%,최악순위
남원시,1084.1883,12.482122961654518,15374.510128913951,64.41206910677212,2.347660178733646,1.0315482795552722,21.49510519628224,-16.113597087054966,13.253398426900464,-3.4166828648154173,2.5432255011499283,0.6774774813688563,26.131600809749244,,,,,5.820962490509207,0.0,42.42424242424242,29.090909090909093,35.75757575757576,57.0,0.0,62.0
남해군,905.7444,9.850966821831486,11738.40003868641,34.04409042861125,14.701364232919769,7.896240753376582,23.50832435368909,8.25266884196223,23.73570298750529,1.325022106528074,17.17307280035936,1.0074341585400837,43.46124438170799,,,,,4.923241438891379,207.53769234865823,27.27272727272727,52.52525252525253,39.8989898989899,52.0,0.0,60.0
단양군,942.7933,11.70899387018014,14078.677266798566,-0.7202802409366993,3.4855952940720636,-3.1416870765559435,14.871835303395954,-5.265555878132922,15.65389018696285,-1.975374677152809,4.219400858684347,1.4029815051176564,34.77323687811785,,,,,9.295013948111986,0.0,50.909090909090914,21.01010101010101,35.95959595959596,56.0,0.0,64.0
당진시,2225.0363,19.878867747749872,21262.820431289143,6.3981500628475185,13.943134810079272,-4.3790373617472955,27.764247640673545,-3.3028920904894177,11.221629343391596,-0.1565484710801463,1.0409898597812246,3.179028114942141,27.6698555545985,,,,,-2.405985989078463,0.0,30.909090909090907,29.898989898989903,30.404040404040405,63.0,0.0,66.0
동해시,1233.74,15.336941317116937,16240.66732050513,8.66399760589076,4.889663444108261,13.069211268161451,24.696121083456116,-28.32463679983964,16.80277744900777,0.3771132597187971,3.53528149352723,1.4210894735984998,40.161589191793965,,,,,-32.040722610882156,0.0,48.18181818181818,50.101010101010104,49.141414141414145,32.0,0.0,51.0
무주군,838.0581,8.779987219886621,10087.062698874935,22.12683368619497,10.983414444551908,-1.624582959215759,14.590868667496888,-9.847787126216046,16.215720460039556,-1.8059363422950625,20.467827188135967,1.6894770981630594,28.695980382004493,무주반딧불축제,197992.0,50.49,1.0,1.6749079730351113,330.4200591365046,46.66666666666667,56.36363636363637,51.515151515151516,28.0,4.166666666666666,52.0
문경시,1224.8902,10.054530843547903,18239.282998590403,10.459903749095222,-2.1553333394989327,16.93837467258379,16.464314141159505,-23.57725976111642,11.808443982553491,-3.729785289854398,1.8503988094777168,1.4126364932750235,24.972552180577885,문경찻사발축제,256570.0,76.67,1.0,0.06589199831885661,0.0,56.666666666666664,64.44444444444444,60.55555555555556,12.0,37.5,31.0
밀양시,1601.2294,31.871577626024106,9582.85065213017,8.328182363596559,14.153971273880028,2.6175704051773607,18.993043515131223,-13.885070956230694,10.270133108244266,-2.33239324669654,1.9534639940446583,1.6184297558223122,33.44229184356955,밀양아리랑대축제,155271.0,28.77,1.0,5.267260441097377,712.0505139489159,52.42424242424242,85.05050505050505,68.73737373737373,6.0,91.66666666666666,16.0
보령시,1777.9609,12.786087599924612,13655.148884320237,1.5242865445096454,6.811829447417184,-0.8670836699285367,25.29664390277646,-13.829371984648686,22.189645711769828,-5.3142065624948955,5.033588237288635,1.864752936290388,43.86730938986522,보령머드축제,912258.0,72.36,1.0,8.47285248593077,66.60252094354651,56.36363636363636,53.93939393939394,55.15151515151515,18.0,0.0,34.0
부안군,1092.3148,17.391188934275913,14220.902802012752,51.803373143286315,6.865389600957039,4.737572459103689,18.971309610065617,-15.17980270040573,18.17751318858966,-4.93071068348344,4.294362504403812,0.6546958096133499,27.435552293887746,,,,,9.712695286882012,0.0,40.0,45.656565656565654,42.82828282828282,44.0,0.0,58.0
