,방문2019(만),방문당2019,방문2023(만),방문당2023,방문2024(만),방문당2024,방문2025(만),방문당2025,방문2026(만),방문당2026,방문%23→24,방문당%23→24,방문%24→25,방문당%24→25,방문%25→26,방문당%25→26,방문당%19→26,방문당%23→26,흐름,문제태그,중앙대비_23→26(%p),중앙보다나쁜해,방문%23→26,초과23→24,초과24→25,초과25→26
거창군,436.3158,8169.366545974269,426.7673,11286.2442834772,423.7746,11109.447333558925,434.1324,10706.229942754791,431.7852,11257.460654047429,-0.7012486664278117,-1.5664816875982646,2.444176692043354,-3.62949999849328,-0.5406645530257603,5.148691128810201,37.80090035983172,-0.2550328409239855,급락 후 회복완료,머무는데안씀 · 숙박이탈 · 계절쏠림 · 고령화,-6.4327819966383375,2,1.1757929907000753,-3.3071909926557175,0.2014894078232019,-2.319626127789265
동해시,709.2864,15031.32528693628,821.4596,15841.434928753648,785.5585,17031.707886809192,840.0553,16274.751793126,888.2248,17864.501081257808,-4.370403608406304,7.513668827405851,6.937331847341732,-4.444393355697718,5.734086791667159,9.768193753979526,18.8484763667768,12.770725389479145,급락 후 회복완료,체험공백 · 숙박이탈,6.592976233764793,1,8.127630378901163,5.7729595223483985,-0.6134039493812362,2.29987649738006
원주시,1990.3211,18919.00020554472,2165.7832,20873.07524594336,2255.7703,19885.041486715203,2271.9408,19486.024899944576,2334.9185,20265.200776815123,4.154944964020402,-4.73353230219481,0.7168504701032807,-2.0066168181605337,2.771978037455902,3.998639439656904,7.115601018260254,-2.9122420245496716,급락 후 회복완료,숙박이탈 · 업무체류의심,-9.089991180264024,2,7.809428940071217,-6.474241607252263,1.8243725881559483,-3.469677816942562
안동시,1237.2667,12758.839302795428,1109.5162,15090.505843898449,1110.0086,15571.868632369156,1155.6027,14479.34285719478,1172.6312,15134.01997149658,0.0443797035140081,3.189838653853583,4.107544752355974,-7.016022296151081,1.4735600738904564,4.521455985666445,18.615961940838588,0.2883543338325189,급락 후 회복중(미회복),머무는데안씀 · 업무체류의심,-5.889394821881833,2,5.688515408788075,1.4491293487961299,-3.185032889834599,-2.946861270933021
경주시,2851.1235,16645.504728223805,3172.2194,18850.725236722275,3126.2128,18967.870837199567,3259.5351,17644.62748077172,3371.9887,20536.30259792982,-1.4502969119979503,0.6214381622256404,4.264658503093588,-6.976235592203195,3.4499889263349237,16.388416929228523,23.37446615907568,8.941710942367065,급락 후 회복완료,,2.763961786652713,2,6.297461644676905,-1.1192711428318125,-3.145246185886713,8.920099672629057
철원군,425.8123,9576.570474831282,456.9645,10198.636436747274,447.5445,10345.569881877667,432.7961,10194.308359063309,414.8572,11158.833690243291,-2.061429279517335,1.4407165707071234,-3.295404144168901,-1.4620898079217737,-4.14488485455391,9.46141020270852,16.52223224974374,9.41495718031755,급락 후 회복완료,머무는데안씀 · 숙박이탈 · 계절쏠림,3.2372080246031985,1,-9.214566995904494,-0.29999273435032947,2.3688995983947083,1.9930929461090532
강릉시,2184.1717,19479.484144950693,2355.6319,22176.000503304444,2287.1514,22523.47767620456,2376.5242,22455.764978113835,2410.0873,25003.290295749863,-2.907096817630972,1.5669064078905448,3.907603143368643,-0.3006316300890765,1.4122768032406308,11.34463831501147,28.35704533906258,12.749322367773797,급락 후 회복완료,숙박이탈,6.571573212059445,1,2.3117109256331814,-0.1738028971669081,3.5303577762274054,3.876321058412003
속초시,1407.6386,22035.595571192775,1679.6955,23918.764978533312,1663.0285,23934.82661301355,1760.696,23917.094149131935,1797.3055,25401.63967672719,-0.9922631810348914,0.0671507684224081,5.872869887677812,-0.0740864522159157,2.0792629732787393,6.207048056668452,15.275485042641002,6.199629034043919,급락 후 회복완료,숙박이탈,0.021879878329566615,2,7.0018643260043145,-1.6735585366350447,3.7569029541005663,-1.2612691999310144
군산시,1524.8694,24279.605453424403,1647.486,16407.135781426976,1680.3564,20176.438581719925,1730.4331,19626.00333985752,1786.7362,22165.87708918642,1.995185391560228,22.97355766726717,2.9801237404160297,-2.7281090249550166,3.253699897441864,12.941370208425427,-8.705777234694988,35.09900438733731,급락 후 회복완료,방문↑소비↓ · 업무체류의심,28.921255231622958,0,8.45228426827298,21.232848362209715,1.1028803813614654,5.473052951825961
진주시,1535.3276,13914.068241852749,1490.6846,14500.073187849395,1468.5263,14909.236831509248,1521.3064,13689.944247917449,1529.3406,14702.416453208658,-1.4864512587035472,2.821803989256555,3.594086125662166,-8.178101920112645,0.5281118912008775,7.395736512551743,5.6658354526722965,1.3954637520644964,급락 후 회복중(미회복),소비하락 · 머무는데안씀 · 업무체류의심,-4.782285403649856,2,2.593170949777024,1.081094684199102,-4.347112513796164,-0.0725807440477233
