,v24,v26,s24,s26,pv24,pv26,방문%,방문당소비%,방문당소비26,격차,소비순위(낮은순)
미추홀구,30189295.0,31105024.0,565736106.0,594165809.0,18.73962628143519,19.101924145758577,3.0332904428540086,1.9333249173827172,19.101924145758577,-3.146943813290015,127.0
밀양시,10126528.0,10391597.0,93479362.0,109503624.0,9.231136476391514,10.53770888151263,2.6175704051773607,14.153971273880028,10.53770888151263,-15.783310207463973,206.0
보령시,11561860.0,11461609.0,161459280.0,170962259.0,13.964818809430316,14.916078449369543,-0.8670836699285367,6.811829447417184,14.916078449369543,-11.925822456107028,172.0
보성군,4667080.0,4790504.0,60866081.0,61637720.0,13.041576531792899,12.866646181696122,2.64456576703207,-1.3413282487000688,12.866646181696122,-0.26101532302916786,83.0
보은군,4992488.0,5675079.0,54232429.0,62974191.0,10.862806079854373,11.096619271731724,13.6723613557008,2.1524198274234907,11.096619271731724,7.273032189516004,131.0
봉화군,3026524.0,3012862.0,24239617.0,28313345.0,8.009061550478371,9.397491488159764,-0.4514089430647128,17.33573813774054,9.397491488159764,-22.03405641956656,215.0
부산진구,47491670.0,50204309.0,618045654.0,687657544.0,13.013769656868247,13.697181729958677,5.711820620331953,5.251453584240662,13.697181729958677,-3.786542302670015,162.0
부안군,6820054.0,7143159.0,93310073.0,104440299.0,13.681720555291792,14.621023975526795,4.737572459103689,6.865389600957039,14.621023975526795,-6.374726480614656,173.0
부여군,6462250.0,7488477.0,108324828.0,134680412.0,16.762710820534643,17.985020452089255,15.880335796355748,7.291837487629138,17.985020452089255,4.341588969965304,177.0
부천시 소사구,17446273.0,19868790.0,246768126.0,240890483.0,14.144460882848731,12.12406407234663,13.885584617413693,-14.284014267040678,12.12406407234663,23.922689545693064,7.0
부천시 오정구,13562788.0,13530590.0,181388159.0,193220835.0,13.373958141939548,14.280296350713458,-0.23739956710965293,6.776888331448516,14.280296350713458,-11.261197237319475,171.0
부천시 원미구,42368140.0,44803614.0,772843204.0,740331500.0,18.241140725082573,16.52392371740369,5.748361858698536,-9.41397818020019,16.52392371740369,10.915430700137419,18.0
부평구,31895421.0,33211157.0,609067488.0,665332348.0,19.095765752707887,20.033398655758965,4.125156397841567,4.9101613163542,20.033398655758965,-5.0319142572739395,155.0
사상구,18840751.0,19560399.0,295296889.0,300861721.0,15.673307767827302,15.381164821842336,3.8196354274837585,-1.8639520789903052,15.381164821842336,1.4366781677127571,73.0
사천시,9859137.0,10036860.0,179834915.0,200016044.0,18.24043169295649,19.928149241894378,1.8026222781973633,9.252618454143246,19.928149241894378,-11.69690551470719,189.0
사하구,15769443.0,16730803.0,177260622.0,194230051.0,11.240766208419663,11.60912904180391,6.096347220380571,3.2770260189944445,11.60912904180391,-1.4275881373751798,137.0
산청군,5052311.0,5082460.0,78309853.0,89798069.0,15.499808503474945,17.668229361372248,0.5967368200413548,13.989984827303893,17.668229361372248,-17.640157346023845,205.0
삼척시,8262615.0,8192103.0,123920076.0,112888552.0,14.997682452831217,13.780167558928397,-0.8533860043097752,-8.118020219003775,13.780167558928397,3.017724875932693,24.0
