,방문25(만),방문%19-25,방문%24-26,방문당소비,소비%19-25,소비%24-26,식음(원),체험(원),쇼핑(원),교통(원),체류지수,체류당소비,숙박객%,숙박객p19-25,숙박객체류%19-25,야간%,주말%,성수3개월%,성수월,2030%,60+%,수도권%,수도권p19-25,대표축제,문제태그,태그수,종합순위
속초시,2600.5012,23.47925198150751,8.074245269999892,23720.68095950119,9.909005363795307,6.128363022759986,13682.317470186132,706.143761825605,6094.6729807315605,1312.1840512898052,19.12896764481818,1240.0397867747376,24.237362069529965,0.1067190392660535,-20.80104030352815,30.09600226294839,38.99530598178536,32.723695724501106,"8,7,10",34.2206187022717,22.42784967759292,31.9,-5.039999999999999,,숙박이탈,1,38.0
군산시,2681.769,13.387939557754011,6.330787920943437,20056.293662877004,-11.812404441526724,9.8602064948615,5316.421996077962,765.1430082158456,5225.277643227288,8212.144185423875,30.832796292122296,650.4857189356302,14.535057033993132,-1.4768839249408623,-5.086891064811483,25.994241114726886,36.1109103729665,29.60620396462186,"10,5,8",32.11767680214068,24.213584391496806,20.74,-0.3500000000000014,,방문↑소비↓ · 업무체류의심,2,39.0
진주시,2363.1729,-0.8789543750644668,4.141178813072677,13647.519696929498,-0.0368457001382438,-1.387196277300362,5119.187639634832,470.1571772425115,4711.070188728045,2740.832082155309,34.527041322301855,395.2704655325979,12.509842540960657,-0.3856338214950412,2.0552191591779234,24.764167700128926,35.39050824423384,29.413196977673532,"10,5,3",35.01552933346519,22.409062832431772,7.76,0.009999999999999787,,소비하락 · 머무는데안씀 · 업무체류의심,3,40.0
고창군,963.664,0.3751631925514864,7.476896803687216,12679.676630028724,16.04545168245388,-2.1782460538380732,3941.80658403759,1771.181656677016,3087.8252170881137,3630.7936168623087,18.819247497316084,673.7610859221147,11.562049079863666,-0.7984874207877297,6.512949243042754,21.044357784455993,39.8485883046373,33.25498306463664,"10,5,11",23.11912658353949,30.5118381510568,10.32,-0.009999999999999787,,거쳐가기 · 야간공백 · 계절쏠림 · 고령화,4,41.0
서산시,1838.8255,1.2397959155583171,1.202236981668947,17577.671780166198,4.617464491980172,0.2510459100205642,5627.499781790061,275.1372547313489,5933.329399662992,5129.466716662348,30.4307148374942,577.6292760138664,13.28074396037056,-1.22008960061142,1.5828520800067023,23.703722838300862,35.69738944777522,29.413367391304938,"10,5,4",29.535467068517377,27.3039557043341,30.0,-0.46000000000000085,서산해미읍성축제,체험공백 · 업무체류의심,2,42.0
가평군,2605.5672,12.82352301341325,-1.609216849892925,16960.124843450594,13.731894635136532,-1.255280483973198,6931.150192556922,2296.480321060228,3871.2332577720504,2706.4433417798627,16.07617135403267,1054.985323927652,19.514969066414036,-3.0620367638701538,-12.720509132885391,22.693646128182763,43.37995581154077,33.31283875541571,"8,7,5",37.35767014567884,21.679916756704642,89.9,0.19000000000001194,,숙박이탈 · 계절쏠림 · 주말쏠림,3,43.0
부안군,1092.3148,17.391188934275913,4.737572459103689,14220.902802012752,51.803373143286315,6.865389600957039,3901.5832249091563,102.91813312426052,4076.028082746842,5463.289978310282,18.971309610065617,749.6004806366957,18.17751318858966,-4.93071068348344,9.712695286882012,24.870495208890333,40.584728871200866,32.34521769731583,"10,8,5",24.209220638592463,29.42608669222462,13.79,-2.4400000000000013,,거쳐가기 · 숙박이탈 · 고령화,3,44.0
합천군,694.4108,4.3188911603132984,3.1688577163618836,7440.691734633159,24.207650364822307,9.433537886009402,2815.9458349438114,845.7740000587548,2765.511999525353,839.3544570447349,20.023135887017204,371.6047164948637,12.566393296709212,-1.434738871284326,13.998252092965991,18.479680903580416,43.073178009328196,34.799516366968945,"10,5,11",21.926876713323008,32.18243437458058,5.58,1.94,,야간공백 · 계절쏠림 · 주말쏠림 · 고령화,4,45.0
구미시,2791.3759,5.794318514825059,2.0880439037369136,17825.27720469321,-3.647991141634632,-1.2189494149010272,5498.511576316181,662.0087248012709,4720.671300486617,6358.787327783406,31.874164128036803,559.2390480606811,10.72848227665135,-1.743250027087674,-0.8667010752016591,24.588927632426717,32.59094197954492,27.293436186792327,"10,5,3",37.23125932268742,19.830224227414156,14.65,0.9900000000000002,,소비하락 · 업무체류의심,2,46.0
청도군,1070.7684,16.404393928094585,2.567093604651771,13857.51690094702,20.46012415675773,15.750714891934647,4371.754900499492,1502.440397008354,1961.12165805416,5761.311222856409,13.341306630847692,1038.6926321673582,10.195812796182478,-0.9309886583608088,-3.8348777505280096,18.055220904912773,45.419980641939006,29.99256421836879,"10,8,5",27.16099018237744,28.999753821648078,1.04,0.17000000000000004,,거쳐가기 · 야간공백 · 주말쏠림,3,47.0
