BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
201802,전국,호텔,11,88897235.0,0.0
201802,전국,골프장,53,71389940.0,0.0
201802,전국,레저용품쇼핑,43,215699877.0,0.0
201802,전국,기타숙박,14,89869931.0,0.0
201802,전국,문화서비스,56,116347482.0,0.0
201802,전국,뷰티,62,243697404.0,0.0
201802,전국,육상운송,31,2437259837.0,0.0
201802,전국,기타관광쇼핑,44,1763721819.0,0.0
201802,전국,캠핑장/펜션,13,7466225.0,0.0
201802,전국,렌터카,34,12639442.0,0.0
201802,전국,기타레저,55,116175454.0,0.0
201802,전국,관광유원시설,52,23732286.0,0.0
201802,전국,일반외식업,71,2282562682.0,0.0
201802,전국,면세점,41,170885812.0,0.0
201802,전국,여행업,21,153425802.0,0.0
201802,전국,대형쇼핑몰,42,2293326490.0,0.0
201802,전국,수상운송,32,8181733.0,0.0
201802,전국,제과음료업,72,349724438.0,0.0
201802,전국,콘도,12,45852867.0,0.0
201802,전국,항공운송,33,438042077.0,0.0
201802,전국,스키장,54,7460862.0,0.0
201803,전국,면세점,41,153830658.0,0.0
201803,전국,육상운송,31,2663638139.0,0.0
201803,전국,기타관광쇼핑,44,1845436798.0,0.0
201803,전국,캠핑장/펜션,13,8783802.0,0.0
201803,전국,렌터카,34,13734606.0,0.0
201803,전국,기타레저,55,132080889.0,0.0
201803,전국,호텔,11,93507876.0,0.0
201803,전국,골프장,53,186689981.0,0.0
201803,전국,레저용품쇼핑,43,299658276.0,0.0
201803,전국,기타숙박,14,104249061.0,0.0
201803,전국,문화서비스,56,102650639.0,0.0
201803,전국,관광유원시설,52,30473640.0,0.0
201803,전국,뷰티,62,272735347.0,0.0
201803,전국,일반외식업,71,2749848450.0,0.0
201803,전국,여행업,21,133201710.0,0.0
201803,전국,대형쇼핑몰,42,2411221545.0,0.0
201803,전국,콘도,12,21830168.0,0.0
