DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,DTL_TOU_NUM_RATE2
서울특별시,금천구,391235070318.0,2424390.0,30.1,5877667465.0,2424.0,1.5,1.5
서울특별시,노원구,391235070318.0,2780883.0,30.1,7733309673.0,2781.0,2.0,2.0
서울특별시,도봉구,391235070318.0,2008473.0,30.1,4033963515.0,2008.0,1.0,1.0
서울특별시,동대문구,391235070318.0,2831390.0,30.1,8016768215.0,2831.0,2.0,2.0
서울특별시,동작구,391235070318.0,2593531.0,30.1,6726402031.0,2594.0,1.7,1.7
서울특별시,마포구,391235070318.0,4113565.0,30.1,16921419170.0,4114.0,4.3,4.3
서울특별시,서대문구,391235070318.0,2721987.0,30.1,7409212462.0,2722.0,1.9,1.9
서울특별시,서초구,391235070318.0,6298565.0,30.1,39671924075.0,6299.0,10.1,10.1
서울특별시,성동구,391235070318.0,3044324.0,30.1,9267910770.0,3044.0,2.4,2.4
서울특별시,성북구,391235070318.0,2414301.0,30.1,5828850844.0,2414.0,1.5,1.5
서울특별시,송파구,391235070318.0,5052752.0,30.1,25530304737.0,5053.0,6.5,6.5
서울특별시,양천구,391235070318.0,2770737.0,30.1,7676983960.0,2771.0,2.0,2.0
서울특별시,영등포구,391235070318.0,4722113.0,30.1,22298351846.0,4722.0,5.7,5.7
서울특별시,용산구,391235070318.0,3655695.0,30.1,13364109237.0,3656.0,3.4,3.4
서울특별시,은평구,391235070318.0,2445361.0,30.1,5979788947.0,2445.0,1.5,1.5
서울특별시,종로구,391235070318.0,4248298.0,30.1,18048037092.0,4248.0,4.6,4.6
서울특별시,중구,391235070318.0,8067220.0,30.1,65080035923.0,8067.0,16.6,16.6
서울특별시,중랑구,391235070318.0,2066126.0,30.1,4268876006.0,2066.0,1.1,1.1
세종특별자치시,세종특별자치시,3952708765.0,1988142.0,0.3,3952708765.0,1988.0,100.0,100.0
울산광역시,남구,19371501236.0,2806915.0,1.5,7878769826.0,2807.0,40.7,40.7
울산광역시,동구,19371501236.0,1141381.0,1.5,1302751288.0,1141.0,6.7,6.7
울산광역시,북구,19371501236.0,1793301.0,1.5,3215928138.0,1793.0,16.6,16.6
울산광역시,울주군,19371501236.0,2208323.0,1.5,4876691957.0,2208.0,25.2,25.2
울산광역시,중구,19371501236.0,1448227.0,1.5,2097360026.0,1448.0,10.8,10.8
인천광역시,강화군,66905640444.0,1342591.0,5.1,1802551733.0,1343.0,2.7,2.7
인천광역시,검단구,66905640444.0,178174.0,5.1,31745983.0,178.0,0.0,0.0
인천광역시,계양구,66905640444.0,2096719.0,5.1,4396230492.0,2097.0,6.6,6.6
인천광역시,남동구,66905640444.0,3033968.0,5.1,9204963310.0,3034.0,13.8,13.8
인천광역시,동구,66905640444.0,1485850.0,5.1,2207751670.0,1486.0,3.3,3.3
인천광역시,미추홀구,66905640444.0,2769211.0,5.1,7668528543.0,2769.0,11.5,11.5
인천광역시,부평구,66905640444.0,2750944.0,5.1,7567691649.0,2751.0,11.3,11.3
인천광역시,서구,66905640444.0,2915789.0,5.1,8501824537.0,2916.0,12.7,12.7
인천광역시,서해구,66905640444.0,281654.0,5.1,79329093.0,282.0,0.1,0.1
인천광역시,연수구,66905640444.0,2842414.0,5.1,8079316633.0,2842.0,12.1,12.1
인천광역시,영종구,66905640444.0,357493.0,5.1,127801017.0,357.0,0.2,0.2
인천광역시,옹진군,66905640444.0,680784.0,5.1,463466449.0,681.0,0.7,0.7
인천광역시,제물포구,66905640444.0,305765.0,5.1,93492247.0,306.0,0.1,0.1
인천광역시,중구,66905640444.0,4084232.0,5.1,16680947087.0,4084.0,24.9,24.9
