BASE_DATE,SGG_NM,KTO_TOB_MCLS_NM,CNSM_AMT,SPPY_CNSM_AMT
202401,나주시,관광총소비,17570800.0,18904721.0
202401,나주시,관광총소비,17570800.0,18904721.0
202401,광양시,관광총소비,22019782.0,23540701.0
202401,광양시,관광총소비,22019782.0,23540701.0
202401,담양군,관광총소비,11410798.0,12017777.0
202401,담양군,관광총소비,11410798.0,12017777.0
202401,곡성군,관광총소비,4627776.0,5260536.0
202401,곡성군,관광총소비,4627776.0,5260536.0
202401,구례군,관광총소비,2616596.0,2877575.0
202401,구례군,관광총소비,2616596.0,2877575.0
202401,고흥군,관광총소비,4445259.0,6358901.0
202401,고흥군,관광총소비,4445259.0,6358901.0
202401,보성군,관광총소비,6439816.0,7745940.0
202401,보성군,관광총소비,6439816.0,7745940.0
202401,화순군,관광총소비,9416772.0,9601027.0
202401,화순군,관광총소비,9416772.0,9601027.0
202401,장흥군,관광총소비,4053234.0,4910016.0
202401,장흥군,관광총소비,4053234.0,4910016.0
202401,강진군,관광총소비,3187943.0,3784162.0
202401,강진군,관광총소비,3187943.0,3784162.0
202401,해남군,관광총소비,5897713.0,7221617.0
202401,해남군,관광총소비,5897713.0,7221617.0
202401,영암군,관광총소비,10701528.0,11799535.0
202401,영암군,관광총소비,10701528.0,11799535.0
202401,무안군,관광총소비,17168561.0,18675657.0
202401,무안군,관광총소비,17168561.0,18675657.0
202401,함평군,관광총소비,9542905.0,10946840.0
202401,함평군,관광총소비,9542905.0,10946840.0
202401,영광군,관광총소비,5391794.0,6859750.0
202401,영광군,관광총소비,5391794.0,6859750.0
202401,장성군,관광총소비,12631675.0,11194921.0
202401,장성군,관광총소비,12631675.0,11194921.0
202401,완도군,관광총소비,3185943.0,4608130.0
202401,완도군,관광총소비,3185943.0,4608130.0
202401,진도군,관광총소비,3721298.0,5019161.0
202401,진도군,관광총소비,3721298.0,5019161.0
202401,신안군,관광총소비,2395277.0,2916128.0
202401,신안군,관광총소비,2395277.0,2916128.0
202401,포항시,관광총소비,71472508.0,78790469.0
202401,포항시 남구,관광총소비,33443150.0,37336921.0
202401,포항시 북구,관광총소비,38029358.0,41453549.0
202401,경주시,관광총소비,60763177.0,64502730.0
202401,김천시,관광총소비,18563546.0,20362416.0
202401,안동시,관광총소비,17790044.0,20846228.0
202401,구미시,관광총소비,38496903.0,42456788.0
202401,영주시,관광총소비,7807287.0,9933902.0
202401,영천시,관광총소비,17281052.0,19027124.0
202401,상주시,관광총소비,11688926.0,13219164.0
202401,문경시,관광총소비,13993863.0,17183873.0
202401,경산시,관광총소비,32622796.0,35396738.0
202401,의성군,관광총소비,5932360.0,6912218.0
202401,청송군,관광총소비,3639293.0,4053450.0
202401,영양군,관광총소비,607021.0,588542.0
202401,영덕군,관광총소비,11510674.0,12454700.0
202401,청도군,관광총소비,9669751.0,9561661.0
202401,고령군,관광총소비,3875329.0,4131259.0
202401,성주군,관광총소비,14631215.0,14835489.0
202401,칠곡군,관광총소비,40338634.0,42039086.0
202401,예천군,관광총소비,3691391.0,4420334.0
202401,봉화군,관광총소비,2158153.0,2794052.0
202401,울진군,관광총소비,7491021.0,8979510.0
202401,울릉군,관광총소비,576560.0,449017.0
202401,창원시,관광총소비,151224968.0,158451382.0
202401,창원시 의창구,관광총소비,30965188.0,32335089.0
202401,창원시 성산구,관광총소비,41132725.0,42739391.0
202401,창원시 마산합포구,관광총소비,27216603.0,28795166.0
202401,창원시 마산회원구,관광총소비,21240801.0,22178183.0
202401,창원시 진해구,관광총소비,30669651.0,32403553.0
202401,진주시,관광총소비,25381884.0,27375986.0
202401,통영시,관광총소비,15092891.0,15628682.0
202401,사천시,관광총소비,19753548.0,22664405.0
202401,김해시,관광총소비,66249315.0,73064765.0
202401,밀양시,관광총소비,9442181.0,9902840.0
202401,거제시,관광총소비,17932000.0,20304300.0
202401,양산시,관광총소비,42423797.0,44690385.0
202401,의령군,관광총소비,1894077.0,2155139.0
202401,함안군,관광총소비,16190249.0,16512756.0
202401,창녕군,관광총소비,11470795.0,13689029.0
202401,고성군,관광총소비,8544368.0,11044306.0
202401,남해군,관광총소비,5245120.0,6468679.0
202401,하동군,관광총소비,5766706.0,6382285.0
202401,산청군,관광총소비,7688346.0,8271596.0
202401,함양군,관광총소비,5364887.0,5770323.0
202401,거창군,관광총소비,4746050.0,6028887.0
202401,합천군,관광총소비,2916590.0,3498190.0
202401,제주시,관광총소비,147553739.0,153269640.0
202401,서귀포시,관광총소비,80004236.0,89478892.0
202401,춘천시,관광총소비,36982337.0,39915533.0
202401,원주시,관광총소비,46210445.0,50900153.0
202401,강릉시,관광총소비,55048647.0,60722668.0
202401,동해시,관광총소비,14138624.0,15690609.0
202401,태백시,관광총소비,7499933.0,8592742.0
202401,속초시,관광총소비,40942367.0,45196325.0
202401,삼척시,관광총소비,11085638.0,13624593.0
202401,홍천군,관광총소비,38551258.0,44376536.0
202401,횡성군,관광총소비,17192078.0,17906760.0
202401,영월군,관광총소비,5803317.0,6436695.0
