BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
201804,전국,육상운송,31,2991836393.0,0.0
201804,전국,수상운송,32,14871959.0,0.0
201804,전국,렌터카,34,18448653.0,0.0
201804,전국,대형쇼핑몰,42,2831794343.0,0.0
201804,전국,골프장,53,270013770.0,0.0
201804,전국,뷰티,62,298137641.0,0.0
201804,전국,일반외식업,71,3255531098.0,0.0
201804,전국,제과음료업,72,490686138.0,0.0
201804,전국,콘도,12,25568734.0,0.0
201804,전국,관광유원시설,52,49791491.0,0.0
201804,전국,스키장,54,51766.0,0.0
201805,전국,호텔,11,113708688.0,0.0
201805,전국,캠핑장/펜션,13,11528011.0,0.0
201805,전국,기타숙박,14,132254812.0,0.0
201805,전국,여행업,21,156531663.0,0.0
201805,전국,항공운송,33,521669738.0,0.0
201805,전국,면세점,41,185742847.0,0.0
201805,전국,레저용품쇼핑,43,392282163.0,0.0
201805,전국,기타관광쇼핑,44,2336618424.0,0.0
201805,전국,기타레저,55,173259588.0,0.0
201805,전국,문화서비스,56,150968862.0,0.0
201805,전국,육상운송,31,3183671114.0,0.0
201805,전국,수상운송,32,16762364.0,0.0
201805,전국,대형쇼핑몰,42,3121167976.0,0.0
201805,전국,골프장,53,309952639.0,0.0
201805,전국,뷰티,62,322926390.0,0.0
201805,전국,일반외식업,71,3571495145.0,0.0
201805,전국,제과음료업,72,527196627.0,0.0
201805,전국,콘도,12,33786257.0,0.0
201805,전국,렌터카,34,19928032.0,0.0
201805,전국,관광유원시설,52,65605327.0,0.0
201805,전국,스키장,54,149572.0,0.0
201806,전국,호텔,11,105031876.0,0.0
201806,전국,캠핑장/펜션,13,10986614.0,0.0
201806,전국,기타숙박,14,128482147.0,0.0
201806,전국,여행업,21,151068066.0,0.0
201806,전국,항공운송,33,546739856.0,0.0
201806,전국,면세점,41,185249753.0,0.0
201806,전국,레저용품쇼핑,43,340680191.0,0.0
201806,전국,기타관광쇼핑,44,2243894398.0,0.0
201806,전국,기타레저,55,165674239.0,0.0
201806,전국,문화서비스,56,140133820.0,0.0
201806,전국,육상운송,31,3079259804.0,0.0
201806,전국,수상운송,32,15372499.0,0.0
201806,전국,렌터카,34,19190559.0,0.0
201806,전국,대형쇼핑몰,42,2871490270.0,0.0
201806,전국,골프장,53,314495350.0,0.0
201806,전국,뷰티,62,313304412.0,0.0
201806,전국,일반외식업,71,3341588098.0,0.0
201806,전국,제과음료업,72,505240901.0,0.0
201806,전국,콘도,12,34718164.0,0.0
201806,전국,관광유원시설,52,50871017.0,0.0
201806,전국,스키장,54,182039.0,0.0
201807,전국,호텔,11,120336355.0,0.0
201807,전국,캠핑장/펜션,13,12307707.0,0.0
201807,전국,기타숙박,14,140790755.0,0.0
201807,전국,여행업,21,196337643.0,0.0
201807,전국,항공운송,33,552751841.0,0.0
201807,전국,면세점,41,197366400.0,0.0
201807,전국,레저용품쇼핑,43,318311498.0,0.0
201807,전국,기타관광쇼핑,44,2289676999.0,0.0
201807,전국,기타레저,55,173919510.0,0.0
201807,전국,문화서비스,56,172450098.0,0.0
201807,전국,육상운송,31,3285531773.0,0.0
201807,전국,수상운송,32,17078878.0,0.0
201807,전국,렌터카,34,21884902.0,0.0
201807,전국,대형쇼핑몰,42,2990586004.0,0.0
201807,전국,골프장,53,249960056.0,0.0
201807,전국,뷰티,62,315748059.0,0.0
201807,전국,일반외식업,71,3480832433.0,0.0
201807,전국,제과음료업,72,526859331.0,0.0
201807,전국,콘도,12,57566226.0,0.0
201807,전국,관광유원시설,52,52750817.0,0.0
201807,전국,스키장,54,281244.0,0.0
201808,전국,호텔,11,147349302.0,0.0
201808,전국,캠핑장/펜션,13,14085009.0,0.0
201808,전국,기타숙박,14,155308322.0,0.0
201808,전국,여행업,21,143938084.0,0.0
201808,전국,항공운송,33,500362952.0,0.0
201808,전국,면세점,41,205430399.0,0.0
201808,전국,레저용품쇼핑,43,271637498.0,0.0
201808,전국,기타관광쇼핑,44,2430389547.0,0.0
201808,전국,기타레저,55,192851512.0,0.0
201808,전국,문화서비스,56,232526634.0,0.0
201808,전국,육상운송,31,3324843605.0,0.0
201808,전국,수상운송,32,17486749.0,0.0
201808,전국,렌터카,34,24726025.0,0.0
201808,전국,대형쇼핑몰,42,2749422311.0,0.0
201808,전국,골프장,53,216913352.0,0.0
201808,전국,뷰티,62,307753332.0,0.0
201808,전국,일반외식업,71,3636757108.0,0.0
201808,전국,제과음료업,72,544603838.0,0.0
201808,전국,콘도,12,70811050.0,0.0
201808,전국,관광유원시설,52,61756965.0,0.0
201808,전국,스키장,54,495777.0,0.0
201809,전국,호텔,11,108032471.0,0.0
201809,전국,캠핑장/펜션,13,10028698.0,0.0
201809,전국,기타숙박,14,130969781.0,0.0
201809,전국,여행업,21,152556923.0,0.0
201809,전국,항공운송,33,428430030.0,0.0
201809,전국,면세점,41,183812654.0,0.0
201809,전국,레저용품쇼핑,43,359260224.0,0.0
201809,전국,기타관광쇼핑,44,2677968424.0,0.0
201809,전국,기타레저,55,173516053.0,0.0
201809,전국,문화서비스,56,145947298.0,0.0
201809,전국,육상운송,31,3186854082.0,0.0
201809,전국,수상운송,32,15423900.0,0.0
201809,전국,렌터카,34,18915481.0,0.0
201809,전국,대형쇼핑몰,42,3237177482.0,0.0
201809,전국,골프장,53,286984449.0,0.0
201809,전국,뷰티,62,319144387.0,0.0
201809,전국,일반외식업,71,3447460714.0,0.0
201809,전국,제과음료업,72,529389468.0,0.0
201809,전국,콘도,12,34665943.0,0.0
201809,전국,관광유원시설,52,56875065.0,0.0
201809,전국,스키장,54,351054.0,0.0
201810,전국,호텔,11,106023944.0,0.0
201810,전국,캠핑장/펜션,13,10398021.0,0.0
201810,전국,기타숙박,14,136626976.0,0.0
201810,전국,여행업,21,133179387.0,0.0
201810,전국,항공운송,33,451884105.0,0.0
201810,전국,면세점,41,168127814.0,0.0
