조회_시도,조회기간,BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT
00,2026_1-8,202608,전국,관광총소비,00,1489186162.0
00,2025,202501,전국,관광총소비,00,650820540.0
00,2025,202502,전국,관광총소비,00,616295420.0
00,2025,202503,전국,관광총소비,00,925775473.0
00,2025,202504,전국,관광총소비,00,1096316823.0
00,2025,202505,전국,관광총소비,00,1022206038.0
00,2025,202506,전국,관광총소비,00,988729939.0
00,2025,202507,전국,관광총소비,00,951965091.0
00,2025,202508,전국,관광총소비,00,960476856.0
00,2025,202509,전국,관광총소비,00,1046544386.0
00,2025,202510,전국,관광총소비,00,1120454484.0
00,2025,202511,전국,관광총소비,00,1189305955.0
00,2025,202512,전국,관광총소비,00,1169280173.0
