조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_TOU_NUM,TOU_NUM
52,2025,11,서울특별시,1,내국인,271537903.0,633285856.0
52,2025,28,인천광역시,1,내국인,83554474.0,185482860.0
52,2025,47,경상북도,1,내국인,83385906.0,187787057.0
52,2025,44,충청남도,1,내국인,79442147.0,175403844.0
52,2025,26,부산광역시,1,내국인,76451078.0,161883449.0
52,2025,48,경상남도,1,내국인,76399994.0,166687846.0
52,2025,51,강원특별자치도,1,내국인,72625234.0,151235213.0
52,2025,43,충청북도,1,내국인,54715380.0,122791739.0
52,2025,27,대구광역시,1,내국인,52400811.0,112428991.0
52,2025,52,전북특별자치도,1,내국인,48055368.0,102129579.0
52,2025,30,대전광역시,1,내국인,41174520.0,90947902.0
52,2025,50,제주특별자치도,1,내국인,30889536.0,59269885.0
52,2025,31,울산광역시,1,내국인,23887819.0,52682230.0
52,2025,36,세종특별자치시,1,내국인,13112684.0,30128381.0
52,2025,11,서울특별시,2,외국인,24907772.0,47409856.0
52,2025,41,경기도,2,외국인,12191834.0,24380418.0
52,2025,28,인천광역시,2,외국인,12037092.0,24836859.0
52,2025,26,부산광역시,2,외국인,7425083.0,14604300.0
52,2025,50,제주특별자치도,2,외국인,7397111.0,14492119.0
52,2025,48,경상남도,2,외국인,4382031.0,8809476.0
52,2025,47,경상북도,2,외국인,2761221.0,5505994.0
52,2025,44,충청남도,2,외국인,2265404.0,4489517.0
52,2025,31,울산광역시,2,외국인,1724734.0,3442959.0
52,2025,51,강원특별자치도,2,외국인,1616238.0,3361744.0
52,2025,43,충청북도,2,외국인,1516479.0,2999636.0
52,2025,52,전북특별자치도,2,외국인,1388192.0,2718992.0
52,2025,27,대구광역시,2,외국인,1124975.0,2201963.0
52,2025,30,대전광역시,2,외국인,611329.0,1191378.0
52,2025,36,세종특별자치시,2,외국인,244513.0,475625.0
43,2024_1-8,41,경기도,1,내국인,185049757.0,418092986.0
43,2024_1-8,11,서울특별시,1,내국인,169961734.0,394230336.0
43,2024_1-8,28,인천광역시,1,내국인,53092587.0,118083906.0
43,2024_1-8,47,경상북도,1,내국인,52758120.0,118252319.0
43,2024_1-8,44,충청남도,1,내국인,49493024.0,109549306.0
43,2024_1-8,51,강원특별자치도,1,내국인,48000483.0,100240955.0
43,2024_1-8,48,경상남도,1,내국인,47661970.0,104650598.0
43,2024_1-8,26,부산광역시,1,내국인,47129741.0,99754130.0
43,2024_1-8,46,전라남도,1,내국인,38614325.0,84930716.0
43,2024_1-8,43,충청북도,1,내국인,33828290.0,76036429.0
43,2024_1-8,27,대구광역시,1,내국인,32434397.0,69765307.0
43,2024_1-8,52,전북특별자치도,1,내국인,29790107.0,63453001.0
43,2024_1-8,30,대전광역시,1,내국인,25423139.0,56348670.0
43,2024_1-8,29,광주광역시,1,내국인,20848970.0,44217418.0
43,2024_1-8,50,제주특별자치도,1,내국인,20588904.0,39480735.0
43,2024_1-8,31,울산광역시,1,내국인,15018105.0,33261483.0
43,2024_1-8,36,세종특별자치시,1,내국인,7991017.0,18596210.0
43,2024_1-8,11,서울특별시,2,외국인,14111743.0,26851352.0
43,2024_1-8,41,경기도,2,외국인,7398872.0,14811965.0
