조회_SGG_CD,조회_지역,조회기간,BASE_YM,D1,D2,D3,D4,D5,D6,D7,DA,PRE1,PRE2,PRE3,PRE4,PRE5,PRE6,PRE7,PREA,LYD1,LYD2,LYD3,LYD4,LYD5,LYD6,LYD7,LYDA
44760,충청남도 부여군,201801-202608,202504,72.8,16.4,3.8,1.9,1.0,0.6,3.5,100.0,69.6,18.8,4.2,1.9,1.2,0.8,3.6,100.0,3.2,-2.4,-0.4,0.0,-0.2,-0.2,-0.1,0.0
44760,충청남도 부여군,201801-202608,202505,70.2,19.1,4.4,1.9,1.0,0.5,3.0,100.0,71.6,19.0,4.3,1.5,0.8,0.5,2.4,100.0,-1.4,0.1,0.1,0.4,0.2,0.0,0.6,0.0
44760,충청남도 부여군,201801-202608,202506,74.2,17.0,3.3,1.5,0.9,0.6,2.5,100.0,74.9,15.3,3.4,1.8,1.2,0.6,2.8,100.0,-0.7,1.7,-0.1,-0.3,-0.3,0.0,-0.3,0.0
44760,충청남도 부여군,201801-202608,202507,70.5,18.2,4.6,1.9,1.1,0.8,2.9,100.0,69.1,17.6,4.7,2.3,1.4,1.0,3.9,100.0,1.4,0.6,-0.1,-0.4,-0.3,-0.2,-1.0,0.0
44760,충청남도 부여군,201801-202608,202508,67.9,21.6,4.4,1.7,1.1,0.6,2.7,100.0,69.1,19.3,4.6,2.0,1.1,0.7,3.2,100.0,-1.2,2.3,-0.2,-0.3,0.0,-0.1,-0.5,0.0
44760,충청남도 부여군,201801-202608,202509,71.9,16.0,3.6,2.3,1.7,0.8,3.8,100.0,64.5,20.6,6.5,3.0,1.7,0.8,2.9,100.0,7.4,-4.6,-2.9,-0.7,0.0,0.0,0.9,0.0
44760,충청남도 부여군,201801-202608,202510,62.9,22.0,6.5,3.1,1.6,1.0,2.8,100.0,70.7,18.0,4.2,2.0,1.2,0.6,3.2,100.0,-7.8,4.0,2.3,1.1,0.4,0.4,-0.4,0.0
44760,충청남도 부여군,201801-202608,202511,72.8,15.5,3.7,1.9,1.9,0.8,3.3,100.0,72.8,17.2,3.7,1.6,1.0,0.7,3.0,100.0,0.0,-1.7,0.0,0.3,0.9,0.1,0.3,0.0
44760,충청남도 부여군,201801-202608,202512,70.2,16.6,4.2,2.2,1.3,1.0,4.5,100.0,70.2,16.6,4.3,2.4,1.4,0.8,4.4,100.0,0.0,0.0,-0.1,-0.2,-0.1,0.2,0.1,0.0
44760,충청남도 부여군,201801-202608,202601,69.2,16.8,4.6,2.1,1.3,0.9,5.1,100.0,62.7,21.0,7.0,3.2,1.9,1.0,3.1,100.0,6.5,-4.2,-2.4,-1.1,-0.6,-0.1,2.0,0.0
44760,충청남도 부여군,201801-202608,202602,64.2,22.2,6.3,2.6,1.3,0.6,2.9,100.0,67.4,16.1,4.7,2.7,1.7,0.9,6.5,100.0,-3.2,6.1,1.6,-0.1,-0.4,-0.3,-3.6,0.0
44760,충청남도 부여군,201801-202608,202603,70.4,15.1,3.9,2.6,2.3,1.0,4.7,100.0,71.2,16.8,3.7,2.2,1.6,0.8,3.9,100.0,-0.8,-1.7,0.2,0.4,0.7,0.2,0.8,0.0
44760,충청남도 부여군,201801-202608,202604,74.0,16.3,3.6,1.8,0.9,0.8,2.7,100.0,72.8,16.4,3.8,1.9,1.0,0.6,3.5,100.0,1.2,-0.1,-0.2,-0.1,-0.1,0.2,-0.8,0.0
44760,충청남도 부여군,201801-202608,202605,70.3,18.9,4.4,1.9,0.9,0.6,3.0,100.0,70.2,19.1,4.4,1.9,1.0,0.5,3.0,100.0,0.1,-0.2,0.0,0.0,-0.1,0.1,0.0,0.0
44760,충청남도 부여군,201801-202608,202606,72.2,15.6,3.5,2.2,1.3,0.9,4.3,100.0,74.2,17.0,3.3,1.5,0.9,0.6,2.5,100.0,-2.0,-1.4,0.2,0.7,0.4,0.3,1.8,0.0
44760,충청남도 부여군,201801-202608,202607,68.2,19.0,5.0,2.1,1.7,0.8,3.2,100.0,70.5,18.2,4.6,1.9,1.1,0.8,2.9,100.0,-2.3,0.8,0.4,0.2,0.6,0.0,0.3,0.0
44760,충청남도 부여군,201801-202608,202608,68.8,20.6,4.5,1.7,1.0,0.6,2.8,100.0,67.9,21.6,4.4,1.7,1.1,0.6,2.7,100.0,0.9,-1.0,0.1,0.0,-0.1,0.0,0.1,0.0
47280,경상북도 문경시,201801-202608,201801,66.7,20.0,6.2,2.5,1.2,0.8,2.6,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201802,63.1,24.3,6.8,2.4,1.0,0.6,1.8,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201803,76.6,12.6,3.5,1.8,1.8,0.8,2.9,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201804,75.4,14.6,4.7,1.6,0.9,0.5,2.1,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201805,74.1,17.4,4.2,1.4,0.8,0.5,1.6,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201806,80.3,11.0,2.9,1.3,1.8,0.6,2.1,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201807,73.0,17.4,4.3,1.7,0.9,0.6,2.2,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201808,70.5,19.8,4.4,1.9,1.1,0.5,1.9,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201809,69.5,19.8,5.5,2.1,1.2,0.4,1.4,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201810,79.7,11.9,3.1,1.6,1.0,0.5,2.2,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201811,78.4,13.7,3.0,1.4,1.0,0.5,2.0,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201812,77.0,12.7,4.1,1.6,1.0,0.7,2.8,100.0,,,,,,,,,,,,,,,,
47280,경상북도 문경시,201801-202608,201901,72.2,12.8,5.1,2.8,1.7,1.2,4.2,100.0,66.7,20.0,6.2,2.5,1.2,0.8,2.6,100.0,5.5,-7.2,-1.1,0.3,0.5,0.4,1.6,0.0
47280,경상북도 문경시,201801-202608,201902,65.6,20.1,7.2,3.1,1.5,0.7,2.0,100.0,63.1,24.3,6.8,2.4,1.0,0.6,1.8,100.0,2.5,-4.2,0.4,0.7,0.5,0.1,0.2,0.0
47280,경상북도 문경시,201801-202608,201903,74.4,14.1,3.0,1.9,2.1,0.8,3.6,100.0,76.6,12.6,3.5,1.8,1.8,0.8,2.9,100.0,-2.2,1.5,-0.5,0.1,0.3,0.0,0.7,0.0
47280,경상북도 문경시,201801-202608,201904,75.7,14.6,4.3,1.5,1.0,0.6,2.3,100.0,75.4,14.6,4.7,1.6,0.9,0.5,2.1,100.0,0.3,0.0,-0.4,-0.1,0.1,0.1,0.2,0.0
47280,경상북도 문경시,201801-202608,201905,75.9,15.3,3.8,1.6,1.0,0.5,2.0,100.0,74.1,17.4,4.2,1.4,0.8,0.5,1.6,100.0,1.8,-2.1,-0.4,0.2,0.2,0.0,0.4,0.0
47280,경상북도 문경시,201801-202608,201906,78.3,12.5,3.3,1.5,1.7,0.6,2.0,100.0,80.3,11.0,2.9,1.3,1.8,0.6,2.1,100.0,-2.0,1.5,0.4,0.2,-0.1,0.0,-0.1,0.0
47280,경상북도 문경시,201801-202608,201907,71.9,16.6,4.4,2.0,1.2,0.7,3.1,100.0,73.0,17.4,4.3,1.7,0.9,0.6,2.2,100.0,-1.1,-0.8,0.1,0.3,0.3,0.1,0.9,0.0
47280,경상북도 문경시,201801-202608,201908,71.7,19.0,4.6,1.5,1.0,0.5,1.7,100.0,70.5,19.8,4.4,1.9,1.1,0.5,1.9,100.0,1.2,-0.8,0.2,-0.4,-0.1,0.0,-0.2,0.0
47280,경상북도 문경시,201801-202608,201909,68.9,19.2,5.8,2.6,1.1,0.6,1.8,100.0,69.5,19.8,5.5,2.1,1.2,0.4,1.4,100.0,-0.6,-0.6,0.3,0.5,-0.1,0.2,0.4,0.0
47280,경상북도 문경시,201801-202608,201910,79.0,12.7,3.4,1.6,0.8,0.5,2.0,100.0,79.7,11.9,3.1,1.6,1.0,0.5,2.2,100.0,-0.7,0.8,0.3,0.0,-0.2,0.0,-0.2,0.0
47280,경상북도 문경시,201801-202608,201911,79.9,13.1,2.8,1.1,0.8,0.5,1.9,100.0,78.4,13.7,3.0,1.4,1.0,0.5,2.0,100.0,1.5,-0.6,-0.2,-0.3,-0.2,0.0,-0.1,0.0
