조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_C,SRCH_CNT
47170,경상북도 안동시,202401-202408,90,CE401B048C402100B3030A085FDC3E17,12eab51fa9236dd3eabef80e5cf0304e,메밀꽃피면,한식,548
47170,경상북도 안동시,202401-202408,91,0F14458CE57D7090E1902C1F705A156E,1aab64319c21d6d843890ce41407fb1d,비스트로봄날본점,전문음식,544
47170,경상북도 안동시,202401-202408,91,B68AA0E7C77836FF13645EDF9B6D96B5,8fded3399ac7bbb62c1971b42f2666b2,담소소사골순대육개장경북도청점,한식,544
47170,경상북도 안동시,202401-202408,93,887FA47CF8DCB84D9AE9E942329674FD,3181211bf4d7b08af0d5aa9162c93fc9,효자통닭,간이음식,543
47170,경상북도 안동시,202401-202408,94,66CECCFA0902D4372F4E6DB9EF1EE845,48e55ebf8b674bb1c3fa42ac796dd17e,모씨네안동점,한식,516
47170,경상북도 안동시,202401-202408,95,1BC87A95F75E289C2EC4346B86FF2223,47108e3acbb085288c2e595692c13cfc,패밀리뷔페토마토,전문음식,513
47170,경상북도 안동시,202401-202408,96,3F9B12A54382BE2020A6EF7BC15D9CC9,a1b062d1981ee8e23384ae964af8588c,콩심안동용상점,한식,511
47170,경상북도 안동시,202401-202408,97,EBFF45290FC525D8896BBA8307E28429,f64c4653ca8fc9ba0aab65448ec14248,라클라세빈,카페/찻집,510
47170,경상북도 안동시,202401-202408,98,5394614A752CE48A728533161A6A6564,bdf593d5acf74789a1ef1fbe6ce22584,이수옥,한식,509
47170,경상북도 안동시,202401-202408,99,C355647F2D4F262E69120A67DB91315A,5254c2b6dacd82fe534876a69f79263d,대마갈비한우갈비골목점,한식,502
47170,경상북도 안동시,202401-202408,99,55C754A942938FF18845F8B1AD4474BA,277091b3ff6f8ccafa6a8ba078d8c285,취란안동점,외국식,502
