조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_C,SRCH_NTV_CNT
47170,경상북도 안동시,202501-202512,19,185FAFD3DCC8EB7582460670DEE9046B,08d62b6ccdbcd337e53161cb4630752e,옥야식당,한식,1207
47170,경상북도 안동시,202501-202512,20,C4B3608CAFF25308158D3E8D436AE3A8,1d5054ba68f80d7c4039634a5f71d772,전원,전문음식,1154
47170,경상북도 안동시,202501-202512,21,FF978541E72A87986FC6356BF6B5EC4F,7ab5779d0b6e6530cf0b2e50aadc5c69,한상채비,한식,1152
47170,경상북도 안동시,202501-202512,22,51382EC7E25E90BDBACFA79BACDB0507,963dcb24d03d31680b11cdc1b3da29df,청록한정식[한식],한식,1128
47170,경상북도 안동시,202501-202512,23,B34AAFD7D1AC7667637F827CAE050A21,683cf978859940abe377da81c96a1289,만복이쭈꾸미낙지볶음,전문음식,1127
47170,경상북도 안동시,202501-202512,24,E460E7F4327445FF9BE0CFA33F4510EB,6bcbc5cc2af1419964f82426d2783ebd,예미정본채 [한식],한식,1051
47170,경상북도 안동시,202501-202512,25,395E09B4AE1EE1882E9D1AC8653FD448,cb6cdc5af03b805fa16489fd5636771b,안동찜닭골목,음식점기타,1045
47170,경상북도 안동시,202501-202512,26,A62B6E4A16CC09BA64D0E81C4B561AE5,8c4862891ed47b9b1d89abb606281751,맘모스제과송현분점,간이음식,1008
47170,경상북도 안동시,202501-202512,27,B4A4CB9DBC099BA0D2A3351930A71D13,7742517a3f4971f38853468b95113694,묵향,한식,995
47170,경상북도 안동시,202501-202512,28,410528E6BC3F4D0C2118DAFAE344C5F7,5351bd429d646d09e90b64722f4760c8,피오르달리조안동대본점,전문음식,978
47170,경상북도 안동시,202501-202512,29,BBDD3F602B22D27979100CE87B803164,e597799b72b32e53aad0f5a700acc060,투썸플레이스경북도청점,카페/찻집,958
47170,경상북도 안동시,202501-202512,30,FF60B938761F5ECEEE3EF6D5703CD4D0,53f90c64c7ad2fbaadcbdde1d7a0722f,커피명가안동점,카페/찻집,927
47170,경상북도 안동시,202501-202512,31,0F14458CE57D7090E1902C1F705A156E,1aab64319c21d6d843890ce41407fb1d,비스트로봄날본점,전문음식,874
47170,경상북도 안동시,202501-202512,32,F711897B461FC0DE41EC398DFD2A9122,95ab69d2dfd102ea37f32369c4ad7fe7,신라국밥,한식,872
47170,경상북도 안동시,202501-202512,33,E9D86374240CF667BB95681D7516CF2F,f71ea9200c95cba5d47e701f8c7a0464,스타벅스안동옥동점,카페/찻집,857
47170,경상북도 안동시,202501-202512,34,AD739A67F21D185816FDF5FE55A21ECA,26f3c4893430374ca42652c5f821b279,곤지곤지,한식,850
47170,경상북도 안동시,202501-202512,35,19608E8BB8D60ADFEA4D7A8E69A79A23,34fa19bffee571723539c53953ad5971,투썸플레이스안동옥동점,카페/찻집,824
47170,경상북도 안동시,202501-202512,36,9242F6211292D559D1661090ECAF0E30,e636c9ee05f02d0a8f702947b1b4ed06,그녀의홈카페,카페/찻집,801
47170,경상북도 안동시,202501-202512,37,5C24ECF484DE08A91E6D5EAB61759CFC,ac097ef5564e21b239f84a0b9e1e3210,투썸플레이스안동강변점,카페/찻집,795
47170,경상북도 안동시,202501-202512,38,70021C89BA04776DBBEDA265FE68A27F,721bba279279951b166877e100d18eda,땡큐커피,카페/찻집,775
47170,경상북도 안동시,202501-202512,39,3DCFD77DCB41C3DD4D126B536ECAA0A6,03ab85f4e5527d2f113dff2c99cd9225,금강옥,전문음식,771
47170,경상북도 안동시,202501-202512,40,110FBC8EF2BB966FBA161EFE62B80380,9d7cdb9145ea457cb26bb7f84456321a,구름산추어탕,한식,768
47170,경상북도 안동시,202501-202512,41,6AF2172E1E0A9BEAD5C7C1BB706C0676,e070ffded0822d7d6ff747d52ec696e3,목석원,한식,755
47170,경상북도 안동시,202501-202512,42,79D4B660256E8D9BB797F3AF248EA2B2,a7595c1dde46a3e5ff04908cc3028b76,바토플루이르안동점,카페/찻집,729
47170,경상북도 안동시,202501-202512,43,6F1954F8FC163CCA6442BAB80453CCD7,122ed35b8c7c97b11d9becd6f762238c,청하감자탕,한식,691
47170,경상북도 안동시,202501-202512,44,6325F39C74A0B4F1F873B959951617D1,3b9025006cf978070c2db54f0a07d643,윤부리[일식],외국식,667
47170,경상북도 안동시,202501-202512,45,93FD66B3088467AD09D9F4D869B3F0F1,d185f66724429c739c4a81439a121ed5,경복궁,한식,653
47170,경상북도 안동시,202501-202512,46,140FEFF97ADFE55911611730FDCEF1EF,d8ebe4c573fbd556dde45fdb674b01a3,동백갈비,한식,635
47170,경상북도 안동시,202501-202512,47,CFF2C4432663A5C6C622B53EF8C7422B,15d7b0f81a10db7fd19b8c45d00b124b,만당해장국옥동점,한식,614
47170,경상북도 안동시,202501-202512,48,6A174C172076CAF5793636EB613ABCBF,931a8a5cc5fc2eccc9346f1d7d048f72,헛제사밥까치구멍집[한식],한식,607
47170,경상북도 안동시,202501-202512,49,9D0A402CB006C91D5DBE8BE230566749,a10ee721027a110b656bbe471c1c7eaa,베니네,전문음식,602
47170,경상북도 안동시,202501-202512,50,DD2D52E0DBC852ECF6D1EF46015DB67B,4e88e3a850871809a22c09a11f85b801,버버리찰떡,전문음식,599
47170,경상북도 안동시,202501-202512,51,130249FD33A5B138E7B6A7FA90F60FD7,654585672a1038f3db72285b458d49b0,교동면옥안동옥동점,한식,594
47170,경상북도 안동시,202501-202512,52,C23F529B7ADF353D2867426842596324,e7f859ff76377c57ec41a1a6d44ded11,예닮,한식,583
47170,경상북도 안동시,202501-202512,53,90AB31A30CEF7E2333B0E548C6630B9B,6d7a2380db585087d374cdcccd712687,풍전,전문음식,578
47170,경상북도 안동시,202501-202512,54,E5828BE5D2A7B42F8E5AC5BE0A467E80,65da030187e2b17b7714d04a67e0bc30,투썸플레이스경북신도청중앙점,카페/찻집,564
47170,경상북도 안동시,202501-202512,55,B0481F9AD141C454E790049171AC8F1B,d88f3124304374fdd858635972395d39,안동갈비골목,음식점기타,561
47170,경상북도 안동시,202501-202512,56,422DAE0AA03EBB7382D574D10788340C,455d53b2f7a196d56e45d43f78de8e90,보리식당,한식,554
47170,경상북도 안동시,202501-202512,57,55C754A942938FF18845F8B1AD4474BA,277091b3ff6f8ccafa6a8ba078d8c285,취란안동점,외국식,544
47170,경상북도 안동시,202501-202512,58,887FA47CF8DCB84D9AE9E942329674FD,3181211bf4d7b08af0d5aa9162c93fc9,효자통닭,간이음식,529
47170,경상북도 안동시,202501-202512,59,835EE7854E5D7D9FF36BAAB9B9354E7F,db00304955b6aca7c85d9b8fad30693c,옛날이야기,카페/찻집,523
47170,경상북도 안동시,202501-202512,60,EF5C29354AE3C74AA1A4FF752D256476,1402c030ba58d695e888ff7f7df7be68,안동하늘소,한식,519
47170,경상북도 안동시,202501-202512,61,1282C8E2FEFCCF2C4DD99373035C458A,7480b081ef8d5598339db25a1af2e2fc,아테네,전문음식,518
47170,경상북도 안동시,202501-202512,62,B9590E1989BCA8AE3B2B0795D9977272,214b46e541df0d270e972195a9f9a603,카페더뷰,카페/찻집,517
47170,경상북도 안동시,202501-202512,63,0EF30829C7FF874E3F1E99ABEBE1474C,ad199397577cd0bbb16618a8791edd97,마쯔리[일식],외국식,514
47170,경상북도 안동시,202501-202512,64,21B905A157F42B1E00A42E6F752EF947,2d75eed00c7373a7e635a419d76ad17f,솔밭식당,한식,504
47170,경상북도 안동시,202501-202512,65,C3B8A40F0AD54AF1D72F133E198206DD,364a23d1c4bfed60a96470c30011151f,탐복안동점,한식,502
47170,경상북도 안동시,202501-202512,66,ACBC5C0F47568CC01635A3BE0F7465AD,0e0886661ad494f7d5bd5a6b4bac31c3,길풍,한식,490
47170,경상북도 안동시,202501-202512,67,FCE4FC0B0048C8992F9A77EE2C103139,9e704cf2185ab0d146c4ccdc6b72ad88,안동신세계찜닭,전문음식,483
47170,경상북도 안동시,202501-202512,68,36F6B9C85BC12F49948DBA04C6361FBD,0f419f0e472f10e9ea1533bf29a17b58,해물몽땅칼국수,한식,477
47170,경상북도 안동시,202501-202512,69,86D111CA04B62561076E26449E37D80E,c5ec3a8332270bdca6bda58f0083f409,동굴매운탕,한식,472
47170,경상북도 안동시,202501-202512,70,EF4EADA99A54892E7CEC089663CA2B2D,b10a3bfea07224f7fa464133c248b154,훈제불닭,간이음식,471
47170,경상북도 안동시,202501-202512,71,3BD77E8FEE5E3E82420512339813273D,3bd3cd3504a2b1ba02d4e076be1a148d,스타벅스안동법원DT점,카페/찻집,465
47170,경상북도 안동시,202501-202512,72,1BC87A95F75E289C2EC4346B86FF2223,47108e3acbb085288c2e595692c13cfc,패밀리뷔페토마토,전문음식,461
47170,경상북도 안동시,202501-202512,73,52AE1D72131B456EB672DC72C5016572,1136c1a297c6106712cf5684d6f10b0b,황금코다리경북안동점,한식,451
47170,경상북도 안동시,202501-202512,74,64E180744531491192600655BF83D985,e3a43c03ccf189b236ef45862e29d9e4,이화식당안동점,한식,446
47170,경상북도 안동시,202501-202512,75,F37D0B475977CF55295BCEF881E72BE7,e37c20fb91560fa9fd9b925d50f286f7,천하장사,한식,444
47170,경상북도 안동시,202501-202512,75,75BB5C596F6E379C709FC77CEF0FC722,78dbcb4a0d01c31d5862d545161703d4,카페뒤뜰,카페/찻집,444
47170,경상북도 안동시,202501-202512,77,A27F0AFE076D94415F5155E82E6BEB12,c471fd2d811c71d8ce2447987d97ca91,황소곳간,한식,441
47170,경상북도 안동시,202501-202512,78,E4B8FA1F0A7559BE24E77FAAAA60CE8F,539e5121c7e02c533d22f35de3998d93,동네짬뽕[중식],외국식,439
47170,경상북도 안동시,202501-202512,79,81FAE0470E299B4967F82696D813E68D,90fbcd07672ac561c6d810bab47277fa,아차가,카페/찻집,428
47170,경상북도 안동시,202501-202512,80,5014D3B03559197803881444BC5A059A,0e8e28c7ef0fc551a328637846efadce,한뚝배기,한식,422
47170,경상북도 안동시,202501-202512,81,301054B26BE1A38AF8A801712283DAD5,7c26ec11810d41392a62b8810a3c80cd,롯데리아경북도청점,간이음식,418
47170,경상북도 안동시,202501-202512,82,B35A0F1712EAB319A7A4B07598EF4BD2,5884409f80f2b366cef662cf9c03738d,원조매생이칼국수,한식,405
47170,경상북도 안동시,202501-202512,83,075B5E2EA195C6859E7814030B7B4386,f145820d739360f1e39a4dbfafa376ec,착한낙지안동점,전문음식,402
47170,경상북도 안동시,202501-202512,84,C2F8EABF837AEBCE1F02E384A475DB63,4b3c16f854bf5103abfa0bea97269cd8,병산손국수,한식,401
47170,경상북도 안동시,202501-202512,85,19448082FA7B869E33EB75C3C5BB1B41,3bcca5e6b69760302426e4e39fc4f786,윤훈식농가쌈밥법원점,한식,400
47170,경상북도 안동시,202501-202512,85,C54FAAD4A7201D889DBA9C54245885EC,1f17f5f274c711340525793a4937c3bd,뉴서울갈비,한식,400
47170,경상북도 안동시,202501-202512,87,B58664AB805B3C992BB91BC59B32A0BC,ba3f055b42ae02d2a3ea95a3d79e1ec7,레이어바웃,카페/찻집,396
47170,경상북도 안동시,202501-202512,88,4574A8DE639DE6DB5520ACB6D9774498,41805235e55dc0126d5a23a6c2200521,스타벅스안동시청점,카페/찻집,395
47170,경상북도 안동시,202501-202512,88,64DED9A7EDE7FE54BAD12CAD1F572D2E,53b3a325f7ea0ebee301c0c38bf0d7c7,안동김대감,전문음식,395
47170,경상북도 안동시,202501-202512,90,8D1D08FD501699E4F148D4686AF39030,f4cbec729c58de37664dd30f672a55fa,갈비만안동점,한식,394
47170,경상북도 안동시,202501-202512,91,39E759F1AAD94D20D5090AAF2D571D7A,d35b6c3d32f667384a0bfe2b90c27580,가마솥손두부,한식,389
47170,경상북도 안동시,202501-202512,92,F7E6C9A4418399FF21B0A89050B2C04C,b0a82a5e658a8b7803cb78c2346cd0b3,추대감남원추어탕본점,한식,387
47170,경상북도 안동시,202501-202512,93,CB8B0615065D1F5E9205D49B58980B9A,3cea12612ce8fb76fe40c16229d7f951,제비원축산가든,한식,385
47170,경상북도 안동시,202501-202512,94,D261989BAE1CC1006EDDA442A4235A5F,00a83ccffd95f0789472ac1005061c72,제주복어,전문음식,382
47170,경상북도 안동시,202501-202512,95,75279009C3AACA1BBF802F2F35B08CDD,1840451c963465111e6bcd1f78341dbd,엔제리너스안동옥동점,카페/찻집,381
47170,경상북도 안동시,202501-202512,96,ABA6B72A9003DC6AC6A6351F3439BFFD,42fc7df79e660c2355ea98b989aa494e,국가대표빵선생,간이음식,375
47170,경상북도 안동시,202501-202512,96,D1FC6AA194AA11936CA38A41FB06F1C3,6b50898bcf319c129b10de3930b971df,비스트로봄날도청점,외국식,375
47170,경상북도 안동시,202501-202512,98,8ECCDFE0DF43C2206EDA821C739BCB11,7b8c5c2b94c1127c6daa3cd31eb1b505,까몬안동점,외국식,368
47170,경상북도 안동시,202501-202512,98,14C90B5ABE5CACC72377414E30A9A640,375877e160c9eaed2620c2ac56168777,핸즈커피안동댐점,카페/찻집,368
47170,경상북도 안동시,202501-202512,100,97EA5FB06EF7808A13D6B1677B6F829E,0eabf90576ead8761dcda0277e2948b4,불금등갈비,한식,367
