조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
47,2025,36,세종특별자치시,2,외국인,1759239066.1999998,4696356930.500002
44,2024_1-8,11,서울특별시,0,현지인,474217233108.0997,1806033807129.3047
44,2024_1-8,41,경기도,0,현지인,326248144859.5991,1248484469254.2993
44,2024_1-8,26,부산광역시,0,현지인,99746925171.3999,453645332099.29974
44,2024_1-8,48,경상남도,0,현지인,46773114071.40001,196771394580.50027
44,2024_1-8,30,대전광역시,0,현지인,46413668617.299995,198431259039.90015
44,2024_1-8,27,대구광역시,0,현지인,37349149453.29994,145368600543.39984
44,2024_1-8,51,강원특별자치도,0,현지인,33376003228.900043,146451452293.90018
44,2024_1-8,28,인천광역시,0,현지인,31503731087.299995,108658262594.90013
44,2024_1-8,44,충청남도,0,현지인,27990050786.699997,102322977775.09969
44,2024_1-8,43,충청북도,0,현지인,27461201905.20003,110003934251.60002
44,2024_1-8,29,광주광역시,0,현지인,25660203765.100018,125139276764.80017
44,2024_1-8,47,경상북도,0,현지인,24165574000.400047,110133877719.70006
44,2024_1-8,50,제주특별자치도,0,현지인,19414039543.499996,95652024797.0
44,2024_1-8,46,전라남도,0,현지인,19377925359.800003,86168551148.90007
44,2024_1-8,31,울산광역시,0,현지인,15573572332.000015,62129931242.19998
44,2024_1-8,52,전북특별자치도,0,현지인,15080343699.199993,62307013032.700066
44,2024_1-8,36,세종특별자치시,0,현지인,2230293801.899999,8159396695.8
44,2024_1-8,11,서울특별시,1,외지인,11812856664834.797,30615943293263.695
44,2024_1-8,41,경기도,1,외지인,8244233588124.807,25040170899147.918
44,2024_1-8,26,부산광역시,1,외지인,2142483109999.5967,6110706094858.207
44,2024_1-8,28,인천광역시,1,외지인,1985534710113.4004,5679342876606.485
44,2024_1-8,27,대구광역시,1,외지인,1348517509229.8994,3917036779603.0938
44,2024_1-8,43,충청북도,1,외지인,1208986803807.803,3626469660396.904
44,2024_1-8,48,경상남도,1,외지인,1184832351370.8015,3705194918692.2905
44,2024_1-8,47,경상북도,1,외지인,1151532041052.8005,3594149795880.8003
44,2024_1-8,44,충청남도,1,외지인,1141457085730.299,3635529028593.8003
44,2024_1-8,30,대전광역시,1,외지인,1060141976478.5999,3136365272729.002
44,2024_1-8,51,강원특별자치도,1,외지인,1035631219050.0996,3354216567608.594
44,2024_1-8,52,전북특별자치도,1,외지인,695142189812.9994,2206375971067.7065
44,2024_1-8,46,전라남도,1,외지인,689229015418.9989,2389820600535.9956
44,2024_1-8,29,광주광역시,1,외지인,685789547453.8998,2025141599248.5005
44,2024_1-8,50,제주특별자치도,1,외지인,670772223241.0,2031870303781.2993
44,2024_1-8,31,울산광역시,1,외지인,543833679773.19977,1511198884103.101
44,2024_1-8,36,세종특별자치시,1,외지인,108048935855.09996,316803264799.4001
44,2024_1-8,11,서울특별시,2,외국인,1373754593003.2988,4020764158712.096
44,2024_1-8,41,경기도,2,외국인,155219111527.1999,442121115549.6999
44,2024_1-8,28,인천광역시,2,외국인,149054056817.69995,376508065448.90027
44,2024_1-8,26,부산광역시,2,외국인,148873821909.39987,427698482735.1991
44,2024_1-8,50,제주특별자치도,2,외국인,66199132637.99997,185905410455.80002
44,2024_1-8,27,대구광역시,2,외국인,14101091074.200014,36853987441.00003
44,2024_1-8,47,경상북도,2,외국인,13867143088.399998,33087377585.80004
44,2024_1-8,48,경상남도,2,외국인,11577535773.700016,29035381885.500008
44,2024_1-8,51,강원특별자치도,2,외국인,10153731890.00001,34156788958.69997
44,2024_1-8,52,전북특별자치도,2,외국인,8482877063.200007,20483509360.1
44,2024_1-8,44,충청남도,2,외국인,8260295599.499995,22074018862.600006
44,2024_1-8,30,대전광역시,2,외국인,8080328775.099989,27606973158.600014
44,2024_1-8,43,충청북도,2,외국인,4789001135.299993,12341500336.700005
44,2024_1-8,46,전라남도,2,외국인,4574279301.800003,12780903902.900007
44,2024_1-8,31,울산광역시,2,외국인,4420922386.000001,10829201046.500004
44,2024_1-8,29,광주광역시,2,외국인,4121236660.6999974,10976091292.499996
44,2024_1-8,36,세종특별자치시,2,외국인,865822123.9,2283510250.0999994
44,2026_1-8,11,서울특별시,0,현지인,477731176208.19965,1937954993415.2
44,2026_1-8,41,경기도,0,현지인,297311549867.0007,1201379018710.6013
44,2026_1-8,26,부산광역시,0,현지인,102115002629.3001,474314976853.0993
44,2026_1-8,30,대전광역시,0,현지인,50008453169.29999,220682153541.30005
44,2026_1-8,48,경상남도,0,현지인,44129630687.10006,192657841894.9997
44,2026_1-8,27,대구광역시,0,현지인,36758413552.99999,143294222929.69992
44,2026_1-8,43,충청북도,0,현지인,29371614455.600006,123727902399.19997
44,2026_1-8,51,강원특별자치도,0,현지인,28469633441.49997,138694952575.3999
44,2026_1-8,28,인천광역시,0,현지인,26352255720.099976,97255944115.29994
44,2026_1-8,44,충청남도,0,현지인,23781685890.79997,92783734514.5001
44,2026_1-8,47,경상북도,0,현지인,21556054019.69993,101296204474.99998
44,2026_1-8,29,광주광역시,0,현지인,18864699359.20001,106607380542.99992
44,2026_1-8,50,제주특별자치도,0,현지인,17119191564.900002,85381335834.3
44,2026_1-8,31,울산광역시,0,현지인,16052538357.200006,66306142946.70002
44,2026_1-8,52,전북특별자치도,0,현지인,14661069324.400005,58862216273.89997
44,2026_1-8,46,전라남도,0,현지인,10947965327.400005,54789568184.69987
44,2026_1-8,12,,0,현지인,9060847282.699997,45641369924.70002
44,2026_1-8,36,세종특별자치시,0,현지인,2084251723.9999998,7518181758.400005
44,2026_1-8,11,서울특별시,1,외지인,11551979682134.273,30711415819977.24
44,2026_1-8,41,경기도,1,외지인,8403929750666.683,26563817584305.164
44,2026_1-8,26,부산광역시,1,외지인,2274147655044.699,6789700666540.696
44,2026_1-8,28,인천광역시,1,외지인,1935435103299.7974,5826561382735.202
44,2026_1-8,27,대구광역시,1,외지인,1323832290055.4026,4054079846432.799
44,2026_1-8,48,경상남도,1,외지인,1236743721171.6995,4065634648402.804
44,2026_1-8,43,충청북도,1,외지인,1224932610012.5002,3824779404148.5005
44,2026_1-8,47,경상북도,1,외지인,1206960016533.6016,3958918601678.5967
44,2026_1-8,44,충청남도,1,외지인,1157383965472.2021,3920862303325.0024
44,2026_1-8,51,강원특별자치도,1,외지인,1091682557614.1995,3644623571149.7964
44,2026_1-8,30,대전광역시,1,외지인,1079970614723.6001,3357973177437.0996
44,2026_1-8,52,전북특별자치도,1,외지인,734961178076.3024,2418549383542.4033
44,2026_1-8,50,제주특별자치도,1,외지인,585848571583.2,1825218334445.1985
44,2026_1-8,31,울산광역시,1,외지인,580117812678.8998,1683103689936.7993
44,2026_1-8,29,광주광역시,1,외지인,538783550411.89954,1680985218345.7988
44,2026_1-8,46,전라남도,1,외지인,509103594592.4008,1885076116985.103
44,2026_1-8,12,,1,외지인,369296466449.6004,1223739214888.0012
44,2026_1-8,36,세종특별자치시,1,외지인,107602682232.29997,336304910459.1
44,2026_1-8,11,서울특별시,2,외국인,2477374425363.596,7781337452350.395
44,2026_1-8,26,부산광역시,2,외국인,295975530283.80023,872454810063.9012
44,2026_1-8,28,인천광역시,2,외국인,292662184097.2,753871243505.2999
44,2026_1-8,41,경기도,2,외국인,237270718922.1997,715022308754.4022
44,2026_1-8,50,제주특별자치도,2,외국인,133803113974.50003,410520440575.10016
44,2026_1-8,47,경상북도,2,외국인,21932490718.10002,54586362613.49999
44,2026_1-8,27,대구광역시,2,외국인,20811032708.400013,60662012405.8
44,2026_1-8,48,경상남도,2,외국인,17696531585.1,47280664588.20012
44,2026_1-8,51,강원특별자치도,2,외국인,15457077768.10001,51101105311.09996
44,2026_1-8,30,대전광역시,2,외국인,13860652373.599995,45032405832.100006
44,2026_1-8,44,충청남도,2,외국인,13084154941.9,35912808807.39997
44,2026_1-8,52,전북특별자치도,2,외국인,11943309989.300003,29992491691.400013
44,2026_1-8,43,충청북도,2,외국인,10377071541.699995,25669428152.20001
44,2026_1-8,31,울산광역시,2,외국인,7928833504.200004,18727932448.999996
44,2026_1-8,29,광주광역시,2,외국인,5892182928.700004,15319081690.599989
44,2026_1-8,46,전라남도,2,외국인,4726998795.299997,12932182280.800016
44,2026_1-8,12,,2,외국인,3417033942.1,9017002805.800001
44,2026_1-8,36,세종특별자치시,2,외국인,2600789011.2,6141954273.400001
44,2025,11,서울특별시,0,현지인,696059522941.7018,2780782542422.8037
44,2025,41,경기도,0,현지인,464041902378.5007,1844422056282.9028
44,2025,26,부산광역시,0,현지인,147137554573.2,693673935196.6998
44,2025,30,대전광역시,0,현지인,67201169553.80003,299198084094.00024
44,2025,48,경상남도,0,현지인,65194952428.10004,288039223745.7006
44,2025,27,대구광역시,0,현지인,56768908989.700035,221622905391.2999
44,2025,51,강원특별자치도,0,현지인,44282701974.39998,218444761106.50055
44,2025,43,충청북도,0,현지인,41081906190.89997,175556318772.5
44,2025,28,인천광역시,0,현지인,40924845962.90002,149544982532.4
44,2025,44,충청남도,0,현지인,36682578316.8,144034418119.59998
44,2025,29,광주광역시,0,현지인,35253258332.30003,193602403412.39996
44,2025,47,경상북도,0,현지인,31927988196.499985,155281321599.3002
44,2025,50,제주특별자치도,0,현지인,25816424290.399994,131772110469.80002
44,2025,46,전라남도,0,현지인,24881669507.69997,118548286917.59998
44,2025,31,울산광역시,0,현지인,24777817128.299995,98380882243.09999
44,2025,52,전북특별자치도,0,현지인,21149674930.200005,90151663969.29982
44,2025,36,세종특별자치시,0,현지인,2980345261.0,11848925052.999998
44,2025,11,서울특별시,1,외지인,16996493176952.184,44544491947583.87
44,2025,41,경기도,1,외지인,11862726087850.535,37294288700402.695
44,2025,26,부산광역시,1,외지인,3206505283267.6963,9434538490170.402
44,2025,28,인천광역시,1,외지인,2841039549947.103,8452313172227.511
44,2025,27,대구광역시,1,외지인,1978526692067.6008,5923932213879.195
44,2025,43,충청북도,1,외지인,1787865531440.6985,5507617733044.098
44,2025,48,경상남도,1,외지인,1748234680260.0034,5648752030863.205
44,2025,47,경상북도,1,외지인,1689361931991.9973,5454552246999.206
44,2025,44,충청남도,1,외지인,1653538256898.3994,5486583698896.608
44,2025,30,대전광역시,1,외지인,1555806485895.5994,4758753663324.996
44,2025,51,강원특별자치도,1,외지인,1485046897204.7993,4954400836780.6
44,2025,52,전북특별자치도,1,외지인,1045160013127.299,3418009032622.6055
44,2025,29,광주광역시,1,외지인,1030620477869.3002,3123045761521.498
44,2025,46,전라남도,1,외지인,987244623451.0011,3597760801012.9014
44,2025,50,제주특별자치도,1,외지인,856610867960.0004,2656137906614.8
44,2025,31,울산광역시,1,외지인,827828698231.7993,2360075544812.302
44,2025,36,세종특별자치시,1,외지인,154302221582.90002,469889587309.7002
44,2025,11,서울특별시,2,외국인,2722334582195.8984,8308211733962.513
44,2025,28,인천광역시,2,외국인,332920549935.89996,823310577071.7991
44,2025,26,부산광역시,2,외국인,315746622890.89966,939635157314.1992
44,2025,41,경기도,2,외국인,290521521494.5997,846834192758.1002
44,2025,50,제주특별자치도,2,외국인,110597237552.5999,332709152961.5003
44,2025,47,경상북도,2,외국인,27625709219.39997,67626690169.200066
44,2025,27,대구광역시,2,외국인,24839378144.300034,72802922225.3
44,2025,48,경상남도,2,외국인,24581247983.399986,62475874282.10005
44,2025,51,강원특별자치도,2,외국인,15580216715.399977,57796513432.39997
44,2025,30,대전광역시,2,외국인,15096716549.599997,51189489545.40003
44,2025,52,전북특별자치도,2,외국인,14505485622.99999,36168532868.70005
44,2025,44,충청남도,2,외국인,14278713055.399988,40510352057.89996
44,2025,43,충청북도,2,외국인,10948785350.400003,28774920453.200024
44,2025,29,광주광역시,2,외국인,8863697071.200003,23575285815.0
44,2025,31,울산광역시,2,외국인,8481998889.399994,21185372342.2
44,2025,46,전라남도,2,외국인,7296127939.500011,20668054679.2
44,2025,36,세종특별자치시,2,외국인,1759239066.1999998,4696356930.500002
52,2024_1-8,11,서울특별시,0,현지인,474217233108.0997,1806033807129.3047
52,2024_1-8,41,경기도,0,현지인,326248144859.5991,1248484469254.2993
52,2024_1-8,26,부산광역시,0,현지인,99746925171.3999,453645332099.29974
52,2024_1-8,48,경상남도,0,현지인,46773114071.40001,196771394580.50027
52,2024_1-8,30,대전광역시,0,현지인,46413668617.299995,198431259039.90015
52,2024_1-8,27,대구광역시,0,현지인,37349149453.29994,145368600543.39984
52,2024_1-8,51,강원특별자치도,0,현지인,33376003228.900043,146451452293.90018
52,2024_1-8,28,인천광역시,0,현지인,31503731087.299995,108658262594.90013
52,2024_1-8,44,충청남도,0,현지인,27990050786.699997,102322977775.09969
52,2024_1-8,43,충청북도,0,현지인,27461201905.20003,110003934251.60002
52,2024_1-8,29,광주광역시,0,현지인,25660203765.100018,125139276764.80017
52,2024_1-8,47,경상북도,0,현지인,24165574000.400047,110133877719.70006
52,2024_1-8,50,제주특별자치도,0,현지인,19414039543.499996,95652024797.0
52,2024_1-8,46,전라남도,0,현지인,19377925359.800003,86168551148.90007
52,2024_1-8,31,울산광역시,0,현지인,15573572332.000015,62129931242.19998
52,2024_1-8,52,전북특별자치도,0,현지인,15080343699.199993,62307013032.700066
52,2024_1-8,36,세종특별자치시,0,현지인,2230293801.899999,8159396695.8
52,2024_1-8,11,서울특별시,1,외지인,11812856664834.797,30615943293263.695
52,2024_1-8,41,경기도,1,외지인,8244233588124.807,25040170899147.918
52,2024_1-8,26,부산광역시,1,외지인,2142483109999.5967,6110706094858.207
52,2024_1-8,28,인천광역시,1,외지인,1985534710113.4004,5679342876606.485
52,2024_1-8,27,대구광역시,1,외지인,1348517509229.8994,3917036779603.0938
52,2024_1-8,43,충청북도,1,외지인,1208986803807.803,3626469660396.904
52,2024_1-8,48,경상남도,1,외지인,1184832351370.8015,3705194918692.2905
52,2024_1-8,47,경상북도,1,외지인,1151532041052.8005,3594149795880.8003
52,2024_1-8,44,충청남도,1,외지인,1141457085730.299,3635529028593.8003
52,2024_1-8,30,대전광역시,1,외지인,1060141976478.5999,3136365272729.002
52,2024_1-8,51,강원특별자치도,1,외지인,1035631219050.0996,3354216567608.594
