조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DISP_NM,DTL_TOU_NUM,TOT_DTL_TOU_NUM_RATE,TOU_NUM,TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE
47170,경상북도 안동시,202601-202608,서울특별시,서초구,서울특별시 서초구,38714.0,0.3,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,용산구,서울특별시 용산구,18823.0,0.2,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,강북구,서울특별시 강북구,20777.0,0.2,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,도봉구,서울특별시 도봉구,20451.0,0.2,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,양천구,서울특별시 양천구,28868.0,0.2,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,종로구,서울특별시 종로구,16196.0,0.1,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,중구,서울특별시 중구,10987.0,0.1,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,서울특별시,금천구,서울특별시 금천구,15945.0,0.1,856259.0,925.0,7.3
47170,경상북도 안동시,202601-202608,경상남도,김해시,경상남도 김해시,62385.0,0.5,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,양산시,경상남도 양산시,45580.0,0.4,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,창원시 성산구,경상남도 창원시 성산구,29559.0,0.3,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,진주시,경상남도 진주시,31731.0,0.3,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,거제시,경상남도 거제시,33179.0,0.3,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,창원시 의창구,경상남도 창원시 의창구,28469.0,0.2,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,창원시 마산합포구,경상남도 창원시 마산합포구,19504.0,0.2,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구,18708.0,0.2,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,창원시 진해구,경상남도 창원시 진해구,20227.0,0.2,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,밀양시,경상남도 밀양시,18306.0,0.2,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,통영시,경상남도 통영시,10101.0,0.1,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,사천시,경상남도 사천시,9431.0,0.1,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,함안군,경상남도 함안군,8480.0,0.1,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,창녕군,경상남도 창녕군,10606.0,0.1,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,거창군,경상남도 거창군,13451.0,0.1,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,합천군,경상남도 합천군,9544.0,0.1,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,의령군,경상남도 의령군,4180.0,0.0,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,고성군,경상남도 고성군,5060.0,0.0,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,남해군,경상남도 남해군,3271.0,0.0,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,하동군,경상남도 하동군,2988.0,0.0,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,산청군,경상남도 산청군,3532.0,0.0,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,경상남도,함양군,경상남도 함양군,3797.0,0.0,392088.0,626.0,3.3
47170,경상북도 안동시,202601-202608,부산광역시,해운대구,부산광역시 해운대구,47479.0,0.4,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,부산진구,부산광역시 부산진구,40185.0,0.3,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,남구,부산광역시 남구,31898.0,0.3,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,북구,부산광역시 북구,29804.0,0.3,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,금정구,부산광역시 금정구,30039.0,0.3,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,동래구,부산광역시 동래구,28866.0,0.2,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,사하구,부산광역시 사하구,27205.0,0.2,373367.0,611.0,3.2
