조회_SGG_CD,조회_지역,조회기간,CNTRL_POI_ID,MD5_POI_ID,CNTRL_SIDO_CD,CNTRL_SIDO_NM,CNTRL_SGG_CD,CNTRL_SGG_NM,CNTRL_POI_X_COORD,CNTRL_POI_Y_COORD,CNTRL_TAR_NM,CNTRL_CATE_NM_LARGE,CNTRL_CATE_NM_MIDL,DGRE_CNTRL,BASE_YM,RK
47170,경상북도 안동시,202601-202608,04C13C0E46414D947A72E1D70A1F9F0E,b523f506f97bbde24fb06451566e80dd,47,경북,47170,안동시,128.578489111776,36.579253185896,체화정,관광지,역사관광,0.1174698979081012,202608,39
47170,경상북도 안동시,202601-202608,B78DD1F8F9FADBF0DC21972A524722AA,add43d188ab50f3abd854147585072ca,47,경북,47170,안동시,128.494885431894,36.575669677724,퀸모텔,숙박,숙박,0.11634830337725492,202608,40
47170,경상북도 안동시,202601-202608,28813D9F89453241BD570CD6422DCC72,cfdb3bc0f5d90696528da5fb3a0cf9a9,47,경북,47170,안동시,128.732753419346,36.5644781732833,고려호텔,숙박,숙박,0.11489265277975903,202608,41
47170,경상북도 안동시,202601-202608,A278BC4F5F4E5692E200B96501995F20,099f311d6b36e6a090bfa280104439f9,47,경북,47170,안동시,128.7363040764623,36.56429597793624,하운드호텔/안동문화의거리점,숙박,숙박,0.11293666328281284,202608,42
47170,경상북도 안동시,202601-202608,BDAFB5A4515B278B8F780FD4B78C0B51,dc5992dda5debc66f3b953225c531865,47,경북,47170,안동시,128.570880611594,36.5791101557749,브라운도트호텔/안동풍산점,숙박,숙박,0.10992098363175472,202608,43
47170,경상북도 안동시,202601-202608,59F9309191A22721BED05E149064B1FC,07c7c610c3fb254aa77edf8ab83a1db9,47,경북,47170,안동시,128.70614952331266,36.606285874149165,연미사,관광지,역사관광,0.10412027694411635,202608,44
47170,경상북도 안동시,202601-202608,A69C29DC804EED269791E5ECBE2D81F5,6c6d95e246b2a07c5685b1963e370cd7,47,경북,47170,안동시,128.843103329843,36.695797385263,안동국제컨벤션센터,관광지,문화관광,0.09802089686264981,202608,45
47170,경상북도 안동시,202601-202608,FEE534B48DEDDFBA6B5B6EA79E65620D,be55627a8cd1c85ec5f6c1031d115c86,47,경북,47170,안동시,128.69972853761,36.5663666135519,롯데시네마/프리미엄안동,관광지,문화관광,0.09532854095998183,202608,46
47170,경상북도 안동시,202601-202608,B64B0A5F39D16EFE651F58ACE99798F9,d0df033ec32bae3d244d2d9427cd7e55,47,경북,47170,안동시,128.7235149358222,36.564344590908576,중앙신시장,관광지,쇼핑,0.08766765731859462,202608,47
47170,경상북도 안동시,202601-202608,179F83B40DEE8B33551474085DCC81CE,b2b10e1556f0407294cd63b28eeb92de,47,경북,47170,안동시,128.70363033488988,36.56198291926662,시그너스358호텔,숙박,숙박,0.08675067080523721,202608,48
47170,경상북도 안동시,202601-202608,8C86B2608FFC71EC6384153E332214EA,0423dbb8e054b9705d679a7fa02a49ba,47,경북,47170,안동시,128.715921560637,36.565561264181,비앤비모텔,숙박,숙박,0.08621742096324712,202608,49
47170,경상북도 안동시,202601-202608,6310DADF60639AA141D64A4BC1D13D75,0de8edc3ca45858f2377e6d9ab5d2ee2,47,경북,47170,안동시,128.71655876896403,36.61534134899102,플레이방월드,관광지,문화관광,0.08478603013743571,202608,50
47170,경상북도 안동시,202601-202608,40339956D450C3BC4B4C5232C8B5039A,a9351d889897deeda87c75ee538b4f63,47,경북,47170,안동시,128.7051986,36.6065253,안동이천동마애여래입상,관광지,역사관광,0.0837918237911402,202608,51
47170,경상북도 안동시,202601-202608,9B9BCD953ACE7EFF1C9B3BA7794F4A16,27b23309117dfad9ad551edeb8ee6f47,47,경북,47170,안동시,128.60633846883525,36.58974936812136,안동수산물도매시장,관광지,쇼핑,0.08231523508028984,202608,52
47170,경상북도 안동시,202601-202608,CDB4F67CE29624774D379211A3871835,58eb0ed4ac387171b312ef5657bc9cba,47,경북,47170,안동시,128.527688371537,36.5489507181339,하회세계탈박물관,관광지,문화관광,0.07597826350324247,202608,53
47170,경상북도 안동시,202601-202608,6F7D6A017DA1AC8D29D7A654F7F53218,3a80de0f040387a963970e5981155c73,47,경북,47170,안동시,128.728003827555,36.5655058006821,안동구시장,관광지,쇼핑,0.06689043737735828,202601,54
47170,경상북도 안동시,202601-202608,F7436039445E296734D5019028623B66,68de036658c88d8020e9f1c54232b256,47,경북,47170,안동시,128.76687342248488,36.57474981915958,안동민속촌,관광지,역사관광,0.06655751937918915,202608,55
47170,경상북도 안동시,202601-202608,7B9AC4FF77045B78CD021AC920FDEACB,d320ecc048ed716f9afa9b4a5fe39618,47,경북,47170,안동시,128.71497174888066,36.56626087290297,월영호텔바이뉴시즈,숙박,숙박,0.06655582648696201,202608,56
47170,경상북도 안동시,202601-202608,E5F7FD93D5C70C413CF480545EFBEB29,6c37ead618074dc3fe4962bf12b2d4c8,47,경북,47170,안동시,128.8849599735941,36.76395660884785,농암종택,관광지,역사관광,0.060397071761281014,202608,57
47170,경상북도 안동시,202601-202608,74217B09CA0E273B9B8F6F339569434B,5f80bb3f155f35d51908a0e971eaac96,47,경북,47170,안동시,128.60823637605435,36.589085610819645,안동청과합자회사,관광지,쇼핑,0.0571921169388658,202608,58
47170,경상북도 안동시,202601-202608,9E3DCF4195A0B31678254DC852BC8C09,4cd9b9a23d1c08707a723b56062a502f,47,경북,47170,안동시,128.917599863053,36.4156630285501,묵계서원,관광지,역사관광,0.05620490402411202,202608,59
47170,경상북도 안동시,202601-202608,1B458415154F1ED96D1E121E970127BC,06be920ea6c5f217fc073fc90e9b5f26,47,경북,47170,안동시,128.85788160487,36.533538133226,경상북도독립운동기념관,관광지,문화관광,0.05418237963913887,202608,60
47170,경상북도 안동시,202601-202608,0E483C962E3777D56D48557F335EBF0A,57319280d324378f8034c7c4865565e6,47,경북,47170,안동시,128.70270054901,36.561617173717,쇼모텔,숙박,숙박,0.05401396855195555,202608,61
47170,경상북도 안동시,202601-202608,CFF8A288858953940029FE539475FD61,558290443cdbf44022859babcadf0cf0,47,경북,47170,안동시,128.73116962982024,36.563875277435834,브라운도트호텔/안동문화의거리점,숙박,숙박,0.05143070137271302,202608,62
47170,경상북도 안동시,202601-202608,61A9D78AA794263754C9A2F6AE7EDB25,8b5e7836dd068601d1d820b4147fde37,47,경북,47170,안동시,128.678536616364,36.5062066241285,암산안전체험유원지,관광지,문화관광,0.05075087633848473,202608,63
47170,경상북도 안동시,202601-202608,919C54136E8D47334D5B85B98652EEDD,81d6a796c32b1c091b39b0b56e45663c,47,경북,47170,안동시,128.73433024617714,36.56454992242463,선유스테이,숙박,숙박,0.049280335740459265,202608,64
47170,경상북도 안동시,202601-202608,DC1EFF967ED260FC9E8BEC0914C5981B,2d745be7d6763da15d22a4caebeb3086,47,경북,47170,안동시,128.824715863698,36.713961854228,경상북도산림과학박물관,관광지,문화관광,0.0477938116467749,202608,65
47170,경상북도 안동시,202601-202608,1CD2E4728560911AC3A876D7C154DA77,bc62f7c10d9a6f1dda5613ffc3603452,47,경북,47170,안동시,128.73552289946696,36.56502960820704,호텔누리다,숙박,숙박,0.04725870777517645,202608,66
47170,경상북도 안동시,202601-202608,5ABFF96744B0EAEEEAE986F30634C07D,31b5df08abee11372afff141dfe824fb,47,경북,47170,안동시,128.726503967887,36.5647836497734,꿈의궁전,숙박,숙박,0.04584611124124595,202608,67
47170,경상북도 안동시,202601-202608,D094D18F9A5088A216C79A54DED5B8BC,e57f718840a576abbb40a7d046c4e3b0,47,경북,47170,안동시,128.750335255161,36.559451091069,용상시장,관광지,쇼핑,0.0425477258730536,202608,68
47170,경상북도 안동시,202601-202608,63D27CD8B9826F795E88C87B26BEB5F4,ad09c3f1e8d6c2f1ea583afd33c3cbad,47,경북,47170,안동시,128.70253386624,36.564450184295,윈호텔,숙박,숙박,0.04179877936779608,202608,69
47170,경상북도 안동시,202601-202608,4C4F48FA614240BE1338271D20DD040B,cdf68a8578f928f2d71d7f440c5aa06b,47,경북,47170,안동시,128.505033565562,36.5721102378402,천년숲,관광지,문화관광,0.04052603150186636,202608,70
47170,경상북도 안동시,202601-202608,8DADD8548E1466C09E1EB8A5693701C9,93b396ed609458115150b40ac9915511,47,경북,47170,안동시,128.68117336876367,36.50860233313098,올웨이즈펜션,숙박,숙박,0.03958950973334471,202608,71
47170,경상북도 안동시,202601-202608,2C861365ED5BF18EAB5D159F082102D6,861b3ec450e85636b1392cc21d383293,47,경북,47170,안동시,128.802607154196,36.6738551412823,안동군자마을,관광지,역사관광,0.039291070775241466,202608,72
47170,경상북도 안동시,202601-202608,3A89F87A172C9ACF014D1B2518479A1D,069059b7ef840f0c74a814ec9237b6ec,47,경북,47170,안동시,128.74639030509542,36.56601128174843,법흥사지칠층전탑,관광지,역사관광,0.03857705175791869,202608,73
47170,경상북도 안동시,202601-202608,C81FBF337CE849C5487A26611E2694ED,9e0de751c368f449252c6b538a2d813b,47,경북,47170,안동시,128.7271800869094,36.56428676518653,에이치에비뉴호텔/안동문화의거리점,숙박,숙박,0.038506625226597965,202608,74
47170,경상북도 안동시,202601-202608,C5F04D41459139FBB257864A74135B16,8a62597f9bd8606ab7a2843184817fc0,47,경북,47170,안동시,128.7811539,36.5769869,석동선착장,관광지,기타관광,0.03841304359678948,202608,75
47170,경상북도 안동시,202601-202608,43F6D44183B9FAD0AF2C5BC9324FF51C,dcd6dce6bc51a45c08657d380bd83c5f,47,경북,47170,안동시,128.5750329,36.5778599,풍산시장,관광지,쇼핑,0.03785087641953183,202608,76
47170,경상북도 안동시,202601-202608,4C24D06407BAD6D6DA07E9CEA45BB3CC,e21b59454204c650a5b874e36cc3a097,47,경북,47170,안동시,128.702506112673,36.562450411094,스위트호텔,숙박,숙박,0.03776836713962998,202608,77
47170,경상북도 안동시,202601-202608,1F6ACAC13F6185B6D95EAB5FCE81D379,41f64b3abf2a83bf9879c1afe680a205,47,경북,47170,안동시,128.851356671282,36.5018030041151,금소생태공원,관광지,문화관광,0.03748875114354823,202608,78
47170,경상북도 안동시,202601-202608,95FBE826E6F55DD63FF9C736C174B647,7b73cf628ef6fdf7d3a61cd866d5a6b7,47,경북,47170,안동시,128.728448271846,36.5619228771653,넘버25호텔/안동역점,숙박,숙박,0.036959692458564945,202608,79
47170,경상북도 안동시,202601-202608,7E2E06B06FC53133DF934061580A35EB,e4aa2342d2bae519342b36caaf9bf79d,47,경북,47170,안동시,128.815161334361,36.697713631844,안동퇴계예던길/1코스,관광지,레저스포츠,0.036309006621025416,202607,80
47170,경상북도 안동시,202601-202608,5FAFDB0F5BA4C855163D30F0A5E285B3,f77b989d3ce2ae5ef1bcbf426273edad,47,경북,47170,안동시,128.733253379745,36.5640615574546,샾호텔,숙박,숙박,0.03544726979113906,202608,81
47170,경상북도 안동시,202601-202608,DCA1C3E702C36C43B418B636D5B5A31E,29256c668a1263ba0f7f78d8a07d8483,47,경북,47170,안동시,128.73594757627,36.56497813924,W모텔,숙박,숙박,0.03544578185785363,202608,82
47170,경상북도 안동시,202601-202608,AEECE604343C23D0623F80DC27FC79C0,9db4c493f2dfb03680d8c578fcff8c43,47,경북,47170,안동시,128.735339679353,36.564117028429,안동파크호텔,숙박,숙박,0.03514261141319531,202608,83
47170,경상북도 안동시,202601-202608,9D574F50E26D12EDDC73C261773C5370,9213960daf0cca1a2768b9d691b83390,47,경북,47170,안동시,128.736725447859,36.550090945381,올인모텔,숙박,숙박,0.03511259560184175,202608,84
47170,경상북도 안동시,202601-202608,A782B110F359861EAE99B07B131FA069,292ef57a119d835b89f5bb7e2132136f,47,경북,47170,안동시,128.723576993799,36.5661229670222,모텔캐슬,숙박,숙박,0.03390052153322991,202608,85
47170,경상북도 안동시,202601-202608,6EB7DBB727A1FA77828B7FAE5491F96B,c353ade81d364318beec396fd3d62696,47,경북,47170,안동시,128.738641972895,36.547563468019,해적선펜션,숙박,숙박,0.033660529429195216,202608,86
47170,경상북도 안동시,202601-202608,35A3F891375C2BE268EDDB1D205636D0,e09c2739c1d77223af04cc8981db10f6,47,경북,47170,안동시,128.7286585,36.5539451,안동수페스타,관광지,문화관광,0.03360723787289052,202608,87
47170,경상북도 안동시,202601-202608,58DBD6FABB2B62B8B28AE0B2AB25FE8E,2c3d34540cd34e6bbebfcc2d698de94a,47,경북,47170,안동시,128.736530999675,36.5520073931928,호텔얌/안동강남점,숙박,숙박,0.0326421969009329,202608,88
47170,경상북도 안동시,202601-202608,526A2EE6968CD1301AC45F0F95299A98,3ace4ac6ca51d60f4ead7282447a0aa4,47,경북,47170,안동시,128.732670091248,36.5646725950691,호텔얌/안동문화의거리점,숙박,숙박,0.0316874132262924,202608,89
47170,경상북도 안동시,202601-202608,BACA9802999D048D75F5A6F1E05939CA,145cff933bdcbe21d1a974706ba32882,47,경북,47170,안동시,128.69465411854276,36.61243844630896,송강미술관,관광지,문화관광,0.030573997146788878,202608,90
47170,경상북도 안동시,202601-202608,EEAA6BC253A97C0D8D77D232913B2B9F,7af00ed7f7dcae278c5bcd821ba6273e,47,경북,47170,안동시,128.70351035285574,36.685413331763215,옹천역/폐역,관광지,기타관광,0.02999143085968882,202608,91
47170,경상북도 안동시,202601-202608,47E0E4066993EEBB5DB1BAE4AF2A356F,3613be3ce908843c4fcb8ecbe7804718,47,경북,47170,안동시,128.7123665,36.5567115,안동강변구장/3구장,관광지,문화관광,0.028402401475296837,202608,92
