조회연도,FSTV_YEAR,FSTV_ID,FSTV_REPS_NM,FSTV_NM,SIDO_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,KTO_TOB_LCLS_CD,KTO_TOB_LCLS_NM,FSTV_PERD_CNT,SUM_CNSM_AMT,SUM_CNSM_AMT_1000,SUM_CNSM_AMT_AVG,SUM_CNSM_AMT_1000_AVG
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,5,여가서비스업,5,7087168.800000001,7087,1417434,1417
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,6,의료웰니스업,5,21725929.000000004,21726,4345186,4345
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,6,의료웰니스업,5,273900,274,54780,55
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,6,의료웰니스업,5,21725929.000000004,21726,4345186,4345
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,7,식음료업,5,676958648.1999998,676959,135391730,135392
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,7,식음료업,5,5315858.4,5316,1063172,1063
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,7,식음료업,5,676958648.1999998,676959,135391730,135392
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,1,숙박업,8,3229193.2,3229,403649,404
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,1,숙박업,8,17612937.6,17613,2201617,2202
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,1,숙박업,8,4157000,4157,519625,520
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,1,숙박업,8,20842130.8,20842,2605266,2605
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,2,여행업,8,314000,314,39250,39
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,3,운송업,8,12068166.4,12068,1508521,1508
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,3,운송업,8,162200,162,20275,20
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,3,운송업,8,12068166.4,12068,1508521,1508
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,4,쇼핑업,8,122781206.10000001,122781,15347651,15348
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,4,쇼핑업,8,534707823.6,534708,66838478,66838
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,4,쇼핑업,8,8373821.600000001,8374,1046728,1047
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,4,쇼핑업,8,657489029.7,657489,82186129,82186
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,5,여가서비스업,8,19115803.2,19116,2389475,2390
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,5,여가서비스업,8,57000,57,7125,7
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,5,여가서비스업,8,19115803.2,19116,2389475,2390
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,6,의료웰니스업,8,26238478.3,26238,3279810,3280
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,6,의료웰니스업,8,2192318,2192,274040,274
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,6,의료웰니스업,8,26238478.3,26238,3279810,3280
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,7,식음료업,8,910362287.7999995,910362,113795286,113795
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,7,식음료업,8,11827527.1,11828,1478441,1478
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,7,식음료업,8,910362287.7999995,910362,113795286,113795
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,1,숙박업,10,3138692.6999999997,3139,313869,314
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,1,숙박업,10,37724939.7,37725,3772494,3772
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,1,숙박업,10,9543750,9544,954375,954
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,1,숙박업,10,40863632.400000006,40864,4086363,4086
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,3,운송업,10,7332264.300000001,7332,733226,733
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,3,운송업,10,442300,442,44230,44
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,3,운송업,10,7332264.300000001,7332,733226,733
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,4,쇼핑업,10,84680973.00000001,84681,8468097,8468
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,4,쇼핑업,10,585133773.2,585134,58513377,58513
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,4,쇼핑업,10,12642107.2,12642,1264211,1264
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,4,쇼핑업,10,669814746.2,669815,66981475,66982
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,5,여가서비스업,10,376532.1,377,37653,38
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,5,여가서비스업,10,9553723.2,9554,955372,955
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,5,여가서비스업,10,60000,60,6000,6
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,5,여가서비스업,10,9930255.299999999,9930,993026,993
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,6,의료웰니스업,10,33125761.1,33126,3312576,3313
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,6,의료웰니스업,10,3526361.7,3526,352636,353
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,6,의료웰니스업,10,33125761.1,33126,3312576,3313
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,7,식음료업,10,1009578695.9,1009579,100957870,100958
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,7,식음료업,10,15868771.399999999,15869,1586877,1587
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,7,식음료업,10,1009578695.9,1009579,100957870,100958
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,1,숙박업,10,4193839.9,4194,419384,419
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,1,숙박업,10,19384197.6,19384,1938420,1938
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,1,숙박업,10,7097668,7098,709767,710
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,1,숙박업,10,23578037.5,23578,2357804,2358
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,3,운송업,10,18671009.799999997,18671,1867101,1867
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,3,운송업,10,1161500,1162,116150,116
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,3,운송업,10,18671009.799999997,18671,1867101,1867
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,4,쇼핑업,10,116041027.00000001,116041,11604103,11604
