조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_B,SRCH_NTV_CNT
47170,경상북도 안동시,202401-202408,82,F158A88B78E4AE64312CA94338E4BE02,ee30103feb88811c261838cf3d494d61,도산서원선비문화수련원,육상레저스포츠,262
47170,경상북도 안동시,202401-202408,83,40339956D450C3BC4B4C5232C8B5039A,a9351d889897deeda87c75ee538b4f63,안동이천동마애여래입상,역사유적지,259
47170,경상북도 안동시,202401-202408,84,C07BC8797E76CC5354F84E5B8B3CC758,97dea3d1cd114bedba992e18815ee523,고산정,역사유적지,255
47170,경상북도 안동시,202401-202408,85,95FBE826E6F55DD63FF9C736C174B647,7b73cf628ef6fdf7d3a61cd866d5a6b7,넘버25호텔안동역점,모텔,250
47170,경상북도 안동시,202401-202408,86,6F8BFBBD741B2E47ED0315BADD146C62,7eff0d65b05a663d7286006aab2f5000,필모텔사우나,모텔,247
47170,경상북도 안동시,202401-202408,87,1C95EAA3857738F277886E7A69EC712A,7295c162619011d409535c8d835c9527,권정생동화나라,기타문화관광지,246
47170,경상북도 안동시,202401-202408,88,B40EF04FED5207D226DC9158259ABFB5,403f32384df50bf6db4d7f2c6fcbd4ad,임하댐구장,레저스포츠시설,245
47170,경상북도 안동시,202401-202408,89,1CD2E4728560911AC3A876D7C154DA77,bc62f7c10d9a6f1dda5613ffc3603452,호텔누리다,모텔,232
47170,경상북도 안동시,202401-202408,90,63D27CD8B9826F795E88C87B26BEB5F4,ad09c3f1e8d6c2f1ea583afd33c3cbad,윈호텔,호텔,228
47170,경상북도 안동시,202401-202408,91,22686B8E6E874219C457F79BAA011A6B,f7991b1edcd9fa4ac955ae11e5932edb,도산원탕,웰니스관광,226
47170,경상북도 안동시,202401-202408,92,9D574F50E26D12EDDC73C261773C5370,9213960daf0cca1a2768b9d691b83390,올인모텔,모텔,221
47170,경상북도 안동시,202401-202408,93,22EEFEAB65B3EE6C0C8305C03843EE2C,ec8a79f01156b3c82a27ca947f49d319,안동시청소년수련원,육상레저스포츠,218
47170,경상북도 안동시,202401-202408,94,6C6E9A158419796FBFB1A7515B2A63A1,1c150e2437b5131f337b8578d7de8b8f,나인모텔,모텔,217
47170,경상북도 안동시,202401-202408,95,20ECD563647C244EECBA4D54ED09148F,0f77543ff116c36b1075358ae47bea65,모로펜션,펜션/민박,212
47170,경상북도 안동시,202401-202408,96,C5F04D41459139FBB257864A74135B16,8a62597f9bd8606ab7a2843184817fc0,석동선착장,교통시설,211
47170,경상북도 안동시,202401-202408,97,A8E75312083DF3F6330A164A300325F2,72b7ab771a29f3db7e80cc6364b327a2,화천서원,역사유적지,210
47170,경상북도 안동시,202401-202408,98,4166D14EA25341CEA7D2877548CCB82D,c7ebba994efb3731d4c906b3c0e6b865,하얀성모텔,모텔,206
47170,경상북도 안동시,202401-202408,99,DCA1C3E702C36C43B418B636D5B5A31E,29256c668a1263ba0f7f78d8a07d8483,W모텔,모텔,202
47170,경상북도 안동시,202401-202408,100,D2A65304AD926B37D7EBEFCBCEBC32D4,1da747dff58d5823f8e9c19009875889,맑은누리파크주민편익시설,기타문화관광지,180
