조회_시도,조회기간,SIDO_CD,SIDO_NM,NIGHT_SRCH_CNT,SRCH_CNT
43,2024_1-8,30,대전광역시,927963,4526049
43,2024_1-8,52,전북특별자치도,567766,4220287
43,2024_1-8,31,울산광역시,537579,2745175
43,2024_1-8,36,세종특별자치시,245314,1263124
43,2026_1-8,41,경기도,9556462,57625714
43,2026_1-8,11,서울특별시,5743494,24430480
43,2026_1-8,51,강원특별자치도,2371598,16202312
43,2026_1-8,28,인천광역시,2151468,11616018
43,2026_1-8,26,부산광역시,1694938,9450082
43,2026_1-8,44,충청남도,1228970,9348006
43,2026_1-8,12,전남광주통합특별시,1053983,7241479
43,2026_1-8,48,경상남도,991375,7988143
43,2026_1-8,47,경상북도,991055,7469634
43,2026_1-8,27,대구광역시,828771,4434136
43,2026_1-8,43,충청북도,736613,5290856
43,2026_1-8,30,대전광역시,652789,3920565
43,2026_1-8,50,제주특별자치도,626651,4231087
43,2026_1-8,52,전북특별자치도,561834,4446708
43,2026_1-8,31,울산광역시,319034,1951596
43,2026_1-8,36,세종특별자치시,138327,920040
43,2025,41,경기도,15696319,95608719
43,2025,11,서울특별시,10265812,43069330
43,2025,28,인천광역시,3572672,19160176
43,2025,51,강원특별자치도,3205491,23589091
43,2025,26,부산광역시,2888977,15897490
43,2025,44,충청남도,1829165,14184584
43,2025,12,전남광주통합특별시,1754717,12174524
43,2025,48,경상남도,1584438,13303597
43,2025,47,경상북도,1523973,12205835
43,2025,27,대구광역시,1478346,7722087
43,2025,30,대전광역시,1132017,6622306
43,2025,50,제주특별자치도,1085588,7232970
43,2025,43,충청북도,1085231,8578672
43,2025,52,전북특별자치도,886533,7222361
43,2025,31,울산광역시,576425,3452657
43,2025,36,세종특별자치시,263676,1646841
00,2024_1-8,41,경기도,12528104,67781160
00,2024_1-8,11,서울특별시,7429793,29434396
00,2024_1-8,28,인천광역시,2689292,13246163
00,2024_1-8,51,강원특별자치도,2319537,15797225
00,2024_1-8,26,부산광역시,2160866,10880976
00,2024_1-8,44,충청남도,1618474,10441214
00,2024_1-8,12,전남광주통합특별시,1547848,9137800
00,2024_1-8,48,경상남도,1375026,9438926
00,2024_1-8,47,경상북도,1302436,8550724
00,2024_1-8,27,대구광역시,1211193,5470002
00,2024_1-8,43,충청북도,997576,6354860
00,2024_1-8,50,제주특별자치도,930566,5555679
00,2024_1-8,30,대전광역시,927963,4526049
00,2024_1-8,52,전북특별자치도,567766,4220287
00,2024_1-8,31,울산광역시,537579,2745175
00,2024_1-8,36,세종특별자치시,245314,1263124
00,2026_1-8,41,경기도,9556462,57625714
00,2026_1-8,11,서울특별시,5743494,24430480
00,2026_1-8,51,강원특별자치도,2371598,16202312
00,2026_1-8,28,인천광역시,2151468,11616018
00,2026_1-8,26,부산광역시,1694938,9450082
00,2026_1-8,44,충청남도,1228970,9348006
00,2026_1-8,12,전남광주통합특별시,1053983,7241479
00,2026_1-8,48,경상남도,991375,7988143
00,2026_1-8,47,경상북도,991055,7469634
00,2026_1-8,27,대구광역시,828771,4434136
00,2026_1-8,43,충청북도,736613,5290856
00,2026_1-8,30,대전광역시,652789,3920565
00,2026_1-8,50,제주특별자치도,626651,4231087
00,2026_1-8,52,전북특별자치도,561834,4446708
00,2026_1-8,31,울산광역시,319034,1951596
00,2026_1-8,36,세종특별자치시,138327,920040
00,2025,41,경기도,15696319,95608719
00,2025,11,서울특별시,10265812,43069330
00,2025,28,인천광역시,3572672,19160176
00,2025,51,강원특별자치도,3205491,23589091
00,2025,26,부산광역시,2888977,15897490
00,2025,44,충청남도,1829165,14184584
00,2025,12,전남광주통합특별시,1754717,12174524
00,2025,48,경상남도,1584438,13303597
00,2025,47,경상북도,1523973,12205835
00,2025,27,대구광역시,1478346,7722087
00,2025,30,대전광역시,1132017,6622306
00,2025,50,제주특별자치도,1085588,7232970
00,2025,43,충청북도,1085231,8578672
00,2025,52,전북특별자치도,886533,7222361
00,2025,31,울산광역시,576425,3452657
00,2025,36,세종특별자치시,263676,1646841
