조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM
47,2026_1-8,30,대전광역시,1,외지인,5399853073617.99,16789865887185.564,32.16
47,2026_1-8,50,제주특별자치도,1,외지인,1171697143166.399,3650436668890.4023,32.1
47,2026_1-8,43,충청북도,1,외지인,18373989150187.75,57371691062227.055,32.03
47,2026_1-8,36,세종특별자치시,1,외지인,107602682232.29997,336304910459.1,32.0
47,2026_1-8,41,경기도,1,외지인,462216136286722.9,1461009967136691.0,31.64
47,2026_1-8,47,경상북도,1,외지인,28967040396807.758,95014046440291.88,30.49
47,2026_1-8,48,경상남도,1,외지인,28445105586948.586,93509596913262.8,30.42
47,2026_1-8,52,전북특별자치도,1,외지인,11759378849220.953,38696790136678.44,30.39
47,2026_1-8,51,강원특별자치도,1,외지인,19650286037055.652,65603224280696.6,29.95
47,2026_1-8,44,충청남도,1,외지인,19675527413027.312,66654659156525.85,29.52
47,2026_1-8,12,전남광주통합특별시,1,외지인,23865201427230.926,82917559467377.47,28.78
47,2026_1-8,31,울산광역시,2,외국인,39644167520.99998,93639662245.00009,42.34
47,2026_1-8,36,세종특별자치시,2,외국인,2600789011.2,6141954273.400004,42.34
47,2026_1-8,43,충청북도,2,외국인,155656073125.4994,385041422283.0035,40.43
47,2026_1-8,47,경상북도,2,외국인,526379777234.4039,1310072702723.978,40.18
47,2026_1-8,52,전북특별자치도,2,외국인,191092959828.80222,479879867062.4035,39.82
47,2026_1-8,28,인천광역시,2,외국인,4389932761457.928,11308068652579.23,38.82
47,2026_1-8,48,경상남도,2,외국인,407020226457.29626,1087455285528.6375,37.43
47,2026_1-8,12,전남광주통합특별시,2,외국인,225714804576.8048,604562494387.2076,37.34
47,2026_1-8,44,충청남도,2,외국인,222430634012.30038,610517749725.8008,36.43
47,2026_1-8,27,대구광역시,2,외국인,209231785093.69962,600544474265.6996,34.84
47,2026_1-8,26,부산광역시,2,외국인,4735608484540.798,13959276961022.693,33.92
47,2026_1-8,41,경기도,2,외국인,13049889540722.082,39326226981483.4,33.18
47,2026_1-8,50,제주특별자치도,2,외국인,267606227948.99994,821040881150.1998,32.59
47,2026_1-8,11,서울특별시,2,외국인,61934360634090.45,194533436308763.47,31.84
47,2026_1-8,30,대전광역시,2,외국인,69303261868.0,225162029160.4999,30.78
47,2026_1-8,51,강원특별자치도,2,외국인,278227399825.80426,919819895599.7871,30.25
47,2026_1-8,11,서울특별시,3,내국인,300742771458569.56,816234270334809.2,36.85
47,2026_1-8,31,울산광역시,3,내국인,2980851755180.5,8747049164417.509,34.08
47,2026_1-8,28,인천광역시,3,내국인,29426810385298.945,88857259902760.06,33.12
47,2026_1-8,26,부산광역시,3,내국인,38020202522784.95,116224250294299.06,32.71
47,2026_1-8,27,대구광역시,3,내국인,13473832403029.014,41836581430416.23,32.21
47,2026_1-8,36,세종특별자치시,3,내국인,109686933956.29994,343823092217.49976,31.9
47,2026_1-8,43,충청북도,3,내국인,18814563367021.676,59227609598215.96,31.77
47,2026_1-8,30,대전광역시,3,내국인,5649895339464.502,17893276654892.004,31.58
47,2026_1-8,50,제주특별자치도,3,내국인,1205935526296.199,3821199340559.002,31.56
47,2026_1-8,41,경기도,3,내국인,478568271529413.6,1527085813165682.0,31.34
47,2026_1-8,52,전북특별자치도,3,내국인,11993955958411.494,39638585597061.56,30.26
47,2026_1-8,47,경상북도,3,내국인,29484385693281.867,97445155347693.64,30.26
47,2026_1-8,48,경상남도,3,내국인,29460087092751.215,97940727276843.83,30.08
47,2026_1-8,51,강원특별자치도,3,내국인,20162739439002.797,68099733427053.1,29.61
47,2026_1-8,44,충청남도,3,내국인,20079816073171.434,68231982643272.65,29.43
47,2026_1-8,12,전남광주통합특별시,3,내국인,24445023037861.652,85888283858120.27,28.46
47,2025,28,인천광역시,0,현지인,613872689443.5078,2243174737986.006,27.37
47,2025,44,충청남도,0,현지인,623603831385.5991,2448585108033.1914,25.47
47,2025,27,대구광역시,0,현지인,542848169103.80066,2149887470121.0288,25.25
47,2025,31,울산광역시,0,현지인,123889085641.50008,491904411215.501,25.19
47,2025,41,경기도,0,현지인,25522304630815.523,101443213095567.02,25.16
47,2025,36,세종특별자치시,0,현지인,2980345261.0,11848925052.999998,25.15
47,2025,11,서울특별시,0,현지인,17401488073541.936,69519563560570.92,25.03
47,2025,52,전북특별자치도,0,현지인,338394798883.2016,1442426623508.7515,23.46
47,2025,43,충청북도,0,현지인,616228592863.4928,2633344781587.5254,23.4
47,2025,48,경상남도,0,현지인,1499483905846.3318,6624902146151.219,22.63
47,2025,30,대전광역시,0,현지인,336005847768.99945,1495990420470.001,22.46
47,2025,26,부산광역시,0,현지인,2354200873171.203,11098782963147.188,21.21
47,2025,47,경상북도,0,현지인,766271716716.0103,3726751718382.9727,20.56
47,2025,51,강원특별자치도,0,현지인,797088635539.1733,3932005699917.1606,20.27
47,2025,12,전남광주통합특별시,0,현지인,723663020830.9032,3576074329249.3174,20.24
47,2025,50,제주특별자치도,0,현지인,51632848580.8,263544220939.59998,19.59
47,2025,11,서울특별시,1,외지인,424912329423801.6,1113612298689644.2,38.16
47,2025,31,울산광역시,1,외지인,4139143491159.0166,11800377724061.488,35.08
47,2025,26,부산광역시,1,외지인,51304084532282.164,150952615842727.03,33.99
47,2025,28,인천광역시,1,외지인,42615593249207.055,126784697583415.08,33.61
47,2025,27,대구광역시,1,외지인,19496102160600.445,58769942171911.04,33.17
47,2025,36,세종특별자치시,1,외지인,154302221582.90002,469889587309.7002,32.84
47,2025,30,대전광역시,1,외지인,7779032429478.035,23793768316625.066,32.69
47,2025,43,충청북도,1,외지인,26817982971609.977,82614265995661.81,32.46
