조회_시도,조회기간,DT,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
47,2025,202504,0,현지인,2662251099.9000006,12944824973.999994
47,2025,202505,0,현지인,2979536878.1000013,14690043939.299995
47,2025,202506,0,현지인,2823889512.2000017,12710799350.899992
47,2025,202507,0,현지인,2786241780.5000005,12393235960.099998
47,2025,202508,0,현지인,2783287020.3999996,11765408310.899994
47,2025,202509,0,현지인,2539175275.2999997,12149322951.599997
47,2025,202510,0,현지인,2839913297.299999,15801540938.399998
47,2025,202511,0,현지인,3117033045.0,16230153853.0
47,2025,202512,0,현지인,2628837174.0,14389590387.0
47,2025,202501,1,외지인,128249797366.89993,434560124906.2001
47,2025,202502,1,외지인,116601615229.40007,369310116935.5996
47,2025,202503,1,외지인,133114272991.4001,435423790827.5005
47,2025,202504,1,외지인,133736247288.40001,424138971022.4998
47,2025,202505,1,외지인,152733758704.69998,484681966903.4001
47,2025,202506,1,외지인,135083707508.79994,424798592605.69977
47,2025,202507,1,외지인,148653281408.7001,457443236720.40015
47,2025,202508,1,외지인,157716694193.4999,503460835287.7999
47,2025,202509,1,외지인,135322130763.59993,430934854880.8003
47,2025,202510,1,외지인,157448740607.59985,529033137400.2994
47,2025,202511,1,외지인,146796108232.0,494027776265.0
47,2025,202512,1,외지인,143905577697.0,466738843244.0
47,2025,202501,2,외국인,1167684240.7000005,2994466866.1999993
47,2025,202502,2,외국인,1544825545.4,3669191087.0
47,2025,202503,2,외국인,2806458985.5000005,6655453687.100004
47,2025,202504,2,외국인,2631933014.5,6464151224.800001
47,2025,202505,2,외국인,2599769094.1000004,6318613019.799999
47,2025,202506,2,외국인,2217445028.2000003,5594361193.5
47,2025,202507,2,외국인,2032858004.4999993,4772022239.000002
47,2025,202508,2,외국인,2411382224.6000004,5444693143.299998
47,2025,202509,2,외국인,2376439214.200001,6010424854.999998
47,2025,202510,2,외국인,3253833578.5,8074866250.399999
47,2025,202511,2,외국인,2805502296.599999,7052613807.100003
47,2025,202512,2,외국인,1777577992.5999997,4575832795.999999
44,2024_1-8,202401,0,현지인,2680210380.0000014,10953033878.80001
44,2024_1-8,202402,0,현지인,3034118471.0,11321843297.5
44,2024_1-8,202403,0,현지인,3609043764.4999986,13418254647.899998
44,2024_1-8,202404,0,현지인,3747370492.6000023,13489364969.400007
44,2024_1-8,202405,0,현지인,4099073807.2999988,14342995886.899994
44,2024_1-8,202406,0,현지인,3819042952.000001,13865201286.299995
44,2024_1-8,202407,0,현지인,3484387601.3999996,12436060283.49999
44,2024_1-8,202408,0,현지인,3516803317.900001,12496223524.800003
44,2024_1-8,202401,1,외지인,118321268012.90005,385712292845.5999
44,2024_1-8,202402,1,외지인,123725375065.2,402933982477.9995
44,2024_1-8,202403,1,외지인,145927171034.80008,466512076960.79974
44,2024_1-8,202404,1,외지인,146945025771.2,467977505920.89996
44,2024_1-8,202405,1,외지인,158836566853.40015,503251389007.2998
44,2024_1-8,202406,1,외지인,150974882178.09985,472244663134.9999
44,2024_1-8,202407,1,외지인,141181159319.29996,438775760206.2996
44,2024_1-8,202408,1,외지인,155545637495.4001,498121358039.8999
44,2024_1-8,202401,2,외국인,731380362.4000003,2092858736.5999992
44,2024_1-8,202402,2,외국인,745934980.3000002,1968567349.4999998
44,2024_1-8,202403,2,외국인,1125381767.3000002,2851233213.8999996
44,2024_1-8,202404,2,외국인,1031896863.8000004,2848008597.9999986
44,2024_1-8,202405,2,외국인,1102592929.6999996,3123682534.9
44,2024_1-8,202406,2,외국인,1179266379.1999996,3249689627.500001
44,2024_1-8,202407,2,외국인,1087135856.8,2894318258.1999993
44,2024_1-8,202408,2,외국인,1256706459.999999,3045660544.0000014
44,2026_1-8,202601,0,현지인,2758652664.7,10769100502.600002
44,2026_1-8,202602,0,현지인,2635534267.2,10841467135.300005
44,2026_1-8,202603,0,현지인,2868429201.7999997,11679536183.399996
44,2026_1-8,202604,0,현지인,3248699611.0000024,12523581142.8
44,2026_1-8,202605,0,현지인,3488927389.6999993,13468471886.699997
44,2026_1-8,202606,0,현지인,3080394694.3999996,11600898042.3
44,2026_1-8,202607,0,현지인,2866125339.8,11067303948.999994
