조회_시도,조회기간,SIDO_CD,SGG_CD,ADONG_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM,RNK
44,2025,44,44133,44133520,충청남도,천안시 서북구,성정2동,2,외국인,1834000280.0,3644478657.0,50.32,7
44,2025,44,44790,44790390,충청남도,청양군,비봉면,2,외국인,1318526.0,2676920.0,49.26,8
44,2025,44,44760,44760320,충청남도,부여군,은산면,2,외국인,15341167.0,31262649.0,49.07,9
44,2025,44,44270,44270253,충청남도,당진시,송악읍,2,외국인,157996200.0,322804994.0,48.94,10
44,2025,44,44210,44210510,충청남도,서산시,부춘동,3,내국인,14233485326.0,23920673889.0,59.5,1
44,2025,44,44133,44133567,충청남도,천안시 서북구,불당2동,3,내국인,38582215289.0,71529706738.0,53.94,2
44,2025,44,44200,44200580,충청남도,아산시,온양2동,3,내국인,10422754061.0,20603752275.0,50.59,3
44,2025,44,44133,44133520,충청남도,천안시 서북구,성정2동,3,내국인,39202965307.0,78171414734.0,50.15,4
44,2025,44,44133,44133590,충청남도,천안시 서북구,부성2동,3,내국인,57216059527.0,115284563939.0,49.63,5
44,2025,44,44133,44133510,충청남도,천안시 서북구,성정1동,3,내국인,13592523063.0,27507938131.0,49.41,6
44,2025,44,44180,44180535,충청남도,보령시,대천3동,3,내국인,9431338578.0,19727881156.0,47.81,7
44,2025,44,44131,44131540,충청남도,천안시 동남구,원성2동,3,내국인,3458657862.0,7271576066.0,47.56,8
44,2025,44,44150,44150570,충청남도,공주시,신관동,3,내국인,18196531301.0,38768584379.0,46.94,9
44,2025,44,44270,44270510,충청남도,당진시,당진1동,3,내국인,24510733789.0,52237431864.0,46.92,10
52,2024_1-8,52,52790,52790400,전북특별자치도,고창군,흥덕면,0,현지인,643756.0,643756.0,100.0,1
52,2024_1-8,52,52140,52140420,전북특별자치도,익산시,춘포면,0,현지인,407368.0,407368.0,100.0,2
52,2024_1-8,52,52770,52770350,전북특별자치도,순창군,팔덕면,0,현지인,251156.0,251156.0,100.0,3
52,2024_1-8,52,52113,52113620,전북특별자치도,전주시 덕진구,호성동,0,현지인,153652.0,153652.0,100.0,4
52,2024_1-8,52,52770,52770380,전북특별자치도,순창군,적성면,0,현지인,2322380.0,2499490.0,92.91,5
52,2024_1-8,52,52710,52710320,전북특별자치도,완주군,상관면,0,현지인,2695657.0,2999068.0,89.88,6
52,2024_1-8,52,52210,52210580,전북특별자치도,김제시,교월동,0,현지인,11949865.0,15034666.0,79.48,7
52,2024_1-8,52,52113,52113612,전북특별자치도,전주시 덕진구,우아2동,0,현지인,270875348.0,351746498.0,77.01,8
52,2024_1-8,52,52210,52210330,전북특별자치도,김제시,백산면,0,현지인,633571.0,838440.0,75.57,9
