조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_B,SRCH_CNT
47170,경상북도 안동시,202601-202608,1,3B4656B45B731E7F16BBF5B3D1C4F8AE,446c3106f3d69d4cef86e1cfe0b876bf,안동하회마을,역사유적지,47481
47170,경상북도 안동시,202601-202608,2,6BC165A4B9DBCFC9692AF7706FC0794D,fdeb515b719050ed2934841d46f2040a,안동역,교통시설,42845
47170,경상북도 안동시,202601-202608,3,805DB1A51BD0A535C76D9B07EEFE8A9F,20f293475800f79e12653fa07c97258b,월영교,기타관광,28983
47170,경상북도 안동시,202601-202608,4,6CB787495DB3768DFC41FD53228103C6,101c58daf41e6c21759125ffe828e86e,안동터미널,교통시설,24515
47170,경상북도 안동시,202601-202608,5,6A8AE4410EE675B86DBF6B6898C9DEB5,365d558c221846b3e972433e9691b393,도산서원,역사유적지,16551
47170,경상북도 안동시,202601-202608,6,D3CBBA7E99D06CF450917CE4D16CAC47,20c99c680bff19bd1d0925e3aeb26f86,봉정사,종교성지,14546
47170,경상북도 안동시,202601-202608,7,42E8AED63CD20640B5F2FD04275DD257,0cd50eb0d6cfdb3bb1560c0f51fb2504,병산서원,역사유적지,13984
47170,경상북도 안동시,202601-202608,8,6F7D6A017DA1AC8D29D7A654F7F53218,3a80de0f040387a963970e5981155c73,안동구시장,시장,12939
47170,경상북도 안동시,202601-202608,9,FF6035F6D19F7D99925C2FC5E5547B03,d709d495a429adce5e59f46969e89f42,스탠포드호텔안동,호텔,12769
47170,경상북도 안동시,202601-202608,10,E2FE019909E3EAF939A3799CCEE7AA1A,ecbbdcb183a573c859d71c14ace48427,안동그랜드호텔,호텔,11458
47170,경상북도 안동시,202601-202608,11,89B1C6C4EC9DC76E42A3A42EB46261F1,38f348fb19d8d77626d9f186ef9fe402,안동학가산온천,웰니스관광,10123
47170,경상북도 안동시,202601-202608,12,CFE3290B1D832EB3BCB80C192019AC4E,59abc4e6b4db67812c9d56a82e4861e1,남안동CC,육상레저스포츠,9433
47170,경상북도 안동시,202601-202608,13,CEAC8B3A28D1F878F5E190FA7D4DA32E,719de5cfd5b190694f5b2b59ef08c955,리버힐CC,육상레저스포츠,8707
47170,경상북도 안동시,202601-202608,14,B64B0A5F39D16EFE651F58ACE99798F9,d0df033ec32bae3d244d2d9427cd7e55,중앙신시장,시장,7437
47170,경상북도 안동시,202601-202608,15,041858CAF2C91C84AA7C2531564C6126,2fffa6dd1b50ced2b3d67b862bf2f61d,만휴정,역사유적지,6622
47170,경상북도 안동시,202601-202608,16,39DAE12F127F43A034E2FE4B6D0401D9,f571b732c7e31d518e203c929b4a54c9,유교랜드,기타레저스포츠,6138
47170,경상북도 안동시,202601-202608,17,0762750146B73A3094BB0F6170FA8A32,9d8b328dc999c1372195928a387b78b2,리첼호텔,호텔,5443
47170,경상북도 안동시,202601-202608,18,D030C20221D69EB701D890D32EFC687C,7fe09cba97ce77d62073096aaa7445fa,안동시농산물도매시장,시장,5320
47170,경상북도 안동시,202601-202608,19,74217B09CA0E273B9B8F6F339569434B,5f80bb3f155f35d51908a0e971eaac96,안동청과합자회사,시장,4999
47170,경상북도 안동시,202601-202608,20,21CFD32801ECADC7D9651270A780F2E5,f951b67e9c846f89d465ef99dd0696fb,안동레이크GC,육상레저스포츠,4901
47170,경상북도 안동시,202601-202608,21,A69C29DC804EED269791E5ECBE2D81F5,6c6d95e246b2a07c5685b1963e370cd7,안동국제컨벤션센터,전시시설,4892
47170,경상북도 안동시,202601-202608,22,AE4EF2035A8D785CD2B8359785EE5174,f7a8b2995a274f82e6278ed5f6cc4ccc,CGV안동,공연시설,4820
47170,경상북도 안동시,202601-202608,23,9C8CCE57E3CBA93E49B18E092BF85DF5,976e0f7abaa5c9f9cd2dec1287213a7b,낙동강12경(부용경)부용대,역사유적지,4715
47170,경상북도 안동시,202601-202608,24,F3E24262E4EDB871CE4D02D424AE0FE5,80faee9f68baddaef1d68952386b9e83,안동강변구장,레저스포츠시설,4450
47170,경상북도 안동시,202601-202608,25,89A15DEA964CB31C13C796EE6D8DE3BB,7271e336931c9bb7a70edf611ef61fdc,선성수상길,기타레저스포츠,4358
47170,경상북도 안동시,202601-202608,26,C8D478CB42DCCB85A8BCCD16CFBD7D32,aeb4863a1843affc070eef80dcad8c1d,브라운도트호텔태화점,호텔,3599
47170,경상북도 안동시,202601-202608,27,D6EE0409BA9853CED336EC7A0BF2CF6C,9bc463f60f7112293fb223386e35efdc,안동문화예술의전당,공연시설,3456
47170,경상북도 안동시,202601-202608,28,381B7BE440E9004AC7DFC92E7064D437,8775ace211034aa2f9386a809ef3856a,영모각,전시시설,3434
47170,경상북도 안동시,202601-202608,29,88271C9C0B43343507FB440E1A3C9764,2363b066af52f4e64d8cc421ee5766ba,안동호반자연휴양림,자연공원,3030
47170,경상북도 안동시,202601-202608,30,B6D3AD3CBCBBE77BB647E1A977CD8287,59c1c132657789d703978187b892a304,CM파크호텔,호텔,2947
47170,경상북도 안동시,202601-202608,31,651A7A930C4D44B869E19E3D80F69BDF,53ddf361b2d95cc8a2bf051e334a13d2,웅부공원,도시공원,2865
47170,경상북도 안동시,202601-202608,32,026CFC2358E65BFA68AE779CA0D85DBB,e9978f29ae16aa0e25948c6c14d55d1e,낙강물길공원공사중(2028년12월31일개장예정),도시공원,2767
47170,경상북도 안동시,202601-202608,33,6310DADF60639AA141D64A4BC1D13D75,0de8edc3ca45858f2377e6d9ab5d2ee2,플레이방월드,테마공원,2692
47170,경상북도 안동시,202601-202608,34,9B9BCD953ACE7EFF1C9B3BA7794F4A16,27b23309117dfad9ad551edeb8ee6f47,안동수산물도매시장,시장,2530
47170,경상북도 안동시,202601-202608,35,B78DD1F8F9FADBF0DC21972A524722AA,add43d188ab50f3abd854147585072ca,퀸모텔,모텔,2476
47170,경상북도 안동시,202601-202608,36,B7BE253FFAC20858A8CFD69DE574C8B2,bdfbcd179cf87218bbe8301e74087883,케이스호텔안동점,호텔,2365
