BASE_DATE,CTNN_NM,C_RATE,NAT_NM,PRE_QTY,QTY,R_LEV,SEX_CD,SRT_NO
202101,유럽,-96.5,연도대륙,24435.0,848.0,2,여성,0
202101,유럽,-53.9,연도대륙,13462.0,6209.0,2,승무원,0
202101,유럽,-87.3,연도대륙,73181.0,9298.0,2,전체,0
202101,유럽,-96.6,러시아,11816.0,403.0,3,남성,1
202101,유럽,-98.2,러시아,12155.0,218.0,3,여성,1
202101,유럽,-73.8,러시아,4920.0,1290.0,3,승무원,1
202101,유럽,-93.4,러시아,28891.0,1911.0,3,전체,1
202101,유럽,-96.8,영국,5166.0,165.0,3,남성,2
202101,유럽,-97.6,영국,3279.0,80.0,3,여성,2
202101,유럽,-75.9,영국,672.0,162.0,3,승무원,2
202101,유럽,-95.5,영국,9117.0,407.0,3,전체,2
202101,유럽,-90.8,독일,3985.0,365.0,3,남성,3
202101,유럽,-95.0,독일,1671.0,84.0,3,여성,3
202101,유럽,-29.2,독일,961.0,680.0,3,승무원,3
202101,유럽,-82.9,독일,6617.0,1129.0,3,전체,3
202101,유럽,-93.5,프랑스,3284.0,215.0,3,남성,4
202101,유럽,-91.8,프랑스,2061.0,168.0,3,여성,4
202101,유럽,14.0,프랑스,637.0,726.0,3,승무원,4
202101,유럽,-81.5,프랑스,5982.0,1109.0,3,전체,4
202101,유럽,-93.6,이탈리아,1681.0,107.0,3,남성,5
202101,유럽,-96.2,이탈리아,714.0,27.0,3,여성,5
202101,유럽,-89.3,이탈리아,485.0,52.0,3,승무원,5
202101,유럽,-93.5,이탈리아,2880.0,186.0,3,전체,5
202101,유럽,-95.7,네덜란드,1269.0,55.0,3,남성,6
202101,유럽,-97.0,네덜란드,530.0,16.0,3,여성,6
202101,유럽,43.3,네덜란드,757.0,1085.0,3,승무원,6
202101,유럽,-54.8,네덜란드,2556.0,1156.0,3,전체,6
202101,유럽,-63.5,우크라이나,573.0,209.0,3,남성,7
202101,유럽,-83.1,우크라이나,219.0,37.0,3,여성,7
202101,유럽,-35.8,우크라이나,1163.0,747.0,3,승무원,7
202101,유럽,-49.2,우크라이나,1955.0,993.0,3,전체,7
202101,유럽,-94.5,스페인,899.0,49.0,3,남성,8
202101,유럽,-96.6,스페인,504.0,17.0,3,여성,8
202101,유럽,-74.5,스페인,157.0,40.0,3,승무원,8
202101,유럽,-93.2,스페인,1560.0,106.0,3,전체,8
202101,유럽,-83.1,루마니아,313.0,53.0,3,남성,9
202101,유럽,-96.5,루마니아,115.0,4.0,3,여성,9
202101,유럽,-53.5,루마니아,428.0,199.0,3,승무원,9
202101,유럽,-70.1,루마니아,856.0,256.0,3,전체,9
202101,유럽,-91.3,노르웨이,379.0,33.0,3,남성,10
202101,유럽,-93.9,노르웨이,147.0,9.0,3,여성,10
202101,유럽,0.0,노르웨이,17.0,17.0,3,승무원,10
202101,유럽,-89.1,노르웨이,543.0,59.0,3,전체,10
202101,유럽,-92.7,스웨덴,536.0,39.0,3,남성,11
202101,유럽,-91.5,스웨덴,281.0,24.0,3,여성,11
202101,유럽,-56.7,스웨덴,30.0,13.0,3,승무원,11
202101,유럽,-91.0,스웨덴,847.0,76.0,3,전체,11
202101,유럽,-87.7,폴란드,579.0,71.0,3,남성,12
202101,유럽,-92.7,폴란드,248.0,18.0,3,여성,12
202101,유럽,-66.2,폴란드,731.0,247.0,3,승무원,12
202101,유럽,-78.4,폴란드,1558.0,336.0,3,전체,12
202101,유럽,-96.6,스위스,467.0,16.0,3,남성,13
202101,유럽,-98.1,스위스,257.0,5.0,3,여성,13
202101,유럽,-15.8,스위스,38.0,32.0,3,승무원,13
202101,유럽,-93.0,스위스,762.0,53.0,3,전체,13
202101,유럽,-95.0,포르투갈,302.0,15.0,3,남성,14
202101,유럽,-98.9,포르투갈,349.0,4.0,3,여성,14
202101,유럽,-58.0,포르투갈,69.0,29.0,3,승무원,14
202101,유럽,-93.3,포르투갈,720.0,48.0,3,전체,14
202101,유럽,-93.3,오스트리아,403.0,27.0,3,남성,15
202101,유럽,-94.0,오스트리아,151.0,9.0,3,여성,15
202101,유럽,-52.2,오스트리아,136.0,65.0,3,승무원,15
202101,유럽,-85.4,오스트리아,690.0,101.0,3,전체,15
202101,유럽,-92.0,핀란드,339.0,27.0,3,남성,16
202101,유럽,-86.0,핀란드,171.0,24.0,3,여성,16
202101,유럽,-58.7,핀란드,375.0,155.0,3,승무원,16
202101,유럽,-76.7,핀란드,885.0,206.0,3,전체,16
202101,유럽,-92.3,벨기에,429.0,33.0,3,남성,17
202101,유럽,-84.2,벨기에,171.0,27.0,3,여성,17
202101,유럽,-42.6,벨기에,122.0,70.0,3,승무원,17
202101,유럽,-82.0,벨기에,722.0,130.0,3,전체,17
202101,유럽,-81.2,크로아티아,213.0,40.0,3,남성,18
202101,유럽,-100.0,크로아티아,39.0,0.0,3,여성,18
202101,유럽,-61.9,크로아티아,215.0,82.0,3,승무원,18
202101,유럽,-73.9,크로아티아,467.0,122.0,3,전체,18
202101,유럽,-74.1,그리스,405.0,105.0,3,남성,19
202101,유럽,-89.4,그리스,47.0,5.0,3,여성,19
202101,유럽,-43.9,그리스,171.0,96.0,3,승무원,19
202101,유럽,-66.9,그리스,623.0,206.0,3,전체,19
202101,유럽,-85.6,불가리아,111.0,16.0,3,남성,20
202101,유럽,-94.2,불가리아,52.0,3.0,3,여성,20
202101,유럽,-36.7,불가리아,188.0,119.0,3,승무원,20
202101,유럽,-60.7,불가리아,351.0,138.0,3,전체,20
202101,유럽,-87.4,덴마크,430.0,54.0,3,남성,21
202101,유럽,-92.3,덴마크,156.0,12.0,3,여성,21
202101,유럽,-48.1,덴마크,79.0,41.0,3,승무원,21
202101,유럽,-83.9,덴마크,665.0,107.0,3,전체,21
202101,유럽,-95.4,아일랜드,433.0,20.0,3,남성,22
202101,유럽,-94.4,아일랜드,213.0,12.0,3,여성,22
202101,유럽,-81.2,아일랜드,69.0,13.0,3,승무원,22
202101,유럽,-93.7,아일랜드,715.0,45.0,3,전체,22
202101,유럽,-90.3,기타,1272.0,124.0,3,남성,23
202101,유럽,-95.0,기타,905.0,45.0,3,여성,23
202101,유럽,-76.1,기타,1042.0,249.0,3,승무원,23
202101,유럽,-87.0,기타,3219.0,418.0,3,전체,23
202101,오세아니아,-98.8,연도대륙,8639.0,105.0,2,남성,0
202101,오세아니아,-99.2,연도대륙,8215.0,65.0,2,여성,0
202101,오세아니아,-80.2,연도대륙,901.0,178.0,2,승무원,0
202101,오세아니아,-98.0,연도대륙,17755.0,348.0,2,전체,0
202101,오세아니아,-98.9,호주,6937.0,73.0,3,남성,1
202101,오세아니아,-99.3,호주,6651.0,45.0,3,여성,1
202101,오세아니아,-80.7,호주,451.0,87.0,3,승무원,1
202101,오세아니아,-98.5,호주,14039.0,205.0,3,전체,1
202101,오세아니아,-98.5,뉴질랜드,1642.0,24.0,3,남성,2
202101,오세아니아,-99.0,뉴질랜드,1521.0,15.0,3,여성,2
202101,오세아니아,-83.3,뉴질랜드,390.0,65.0,3,승무원,2
202101,오세아니아,-97.1,뉴질랜드,3553.0,104.0,3,전체,2
202101,오세아니아,-86.7,기타,60.0,8.0,3,남성,3
202101,오세아니아,-88.4,기타,43.0,5.0,3,여성,3
202101,오세아니아,-56.7,기타,60.0,26.0,3,승무원,3
202101,오세아니아,-76.1,기타,163.0,39.0,3,전체,3
202101,아프리카,-81.0,연도대륙,2001.0,380.0,2,남성,0
202101,아프리카,-91.2,연도대륙,1135.0,100.0,2,여성,0
202101,아프리카,-50.5,연도대륙,1062.0,526.0,2,승무원,0
202101,아프리카,-76.0,연도대륙,4198.0,1006.0,2,전체,0
202101,아프리카,-97.6,남아프리카공화국,505.0,12.0,3,남성,1
202101,아프리카,-97.1,남아프리카공화국,625.0,18.0,3,여성,1
202101,아프리카,-65.5,남아프리카공화국,142.0,49.0,3,승무원,1
202101,아프리카,-93.8,남아프리카공화국,1272.0,79.0,3,전체,1
202101,아프리카,-75.4,기타,1496.0,368.0,3,남성,2
202101,아프리카,-83.9,기타,510.0,82.0,3,여성,2
202101,아프리카,-48.2,기타,920.0,477.0,3,승무원,2
202101,아프리카,-68.3,기타,2926.0,927.0,3,전체,2
202101,기타,-88.6,연도대륙,35.0,4.0,2,남성,0
202101,기타,-100.0,연도대륙,10.0,0.0,2,여성,0
