식당인증,체험결제,체험추가소비,지표1_원,지표1_증가율,이동인원,팝업구매,팝업추가소비,지표2_강남동증가율,추가소비합,팝업총지출,주민증월이용_증가율
2631.6170237953183,671.1561259881538,4443723.561568578,153.04570811023692,0.002482224824892132,374.5721462987166,2261.566831416774,2637326.5782335144,0.00024082889105166318,7081050.139802093,5974914.499141318,0.37065028504159414
1293.3325698091865,277.62738396813575,726278.8725727763,152.72869073179808,0.000405692978493688,210.2750143940359,2009.7132456802065,13040759.475982405,0.001190823946109808,13767038.348555181,19939844.45919228,0.1821595168745333
2551.562461512303,578.9786840983327,3947243.7652056813,153.00336915521314,0.0022048955854570007,365.60721673191733,3498.0812397368463,30979224.34129257,0.0028288844867863745,34926468.10649826,45440088.35130554,0.3593749945791976
3512.6397647950666,464.5469306389755,3772243.444223172,152.98844542463334,0.002107141948200386,650.5228523227438,5437.269266443178,36713591.59410453,0.0033525213081703506,40485835.0383277,67818474.09885168,0.4947379950415587
992.3826560535966,106.90009596823104,613807.612824628,152.71909937351356,0.0003428675238572598,144.31833358799392,1839.8772572862993,6856293.751080384,0.0006260861413314649,7470101.363905012,11940849.944887942,0.13977220507797136
4115.120484867889,2538.5638864233733,7155232.99864491,153.27694103641832,0.0039968501035319015,624.1248271202332,2855.1632471554703,17423068.85316173,0.001590996877388687,24578301.85180664,37088581.22972152,0.5795944344884351
1695.4730825084534,464.1114767727684,2297307.0267243814,152.8626653483827,0.0012832554620301195,271.5738022558759,2850.6791171033556,11447257.968182998,0.0010453125012323487,13744564.99490738,18500979.58630291,0.23879902570541597
2160.2951917504947,1155.0845397707865,8875649.698555507,153.42365525482822,0.004957859712367618,377.76225714620716,3311.5378666828465,13407174.885665992,0.0012242833657761599,22282824.584221497,26172315.76008965,0.30426692841556263
798.7511577956097,157.24958387942448,2347360.4820828536,152.866933822167,0.0013112148811389446,128.72251710735407,3253.7989149906502,38067011.25648839,0.0034761095505630463,40414371.73857124,51002150.92915483,0.11250016306980419
2397.978309253361,625.5480485531459,10054690.044058617,153.52420181588707,0.005616461260057992,394.8898632910291,4026.058800955593,14999489.743562944,0.0013696864510813033,25054179.78762156,26129223.469185714,0.3377434238385016
3038.258309008214,744.5646740839779,1092283.11637399,152.75990295298078,0.00061013972397439,486.61849003585473,4015.8232601298287,4220915.273368089,0.0003854351421237829,5313198.389742079,8631675.316792162,0.4279237054941146
3024.7293865120423,782.6547551797094,5173301.57679964,153.10792528604043,0.0028897606754034744,464.6167575295843,4118.71741722163,5420604.681815308,0.0004949854239232741,10593906.258614948,16401371.415105712,0.4260182234524003
2351.4193119350916,1192.8342796073393,2269152.5819871896,152.86026438508432,0.0012675286372871852,339.5424225015925,2145.28475623602,11498822.061758377,0.0010500211040941755,13767974.643745566,30223152.99387824,0.33118581858240725
1341.8088788320053,388.62905481403055,1658045.9231118758,152.8081502456281,0.0009261698425062637,215.19420855703422,2761.952772564296,19972817.9874726,0.0018238285871753906,21630863.910584476,46814248.436956026,0.18898716603267682
1414.8365189890615,207.6587542129525,384439.46966403845,152.69953924726408,0.00021474450020275704,208.70909118103643,3655.202460392795,21117531.243168253,0.0019283586920992842,21501970.71283229,34220525.53949532,0.19927274915338894
2343.4235961639297,872.0282169978519,1365789.4394422153,152.78322710835616,0.000762917945994479,355.91064261716195,2352.072583437178,12377419.336653266,0.0011302506854968981,13743208.776095482,31610901.661633883,0.3300596614315394
2712.8413961593114,294.84634538953344,514206.77310712956,152.71060558282153,0.0002872313724402442,421.58201363768444,3019.6172375986785,3478213.346154189,0.00031761491728357367,3992420.119261319,7977635.046709141,0.382090337487227
2435.2603521061455,545.3590782843139,1602836.3466086849,152.80344206657716,0.0008953302595597901,381.368659175328,4230.828436471152,20130050.902009398,0.00183818639509999,21732887.24861808,34245873.03926529,0.34299441578959794
3305.8730395052603,439.175932462298,4205198.563571295,153.02536710293663,0.0023489868628128185,512.8507363847564,3325.7573841835797,9841462.605845377,0.0008986784364337829,14046661.169416672,15417108.555194043,0.46561592105707894
2233.413762741144,60.74838475648583,121554.47806258181,152.67712086102284,6.789926034866944e-05,326.23660674344524,4781.586816766591,36314766.861669175,0.0033161024138138105,36436321.33973176,72595052.51691271,0.3145653186959358
2068.8974940661046,1014.2062423718252,16686166.406316921,154.0897228733396,0.009320745521672169,311.8349003995555,4083.79722412255,25652485.177229222,0.002342470442962464,42338651.58354615,35861379.373076856,0.29139401324874714
3929.0953752239175,1241.193551776349,943776.6720007233,152.74723857526564,0.0005271853327364351,660.3132967445634,3503.439296548713,9402632.829780532,0.0008586064600610529,10346409.501781255,37097189.14741916,0.5533937148202701
2778.6338330983867,356.35975162267056,1926347.0361903147,152.83103050952337,0.0010760404800924661,482.27440745076933,3470.121525504877,23264206.824377246,0.00212438352419138,25190553.860567562,34429630.009052865,0.39135687790118123
1683.381660852182,500.82036598800187,902072.9921271127,152.74368215617383,0.0005038900246379097,245.53037564351283,2804.3453575064595,12082454.11786951,0.0011033157783356911,12984527.109996622,26832148.378928393,0.23709600857072985
3187.3485213641575,1061.3819288587647,4260458.6504827505,153.03007958942953,0.0023798546604283377,564.6395248068346,3798.228073906483,5034982.749326913,0.000459772150325363,9295441.399809662,10034674.93180937,0.44892232695269824
2125.095538694599,767.2216831955272,8762384.83190721,153.41399621909318,0.004894590955909939,316.95917105176886,4463.942325658778,23729403.15124707,0.0021668631762928677,32491787.983154282,41554241.171036065,0.2993092308020562
1816.7789542704802,161.1331441925437,541421.4131763651,152.71292640117167,0.0003024332305765487,277.09016028963606,3527.128079642652,16391934.996278327,0.0014968383361869432,16933356.409454692,29270552.967469007,0.25588435975640567
2011.3651996712053,278.8838303170787,2279871.2864386467,152.86117845802144,0.0012735160111441157,312.3841659422548,2735.5208498075367,2174600.7870912636,0.00019857483724523888,4454472.07352991,5320133.645455832,0.2832908731931275
1277.180986406095,392.47264948611206,1965305.606239338,152.83435283030497,0.0010978023940320103,194.77170121605556,5295.362942502539,12931417.076471025,0.00118083928625138,14896722.682710363,30988936.308938414,0.17988464597268944
2467.3016682685184,559.1008624301141,1279421.2363045278,152.7758617744696,0.0007146734287692968,385.79214826085655,3227.959105928266,11884321.568438455,0.0010852231983137358,13163742.804742983,25966953.845094748,0.34750727722091806
2928.4236919526497,207.70012786540374,991117.6281367579,152.75127573171656,0.0005536295736814356,473.07094542153806,5532.030930193422,54879512.91212745,0.005011352156825252,55870630.54026421,80504443.34571962,0.4124540411200915
2433.02717302784,820.6104480189819,1030017.3680337485,152.75459303556255,0.0005753586256163068,376.48671062422994,5555.821875891206,18815570.54603381,0.0017181539163575084,19845587.91406756,44970854.63225219,0.3426798835250479
2956.8306684700824,95.70068272496849,2114238.4019548683,152.84705356653947,0.0011809949413730259,511.9294349628535,3033.24089472312,16086310.747326897,0.0014689300939688826,18200549.149281766,28397632.86167183,0.4164550237281806
2786.0743615084475,977.648716467685,6670360.923030944,153.23559196813378,0.0037260048346239305,432.37638121265906,3076.0540280861105,23715430.16861001,0.0021655872258887956,30385791.091640953,52138167.93204063,0.39240483964907713
2727.7801695015955,981.3930606335035,4304236.444972526,153.0338128854982,0.0024043085506750828,446.8719158574548,2681.2342532573944,19755320.219963685,0.001803967661877899,24059556.66493621,36034701.01575955,0.38419439007064726
1871.3212657992603,684.9444654702635,10531000.36580938,153.56482075232256,0.005882524008701262,314.86241518743896,3562.3450310227004,8724256.111043913,0.0007966601261345077,19255256.476853292,14185810.300618542,0.26356637546468453
3748.8975342999033,1181.8408155735553,20037393.28324489,154.37550981785617,0.011192711325237914,550.0868656385343,3985.214696677732,41032589.999349385,0.00374691296408947,61069983.28259428,60504364.19601132,0.5280137372253385
1735.6661246928104,492.30129526970904,1292259.3543818733,152.77695658740632,0.0007218446884020846,296.77891419410327,5136.893423076948,5369544.287365164,0.0004903228166172328,6661803.641747037,20455906.15161282,0.24446001756236765
593.6106118961292,97.3043598803584,1294973.7837004894,152.77718806933504,0.0007233609447008238,93.10119451049124,4057.619952667187,12516485.901772184,0.0011429496234806747,13811459.685472675,18809780.76858364,0.08360712843607453
2866.1398042159426,1598.1045657651002,7275564.902074574,153.2872027370647,0.004064066444463554,502.60108120986774,3315.8925865089523,10862647.756059295,0.0009919285061499,18138212.658133868,19088163.966821495,0.4036816625656257
4054.0465290737384,792.9506740111244,18166927.536049213,154.21599967117103,0.010147885640770626,597.1568424943271,4304.886474139726,16412653.350642476,0.001498730243828232,34579580.88669169,27938822.121915784,0.5709924688836251
2973.1436791710794,178.57082988333585,831259.9221883842,152.7376433376656,0.0004643344677510708,470.9740618652069,3842.039217750175,21203120.208608624,0.001936174294385092,22034380.130797006,31883903.812657498,0.4187526308691661
2103.1434812559633,683.064872454383,2003908.9057466304,152.8376448542173,0.0011193658569776943,307.6309846017222,2821.2944665226864,9291500.113164118,0.0008484583164359215,11295409.018910747,25337268.86090618,0.296217391726192
2128.758844224124,277.8181265944213,2021441.2529415968,152.83913998305192,0.0011291592716315968,332.3246106184469,5031.8009759407605,24331811.75297302,0.0022218724408682154,26353253.005914617,50160881.60876959,0.2998251893273414
2568.51977875852,355.58173495063306,1862019.883624213,152.82554479904886,0.001040107899498377,407.46362187091535,2113.271871545622,4448328.787638667,0.0004062015291552397,6310348.67126288,12742166.304320406,0.3617633491209183
2429.9589699848934,572.8675727041423,710830.675621478,152.7273733357616,0.0003970637518009301,414.0711267484864,5011.661381630611,1977851.6575025371,0.00018060858494819873,2688682.333124015,15939760.579574337,0.3422477422513934
