region,year,vis,stay_hours,overnight_vis,overnight_hours,daytrip_vis,daytrip_hours,n1,n2,n3to6,n7p,overnight_ex7_vis,overnight_ex7_hours,avg_stay,daytrip_stay,overnight_stay,overnight_ex7_stay,daytrip_share,overnight_share,n1_share_all,n2_share_all,n3to6_share_all,n7_share_all,n1_share_ovn,n2_share_ovn,n3to6_share_ovn,n7_share_ovn
정선군,2020,3213127.0,123881950.56000005,884708.0,107957376.14000003,2328419.0,15924574.420000002,576331.0,210591.0,76997.0,20789.0,863919.0,61808068.009999976,38.55494991638987,6.839221987107991,122.02599743644234,71.5438229857197,72.465825347084,27.534174652915993,17.93676378182375,6.5540826739808296,2.3963260711450247,0.6470021259663872,65.14364061362619,23.803447013025767,8.70309751918147,2.3498148541665724
정선군,2021,3088398.0,108173572.60000001,848254.0,93021940.63000001,2240144.0,15151631.969999999,558563.0,198873.0,73761.0,17057.0,831197.0,57095877.23,35.02578767373895,6.763686606753851,109.66283758166777,68.69114930636178,72.53417467567328,27.46582532432672,18.085849038886828,6.439357880687657,2.3883255979313547,0.5522928068208826,65.84855479608703,23.444982281250663,8.69562654582236,2.010836376839956
정선군,2022,4012756.0,134513993.96999997,1249474.0,113036226.14999998,2763282.0,21477767.82,822432.0,309475.0,98990.0,18577.0,1230897.0,73741391.11,33.521598116107725,7.772557350281296,90.4670494544104,59.908661009004,68.86244765443003,31.13755234556998,20.495440041706996,7.712280537366338,2.466883109762966,0.4629486567336763,65.822258006169,24.76842255220997,7.922533802223976,1.4867856393970582
정선군,2023,4502481.0,137681596.46,1457735.0,114219394.04000004,3044746.0,23462202.42,984784.0,351145.0,105085.0,16721.0,1441014.0,79372608.93999998,30.57905107428549,7.705799570801637,78.3540177329899,55.08108105819928,67.62373900078646,32.37626099921355,21.872030109621786,7.798922416330019,2.3339354458130974,0.3713730274486444,67.55576287871253,24.088397411052075,7.208786233437491,1.147053476797909
정선군,2024,4736246.0,129603861.01999998,1327748.0,107633736.89999998,3408498.0,21970124.12,898582.0,316686.0,96314.0,16166.0,1311582.0,73960510.96,27.36425874416151,6.4456907764065,81.06488347186362,56.39030648484044,71.96623655105753,28.033763448942473,18.97245202212892,6.686434784004041,2.033551466710133,0.34132517609938334,67.6771495795889,23.85136336111973,7.253936741008083,1.2175503182832887
정선군,2025,4891038.0,132096985.07000001,1333039.0,110330229.02000001,3557999.0,21766756.05,880493.0,332595.0,104099.0,15852.0,1317187.0,76879397.47,27.00796539916476,6.117695943703189,82.76594234677306,58.36635000952788,72.74527411154851,27.254725888451492,18.002170500413207,6.800090287583127,2.128362118634122,0.3241029818210368,66.05155588096072,24.95013274180275,7.809148869612967,1.189162507623558
정선군,2026,4760881.0,128801847.22999999,1259569.0,108178852.86,3501312.0,20622994.37,824616.0,318139.0,101037.0,15777.0,1243792.0,74812096.28999998,27.054204301682816,5.890076168590517,85.88561076050617,60.148398036006,73.54336308763021,26.45663691236979,17.32065976864366,6.682355639638966,2.122233258928337,0.3313882451588267,65.46810853553875,25.257766744021172,8.0215534043788,1.2525713160612877
철원군,2018,2664653.0,87652655.82999998,549864.0,74828624.99,2114789.0,12824030.84,399876.0,84495.0,49968.0,15525.0,534339.0,43195766.370000005,32.89458546009555,6.06397651964333,136.0856957174865,80.83962871884704,79.3645176313764,20.635482368623606,15.006681920685358,3.1709569688811263,1.8752160224989896,0.5826274565581334,72.72270961546855,15.366526995766225,9.08733795993191,2.8234254288333114
철원군,2019,3309298.0,112757314.58000003,513044.0,97456054.23000002,2796254.0,15301260.350000001,352882.0,83566.0,56854.0,19742.0,493302.0,54272772.86000001,34.07288028458,5.472056669386974,189.95652269590917,110.01936513535321,84.49689329882048,15.503106701179526,10.663349145347443,2.525188121468662,1.718007867529609,0.5965615668338119,68.78201479795105,16.28827157124925,11.081700594880752,3.8480130359189464
철원군,2020,3003276.0,99439782.94999999,414403.0,86133212.42999999,2588873.0,13306570.52,284880.0,67150.0,42992.0,19381.0,395022.0,43149001.06000001,33.110437718677865,5.139908570254315,207.8489113978422,109.2318935654217,86.20163448181253,13.798365518187472,9.48564167928622,2.2358917395537405,1.4315034648830145,0.6453286344644981,68.7446760761867,16.204033271959904,10.374442269964263,4.676848381889127
철원군,2021,3012389.0,100496152.46000002,416264.0,87427267.00000003,2596125.0,13068885.459999999,283245.0,70470.0,42590.0,19959.0,396305.0,43534427.13999999,33.3609478921879,5.033996999374066,210.02841225760582,109.85081475126479,86.18159872446752,13.818401275532477,9.402670106682768,2.339339308435929,1.4138280281862667,0.6625638322275111,68.04455826110353,16.92916034055311,10.231487709722677,4.7947936886206834
