시군,체험문화_2024,체험문화_2026,방문_2026,①체험문화_변화율,②평균숙박일수,③저녁전환율,④야간방문비중,①체험문화_변화율_문제백분위,②평균숙박일수_문제백분위,③저녁전환율_문제백분위,④야간방문비중_문제백분위,진단점수,순위,유형,순위_P10,순위_P90,상위20_비율
남원시,128.14388621613492,114.57924835567789,7114482.0,-0.10585474079955803,3.36,0.4933256791742584,0.09110350561273502,71.52777777777779,69.09722222222221,65.97222222222221,55.55555555555556,65.53819444444444,24,-,20,46,0.132
함평군,126.69652881766959,119.30161548389188,3949343.0,-0.05836713446522135,3.9283333333333332,0.4274581192380016,0.06835378871276224,61.80555555555556,8.333333333333337,93.75,95.83333333333334,64.93055555555557,25,저녁전환율 · 야간방문비중,8,89,0.443
창녕군,65.16859461357431,58.79588345681988,6904531.0,-0.09778807099558084,3.5933333333333333,0.4877866005924342,0.08189944274717192,70.83333333333333,38.19444444444444,72.22222222222221,77.77777777777779,64.75694444444444,26,야간방문비중,21,56,0.092
부여군,51.15524778521413,45.09007639337077,7488477.0,-0.11856401160071073,3.3699999999999997,0.496929153274031,0.09170175135348696,75.69444444444444,67.36111111111111,63.19444444444444,52.08333333333333,64.58333333333333,27,체험문화,20,51,0.1
강진군,130.60429101301543,134.6727260633124,3983895.0,0.031150852845191368,3.5716666666666668,0.4414691607429444,0.07653716213827423,36.80555555555556,45.138888888888886,89.58333333333334,86.80555555555556,64.58333333333333,27,저녁전환율 · 야간방문비중,17,69,0.292
양양군,265.7380952973312,200.382819082558,10726738.0,-0.2459386793664189,2.5574999999999997,0.5193710487245751,0.10948826457081987,92.36111111111111,98.61111111111111,49.30555555555556,15.277777777777779,63.888888888888886,29,체험문화 · 평균숙박일수,3,90,0.413
성주군,86.6831312351248,51.22805781245644,5165392.0,-0.4090192972667056,3.823333333333333,0.4880670462629068,0.08590491103491187,97.22222222222221,14.583333333333337,71.52777777777779,67.36111111111111,62.673611111111114,30,체험문화,11,87,0.309
광양시,189.8575174342593,184.0843571269375,9924852.0,-0.03040785735187357,2.9033333333333338,0.507569018242251,0.0950874573899079,53.47222222222222,90.97222222222221,58.33333333333333,45.138888888888886,61.979166666666664,31,평균숙박일수,11,64,0.244
하동군,278.53594097414975,272.7665558997945,5399027.0,-0.020713251777050412,4.025833333333334,0.4094683253714951,0.07371197223924912,50.0,4.861111111111116,97.22222222222221,93.05555555555556,61.284722222222214,32,저녁전환율 · 야간방문비중,12,101,0.313
군위군,81.75065739896608,100.71525533582086,4983535.0,0.2319809838874105,3.643333333333333,0.4108905802938971,0.05880688018110895,15.277777777777779,34.375,96.52777777777779,98.61111111111111,61.19791666666667,33,저녁전환율 · 야간방문비중,10,97,0.299
나주시,340.17438283229563,278.4706147803038,11097688.0,-0.1813886381985781,3.7541666666666664,0.4915506895674749,0.08452594397422647,86.11111111111111,19.791666666666664,68.05555555555556,70.13888888888889,61.02430555555555,34,체험문화,18,84,0.189
공주시,97.72473708863586,103.84171173305006,17525443.0,0.0625939227533161,3.3433333333333333,0.4964586969891999,0.08357525841296723,34.02777777777778,70.13888888888889,63.888888888888886,72.91666666666667,60.24305555555556,35,-,25,72,0.05
영천시,77.57693814830287,74.29326076232417,9008556.0,-0.042328009642522146,3.6766666666666663,0.478960440708356,0.078596348451067,56.25,26.388888888888886,75.69444444444444,81.94444444444444,60.06944444444444,36,저녁전환율 · 야간방문비중,27,79,0.0
곡성군,118.86939698807838,244.79986360297974,3659904.0,1.0594019134086392,3.5116666666666667,0.43663308342328544,0.0752741232377576,1.388888888888884,55.55555555555556,91.66666666666666,89.58333333333334,59.54861111111111,37,저녁전환율 · 야간방문비중,13,104,0.218
진천군,215.67996794808482,169.04773155268904,9417565.0,-0.21621032699068454,3.5833333333333335,0.530603542627989,0.08758773425014567,89.58333333333334,40.97222222222222,43.75,63.19444444444444,59.375,38,체험문화,20,73,0.117
밀양시,177.6804448671845,148.55310497510632,10391597.0,-0.1639310387468399,4.3758333333333335,0.47383965305524334,0.08278035209007355,84.02777777777779,0.0,77.77777777777779,75.0,59.20138888888889,39,체험문화 · 저녁전환율 · 야간방문비중,16,107,0.208
서산시,241.79636071831789,215.62293214874845,12086822.0,-0.10824575064659614,3.1291666666666664,0.5265708461354532,0.09961286010477628,72.22222222222221,80.20833333333334,47.916666666666664,34.02777777777778,58.59374999999999,40,평균숙박일수,21,75,0.088
