R:기초단체,R:광역단체,R:기준연월,C:숙박일수,C:방문자유형별,V:관광객수,V:숙박자수,V:숙박체류시간
강서구,서울특별시,202608,3박,외지인(b),21297.0,2.93,5783411.34
강서구,서울특별시,202608,4박,외국인(c),839.0,3.07,166402.92
강서구,서울특별시,202608,4박,외지인(b),11431.0,2.93,5802741.16
강서구,서울특별시,202608,5박,외국인(c),314.0,3.07,117895.8
강서구,서울특별시,202608,5박,외지인(b),7582.0,2.93,6027552.39
강서구,서울특별시,202608,6박,외국인(c),210.0,3.07,123535.39
강서구,서울특별시,202608,6박,외지인(b),5474.0,2.93,5905010.37
강서구,서울특별시,202608,7박이상,외국인(c),470.0,3.07,540185.88
강서구,서울특별시,202608,7박이상,외지인(b),22998.0,2.93,44383500.88
강서구,서울특별시,202608,무박,외국인(c),128525.0,0.0,288318.01
강서구,서울특별시,202608,무박,외지인(b),7210454.0,0.0,17133064.47
강진군,전남광주통합특별시,202608,1박,외국인(c),33.0,3.64,1387.95
강진군,전남광주통합특별시,202608,1박,외지인(b),32665.0,2.69,1091247.88
강진군,전남광주통합특별시,202608,2박,외국인(c),9.0,3.64,855.43
강진군,전남광주통합특별시,202608,2박,외지인(b),8909.0,2.69,523553.77
강진군,전남광주통합특별시,202608,3박,외국인(c),1.0,3.64,136.29
강진군,전남광주통합특별시,202608,3박,외지인(b),3079.0,2.69,630899.71
강진군,전남광주통합특별시,202608,4박,외국인(c),5.0,3.64,1650.51
강진군,전남광주통합특별시,202608,4박,외지인(b),1196.0,2.69,527352.0
강진군,전남광주통합특별시,202608,5박,외국인(c),4.0,3.64,2127.18
강진군,전남광주통합특별시,202608,5박,외지인(b),736.0,2.69,477484.74
강진군,전남광주통합특별시,202608,6박,외국인(c),3.0,3.64,1714.8
강진군,전남광주통합특별시,202608,6박,외지인(b),435.0,2.69,413752.47
강진군,전남광주통합특별시,202608,7박이상,외국인(c),8.0,3.64,7880.94
강진군,전남광주통합특별시,202608,7박이상,외지인(b),1645.0,2.69,3504051.35
강진군,전남광주통합특별시,202608,무박,외국인(c),281.0,0.0,1652.51
강진군,전남광주통합특별시,202608,무박,외지인(b),353005.0,0.0,1171930.9
강화군,인천광역시,202608,1박,외국인(c),290.0,3.03,8399.9
강화군,인천광역시,202608,1박,외지인(b),171243.0,2.37,4811709.18
강화군,인천광역시,202608,2박,외국인(c),131.0,3.03,6048.58
강화군,인천광역시,202608,2박,외지인(b),36923.0,2.37,2058781.85
강화군,인천광역시,202608,3박,외국인(c),33.0,3.03,6998.84
강화군,인천광역시,202608,3박,외지인(b),5270.0,2.37,1226974.17
강화군,인천광역시,202608,4박,외국인(c),22.0,3.03,7339.32
강화군,인천광역시,202608,4박,외지인(b),1988.0,2.37,1102932.51
강화군,인천광역시,202608,5박,외국인(c),17.0,3.03,9263.56
강화군,인천광역시,202608,5박,외지인(b),1233.0,2.37,1074369.46
강화군,인천광역시,202608,6박,외국인(c),6.0,3.03,5803.76
강화군,인천광역시,202608,6박,외지인(b),632.0,2.37,768764.59
강화군,인천광역시,202608,7박이상,외국인(c),31.0,3.03,37911.1
강화군,인천광역시,202608,7박이상,외지인(b),3319.0,2.37,6918249.82
강화군,인천광역시,202608,무박,외국인(c),7234.0,0.0,23398.36
강화군,인천광역시,202608,무박,외지인(b),1057675.0,0.0,4570182.58
거제시,경상남도,202608,1박,외국인(c),1793.0,3.09,41179.31
거제시,경상남도,202608,1박,외지인(b),263155.0,2.67,8197825.31
거제시,경상남도,202608,2박,외국인(c),426.0,3.09,21599.17
거제시,경상남도,202608,2박,외지인(b),96795.0,2.67,5063053.28
거제시,경상남도,202608,3박,외국인(c),196.0,3.09,29074.2
거제시,경상남도,202608,3박,외지인(b),22030.0,2.67,4093764.96
거제시,경상남도,202608,4박,외국인(c),123.0,3.09,36788.66
거제시,경상남도,202608,4박,외지인(b),8661.0,2.67,3653008.92
거제시,경상남도,202608,5박,외국인(c),87.0,3.09,41377.6
거제시,경상남도,202608,5박,외지인(b),4343.0,2.67,3115935.85
거제시,경상남도,202608,6박,외국인(c),46.0,3.09,35623.63
거제시,경상남도,202608,6박,외지인(b),3050.0,2.67,3191866.34
거제시,경상남도,202608,7박이상,외국인(c),230.0,3.09,264072.53
거제시,경상남도,202608,7박이상,외지인(b),12389.0,2.67,24870223.2
거제시,경상남도,202608,무박,외국인(c),44879.0,0.0,98246.97
거제시,경상남도,202608,무박,외지인(b),1158159.0,0.0,6527246.64
거창군,경상남도,202608,1박,외국인(c),49.0,3.61,2389.03
거창군,경상남도,202608,1박,외지인(b),54380.0,2.66,1762835.0
거창군,경상남도,202608,2박,외국인(c),44.0,3.61,3340.3
거창군,경상남도,202608,2박,외지인(b),18069.0,2.66,1026631.07
거창군,경상남도,202608,3박,외국인(c),11.0,3.61,1927.32
거창군,경상남도,202608,3박,외지인(b),5192.0,2.66,965319.76
거창군,경상남도,202608,4박,외국인(c),16.0,3.61,5771.25
거창군,경상남도,202608,4박,외지인(b),2341.0,2.66,903908.15
거창군,경상남도,202608,5박,외국인(c),8.0,3.61,4046.6
거창군,경상남도,202608,5박,외지인(b),1020.0,2.66,745555.83
거창군,경상남도,202608,6박,외국인(c),1.0,3.61,672.58
거창군,경상남도,202608,6박,외지인(b),477.0,2.66,483649.19
거창군,경상남도,202608,7박이상,외국인(c),13.0,3.61,16459.9
거창군,경상남도,202608,7박이상,외지인(b),2209.0,2.66,4476881.27
거창군,경상남도,202608,무박,외국인(c),409.0,0.0,2917.92
거창군,경상남도,202608,무박,외지인(b),421216.0,0.0,1852823.31
검단구,인천광역시,202608,1박,외국인(c),656.0,3.64,24353.91
검단구,인천광역시,202608,1박,외지인(b),89056.0,3.08,5480430.45
검단구,인천광역시,202608,2박,외국인(c),268.0,3.64,17059.38
검단구,인천광역시,202608,2박,외지인(b),23080.0,3.08,2441888.25
검단구,인천광역시,202608,3박,외국인(c),158.0,3.64,24594.01
검단구,인천광역시,202608,3박,외지인(b),9847.0,3.08,2868242.43
검단구,인천광역시,202608,4박,외국인(c),52.0,3.64,17835.08
검단구,인천광역시,202608,4박,외지인(b),5452.0,3.08,2846369.57
검단구,인천광역시,202608,5박,외국인(c),115.0,3.64,55859.33
검단구,인천광역시,202608,5박,외지인(b),3393.0,3.08,2661349.76
검단구,인천광역시,202608,6박,외국인(c),33.0,3.64,23075.7
검단구,인천광역시,202608,6박,외지인(b),2439.0,3.08,2700485.47
검단구,인천광역시,202608,7박이상,외국인(c),169.0,3.64,207434.02
검단구,인천광역시,202608,7박이상,외지인(b),12126.0,3.08,23255378.86
검단구,인천광역시,202608,무박,외국인(c),6402.0,0.0,36271.39
검단구,인천광역시,202608,무박,외지인(b),1715698.0,0.0,4774157.8
경산시,경상북도,202608,1박,외국인(c),838.0,3.96,32889.37
경산시,경상북도,202608,1박,외지인(b),117501.0,2.99,6449149.48
