_조회_시도,_조회_시군구,_조회_SGG_CD,SIDO_NM,PTL_SIDO_CD,TOU_NUM
서울특별시,서대문구,11410,중구,11140,77075991.0
서울특별시,서대문구,11410,용산구,11170,27804648.0
서울특별시,서대문구,11410,성동구,11200,13274264.0
서울특별시,서대문구,11410,광진구,11215,5564339.0
서울특별시,서대문구,11410,동대문구,11230,5824504.0
서울특별시,서대문구,11410,중랑구,11260,1396396.0
서울특별시,서대문구,11410,성북구,11290,4142046.0
서울특별시,서대문구,11410,강북구,11305,1415784.0
서울특별시,서대문구,11410,도봉구,11320,823849.0
서울특별시,서대문구,11410,노원구,11350,1610859.0
서울특별시,서대문구,11410,은평구,11380,2599819.0
서울특별시,서대문구,11410,서대문구,11410,12033251.0
서울특별시,서대문구,11410,마포구,11440,34740996.0
서울특별시,서대문구,11410,양천구,11470,2033500.0
서울특별시,서대문구,11410,강서구,11500,14651400.0
서울특별시,서대문구,11410,구로구,11530,5781224.0
서울특별시,서대문구,11410,금천구,11545,2915898.0
서울특별시,서대문구,11410,영등포구,11560,15067324.0
서울특별시,서대문구,11410,동작구,11590,4153260.0
서울특별시,서대문구,11410,관악구,11620,3737120.0
서울특별시,서대문구,11410,서초구,11650,14000367.0
서울특별시,서대문구,11410,강남구,11680,30914406.0
서울특별시,서대문구,11410,송파구,11710,10943018.0
서울특별시,서대문구,11410,강동구,11740,2253464.0
서울특별시,서초구,11650,종로구,11110,38279581.0
서울특별시,서초구,11650,중구,11140,77075991.0
서울특별시,서초구,11650,용산구,11170,27804648.0
서울특별시,서초구,11650,성동구,11200,13274264.0
서울특별시,서초구,11650,광진구,11215,5564339.0
서울특별시,서초구,11650,동대문구,11230,5824504.0
서울특별시,서초구,11650,중랑구,11260,1396396.0
서울특별시,서초구,11650,성북구,11290,4142046.0
서울특별시,서초구,11650,강북구,11305,1415784.0
서울특별시,서초구,11650,도봉구,11320,823849.0
서울특별시,서초구,11650,노원구,11350,1610859.0
서울특별시,서초구,11650,은평구,11380,2599819.0
서울특별시,서초구,11650,서대문구,11410,12033251.0
서울특별시,서초구,11650,마포구,11440,34740996.0
서울특별시,서초구,11650,양천구,11470,2033500.0
서울특별시,서초구,11650,강서구,11500,14651400.0
서울특별시,서초구,11650,구로구,11530,5781224.0
서울특별시,서초구,11650,금천구,11545,2915898.0
서울특별시,서초구,11650,영등포구,11560,15067324.0
서울특별시,서초구,11650,동작구,11590,4153260.0
서울특별시,서초구,11650,관악구,11620,3737120.0
서울특별시,서초구,11650,서초구,11650,14000367.0
서울특별시,서초구,11650,강남구,11680,30914406.0
서울특별시,서초구,11650,송파구,11710,10943018.0
서울특별시,서초구,11650,강동구,11740,2253464.0
서울특별시,성동구,11200,종로구,11110,38279581.0
서울특별시,성동구,11200,중구,11140,77075991.0
서울특별시,성동구,11200,용산구,11170,27804648.0
서울특별시,성동구,11200,성동구,11200,13274264.0
서울특별시,성동구,11200,광진구,11215,5564339.0
서울특별시,성동구,11200,동대문구,11230,5824504.0
서울특별시,성동구,11200,중랑구,11260,1396396.0
서울특별시,성동구,11200,성북구,11290,4142046.0
서울특별시,성동구,11200,강북구,11305,1415784.0
서울특별시,성동구,11200,도봉구,11320,823849.0
서울특별시,성동구,11200,노원구,11350,1610859.0
서울특별시,성동구,11200,은평구,11380,2599819.0
서울특별시,성동구,11200,서대문구,11410,12033251.0
서울특별시,성동구,11200,마포구,11440,34740996.0
서울특별시,성동구,11200,양천구,11470,2033500.0
서울특별시,성동구,11200,강서구,11500,14651400.0
서울특별시,성동구,11200,구로구,11530,5781224.0
서울특별시,성동구,11200,금천구,11545,2915898.0
서울특별시,성동구,11200,영등포구,11560,15067324.0
서울특별시,성동구,11200,동작구,11590,4153260.0
서울특별시,성동구,11200,관악구,11620,3737120.0
서울특별시,성동구,11200,서초구,11650,14000367.0
서울특별시,성동구,11200,강남구,11680,30914406.0
서울특별시,성동구,11200,송파구,11710,10943018.0
서울특별시,성동구,11200,강동구,11740,2253464.0
서울특별시,성북구,11290,종로구,11110,38279581.0
서울특별시,성북구,11290,중구,11140,77075991.0
서울특별시,성북구,11290,용산구,11170,27804648.0
서울특별시,성북구,11290,성동구,11200,13274264.0
서울특별시,성북구,11290,광진구,11215,5564339.0
서울특별시,성북구,11290,동대문구,11230,5824504.0
서울특별시,성북구,11290,중랑구,11260,1396396.0
서울특별시,성북구,11290,성북구,11290,4142046.0
서울특별시,성북구,11290,강북구,11305,1415784.0
서울특별시,성북구,11290,도봉구,11320,823849.0
서울특별시,성북구,11290,노원구,11350,1610859.0
서울특별시,성북구,11290,은평구,11380,2599819.0
서울특별시,성북구,11290,서대문구,11410,12033251.0
서울특별시,성북구,11290,마포구,11440,34740996.0
서울특별시,성북구,11290,양천구,11470,2033500.0
서울특별시,성북구,11290,강서구,11500,14651400.0
서울특별시,성북구,11290,구로구,11530,5781224.0
서울특별시,성북구,11290,금천구,11545,2915898.0
서울특별시,성북구,11290,영등포구,11560,15067324.0
서울특별시,성북구,11290,동작구,11590,4153260.0
서울특별시,성북구,11290,관악구,11620,3737120.0
서울특별시,성북구,11290,서초구,11650,14000367.0
서울특별시,성북구,11290,강남구,11680,30914406.0
서울특별시,성북구,11290,송파구,11710,10943018.0
서울특별시,성북구,11290,강동구,11740,2253464.0
서울특별시,송파구,11710,종로구,11110,38279581.0
서울특별시,송파구,11710,중구,11140,77075991.0
서울특별시,송파구,11710,용산구,11170,27804648.0
서울특별시,송파구,11710,성동구,11200,13274264.0
서울특별시,송파구,11710,광진구,11215,5564339.0
서울특별시,송파구,11710,동대문구,11230,5824504.0
서울특별시,송파구,11710,중랑구,11260,1396396.0
서울특별시,송파구,11710,성북구,11290,4142046.0
서울특별시,송파구,11710,강북구,11305,1415784.0
서울특별시,송파구,11710,도봉구,11320,823849.0
서울특별시,송파구,11710,노원구,11350,1610859.0
서울특별시,송파구,11710,은평구,11380,2599819.0
서울특별시,송파구,11710,서대문구,11410,12033251.0
서울특별시,송파구,11710,마포구,11440,34740996.0
서울특별시,송파구,11710,양천구,11470,2033500.0
서울특별시,송파구,11710,강서구,11500,14651400.0
서울특별시,송파구,11710,구로구,11530,5781224.0
서울특별시,송파구,11710,금천구,11545,2915898.0
서울특별시,송파구,11710,영등포구,11560,15067324.0
서울특별시,송파구,11710,동작구,11590,4153260.0
서울특별시,송파구,11710,관악구,11620,3737120.0
서울특별시,송파구,11710,서초구,11650,14000367.0
서울특별시,송파구,11710,강남구,11680,30914406.0
서울특별시,송파구,11710,송파구,11710,10943018.0
서울특별시,송파구,11710,강동구,11740,2253464.0
서울특별시,양천구,11470,종로구,11110,38279581.0
서울특별시,양천구,11470,중구,11140,77075991.0
서울특별시,양천구,11470,용산구,11170,27804648.0
서울특별시,양천구,11470,성동구,11200,13274264.0
서울특별시,양천구,11470,광진구,11215,5564339.0
서울특별시,양천구,11470,동대문구,11230,5824504.0
서울특별시,양천구,11470,중랑구,11260,1396396.0
서울특별시,양천구,11470,성북구,11290,4142046.0
서울특별시,양천구,11470,강북구,11305,1415784.0
서울특별시,양천구,11470,도봉구,11320,823849.0
서울특별시,양천구,11470,노원구,11350,1610859.0
서울특별시,양천구,11470,은평구,11380,2599819.0
서울특별시,양천구,11470,서대문구,11410,12033251.0
서울특별시,양천구,11470,마포구,11440,34740996.0
서울특별시,양천구,11470,양천구,11470,2033500.0
서울특별시,양천구,11470,강서구,11500,14651400.0
서울특별시,양천구,11470,구로구,11530,5781224.0
서울특별시,양천구,11470,금천구,11545,2915898.0
서울특별시,양천구,11470,영등포구,11560,15067324.0
서울특별시,양천구,11470,동작구,11590,4153260.0
서울특별시,양천구,11470,관악구,11620,3737120.0
서울특별시,양천구,11470,서초구,11650,14000367.0
서울특별시,양천구,11470,강남구,11680,30914406.0
서울특별시,양천구,11470,송파구,11710,10943018.0
서울특별시,양천구,11470,강동구,11740,2253464.0
서울특별시,영등포구,11560,종로구,11110,38279581.0
서울특별시,영등포구,11560,중구,11140,77075991.0
서울특별시,영등포구,11560,용산구,11170,27804648.0
서울특별시,영등포구,11560,성동구,11200,13274264.0
서울특별시,영등포구,11560,광진구,11215,5564339.0
서울특별시,영등포구,11560,동대문구,11230,5824504.0
서울특별시,영등포구,11560,중랑구,11260,1396396.0
서울특별시,영등포구,11560,성북구,11290,4142046.0
서울특별시,영등포구,11560,강북구,11305,1415784.0
서울특별시,영등포구,11560,도봉구,11320,823849.0
서울특별시,영등포구,11560,노원구,11350,1610859.0
서울특별시,영등포구,11560,은평구,11380,2599819.0
서울특별시,영등포구,11560,서대문구,11410,12033251.0
